type_of_reference,primary_title,authors,journal_name,volume,start_page,end_page,year,date,secondary_title,issn,doi,urls,keywords,abstract,number
JOUR,Productivity and ergonomic risk in human based production systems: A job-rotation scheduling model,"['Mossa, G.', 'Boenzi, F.', 'Digiesi, S.', 'Mummolo, G.', 'Romano, V.A.']",International Journal of Production Economics,171,471,477,2016,2016/01/01/,Challenges for Sustainable Operations – Selected papers of ICPR 2013,0925-5273,https://doi.org/10.1016/j.ijpe.2015.06.017,['https://www.sciencedirect.com/science/article/pii/S092552731500225X'],"['Job rotation', 'Human workload balancing', 'UL-WMSDs', 'OCRA', 'Mathematical programming', 'Automotive']","The competitiveness of modern manufacturing systems is based on a high production rate and a high level of flexibility. Despite the high level of automation achieved in production systems, flexibility is often provided by human dexterity and the cognitive capabilities of the workforce, as in assembly lines. In the case of repetitive manual tasks, workers are exposed to the risk of musculoskeletal disorders (MSDs). In these contexts, a high production rate leads to high physical workload, and job rotation is adopted in order to reduce the ergonomic risk. Traditionally, ergonomics and human performance issues have been investigated separately. However, in the design and scheduling of human-based manufacturing systems, a reliable description of human components is required in order to jointly evaluate production system performance and assess workers׳ risk of MSDs In this paper, the authors propose a model which aims to find optimal job rotation schedules in work environments characterized by low load manual tasks with a high frequency of repetition (e.g. assembly lines). The model is a mixed integer programming model allowing for the maximization of production rate jointly reducing and balancing human workloads and ergonomic risk within acceptable limits. Risk and its acceptability are evaluated using the OCRA (OCcupational Repetitive Actions) method (ISO 11228-3:2007), widely recognized as an effective tool for the risk assessment of Upper Limb Work related MSDs (UL-WMSDs). Moreover, the different workers׳ performance due to their respective training levels and skills is considered in the problem formulation. The model is applied to an industrial case study. Results show the model׳s capacity to identify optimal job rotation schedules jointly achieving productivity and ergonomic risk goals. Performances of the solutions obtained improve as workforce flexibility increases.",
JOUR,Flexible Programming Model for Efficient Workload Control in the Car Sequencing Problem,"['Jalilvand, Sana', 'Mahmoodjanloo, Mehdi', 'Baboli, Armand']",IFAC-PapersOnLine,58,1294,1299,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.154,['https://www.sciencedirect.com/science/article/pii/S2405896324015660'],"['Car sequencing problem', 'Mixed-model assembly line', 'Flexible linear programming', 'Flexible constraint', 'Work overload control', 'Cross-ratio constraint']","In the era of increasing product customization, mixed-model assembly lines (MMALs) stand out, enabling the efficient production of diverse products. However, products with work-intensive characteristics may result in work overload when sequenced closely. The Car Sequencing Problem (CSP) utilizes spacing rules to address this challenge in MMALs. This paper presents a flexible CSP mixed-integer programming model within the context of flexible (fuzzy) linear programming. The results demonstrate that the proposed method empowers decision-makers to effectively manage workloads and prevent intolerable work overloads in MMALs through efficient control of sequencing rule violations.",19
JOUR,A cognitive load assessment method for fighter cockpit human-machine interface based on integrated multi-criteria decision making,"['Pei, Huining', 'Wang, Ziyu', 'Cao, Jingru', 'Chen, Yunfeng', 'Bai, Zhonghang']",Applied Soft Computing,167,112287,,2024,2024/12/01/,,1568-4946,https://doi.org/10.1016/j.asoc.2024.112287,['https://www.sciencedirect.com/science/article/pii/S1568494624010615'],"['Human-machine interface', 'MCDM', 'Cognitive load assessment', 'Eye tracking technology', 'Fighters']","The primary interface for communication between pilots and aircraft systems is the fighter cockpit Human-Machine Interface (HMI). Since reduced cognitive load ensures that pilots will operate the aircraft safely and effectively, it is critical to evaluate pilot cognitive load during HMI. A cognitive load assessment method, based on multi-criteria decision-making, is proposed to accurately quantify the relationship between the HMI and the cognitive load in the fighter’s cockpit. Firstly, based on the integrated Multi-Criteria Decision-Making (MCDM) method, the Step-wise Weight Assessment Ratio Analysis (SWARA) and MEthod based on the Removal Effects of Criteria (MEREC) methods are used to assign subjective and objective weights, respectively. Moreover, the Combined Compromise Solution (CoCoSo) method is applied to rank the scenarios to establish a cognitive load assessment model for the cockpit HMI of the fighter jet. Secondly, an evaluation standard system of fighter cockpit HMI is proposed, drawn upon multiple sets of eye-movement criteria and subjective assessment criteria. Moreover, cognitive load experiments of fighter cockpit HMI are conducted using eye-tracking technology to get the objective physiological cognitive data as well as the subjective assessment data of the subjects. Consequently, the parameter data sets of the eye-movement criteria and the subjective criteria for the evaluation of cognitive load are obtained. The proposed method is applied to analyze the cognitive load assessment of a fighter jet cockpit HMI layout. This application aims to verify the effectiveness of the assessment method in evaluating the cognitive load of the HMI layout. Through sensitivity and comparison analyses, the model was further verified to have excellent robustness and applicability for cognitive load assessment. The advantages of this method can be seen through the comparison, which is that it has higher discriminability when assessing the degree of cognitive load. At the same time, it has higher flexibility in dealing with complex and ambiguous cognitive load assessment information.",
JOUR,An investigation of the effect of workload on ship engine room operators using fNIRS,"['Symes, Steve', 'Blanco-Davis, Eddie', 'Fairclough, Steve', 'Yang, Zaili', 'Wang, Jin', 'Shaw, Edward']",Ocean Engineering,310,118671,,2024,2024/10/15/,,0029-8018,https://doi.org/10.1016/j.oceaneng.2024.118671,['https://www.sciencedirect.com/science/article/pii/S0029801824020092'],"['fNIRS', 'Simulator', 'Workload', 'Human reliability assessment', 'Operator functional state']","This is an investigation into the Performance Shaping Factors (PSFs) associated with ship engine room operators. This study looks at the effect of workload. There is a large portion of human error associated with marine incidents. Human error may be considered as a result of additional supplementary tasks on top of an accustomed workload. The aim of this study is to evaluate the effect of workload on human performance. To achieve this, a TRANSAS simulator series 5000 was used to replicate a real scenario with the addition of workload as a PSF. Each participant engaged in a fault detection and correction task. 20 participants were used for the workload study; all 20 were trained for 3 h to use the engine room software interface. The participants then completed a 30-min ballasting task. During this interaction, 50% of the participants underwent a simulated scenario where the workload was increased. The other 50% were given a standard task. Functional near-infrared spectroscopy (fNIRS) was used to measure the participant's activation levels, more specifically from the dorsolateral prefrontal cortex (DLPFC) region of the cerebrum. The results showed an increase in activation of the DLPFC during each phase of the task, this trend was magnified by the addition of increased workload. The results are discussed with respect to human performance during varying workload. From the results of this study, a human classification performance model was developed. This model can be used by the maritime industry to better evaluate and understand human error causation.",
JOUR,Cardiac autonomic responses in relation to cognitive workload during simulated military flight,"['Koskelo, Jukka', 'Lehmusaho, Aleksi', 'Laitinen, Tomi P.', 'Hartikainen, Juha E.K.', 'Lahtinen, Taija M.M.', 'Leino, Tuomo K.', 'Huttunen, Kerttu']",Applied Ergonomics,121,104370,,2024,2024/11/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2024.104370,['https://www.sciencedirect.com/science/article/pii/S0003687024001479'],"['Flight simulator', 'Heart rate variability', 'Mental workload']","Understanding the operator's cognitive workload is crucial for efficiency and safety in human–machine systems. This study investigated how cognitive workload modulates cardiac autonomic regulation during a standardized military simulator flight. Military student pilots completed simulated flight tasks in a Hawk flight simulator. Continuous electrocardiography was recorded to analyze time and frequency domain heart rate variability (HRV). After the simulation, a flight instructor used a standardized method to evaluate student pilot's individual cognitive workload from video-recorded flight simulator data. Results indicated that HRV was able to differentiate flight phases that induced varying levels of cognitive workload; an increasing level of cognitive workload caused significant decreases in many HRV variables, mainly reflecting parasympathetic deactivation of cardiac autonomic regulation. In conclusion, autonomic physiological responses can be used to examine reactions to increased cognitive workload during simulated military flights. HRV could be beneficial in assessing individual responses to cognitive workload and pilot performance during simulator training.",
JOUR,A comprehensive decoding of cognitive load,"['Zhu, Xishi', 'Korivand, Soroush', 'Hamill, Kittson', 'Jalili, Nader', 'Gong, Jiaqi']",Smart Health,26,100336,,2022,2022/12/01/,,2352-6483,https://doi.org/10.1016/j.smhl.2022.100336,['https://www.sciencedirect.com/science/article/pii/S2352648322000708'],"['Neurophysiological activation', 'Cognitive load prediction', 'Brain network patterns', 'Eye movement', 'Skin conductance', 'Machine learning', 'Source Localization']","The extent of neurophysiological activation, such as brain activities, eye movement, and skin conductance, can vary as a joint function of cognitive load. These functions are the basis of models that describe human behavior and neural mechanisms for diagnosing and treating cognitive disorders, such as Alzheimer’s disease, mild cognitive impairment, and stroke-related cognitive dysfunction. Such models can enhance our understanding of the disease processes and enable crucial applications like predicting cognitive trajectories for early diagnosis. However, despite the success of these models in predicting early-stage cognitive impairment and decline, their practical use is limited in clinics because most of the models focus on utilizing one or two factors of the neurophysiological activation to achieve prediction. Still, little is known about the mechanisms through which the task difficulty and cognitive demands affect the expression of neurophysiological activation and whether there is an expression difference under cognitive task demands. The purpose of this paper is to provide a comprehensive examination of the neurophysiological expression difference and mechanisms under various cognitive loads. We designed an experimental protocol and developed a data processing framework to explicitly examine brain activity and eye movement under various levels of cognitive task difficulty and find that (1) eye movement is a readout of cognitive processes, but it is a joint function of task difficulty, brain activity, and skin conductance; (2) brain activity has specific patterns related to the various levels of cognitive load and exerts its influence on predicting the dynamics of cognitive processes. These findings suggest that neuroimaging studies comparing task-related neurophysiological activation must be examined and interpreted in a holistic view of neural mechanisms.",
JOUR,SALSA: Combining branch-and-bound with dynamic programming to smoothen workloads in simple assembly line balancing,"['Walter, Rico', 'Schulze, Philipp', 'Scholl, Armin']",European Journal of Operational Research,295,857,873,2021,2021/12/16/,,0377-2217,https://doi.org/10.1016/j.ejor.2021.03.021,['https://www.sciencedirect.com/science/article/pii/S0377221721002472'],"['Scheduling', 'Assembly line balancing', 'Workload smoothing', 'Branch-and-bound']","We consider a version of the well-known simple assembly line balancing problem (called SALBP-SX) where, given the cycle time and the number of stations, the workloads of the stations are to be leveled according to an adequately defined smoothness index SX. Our index SX involves for each station the quadratic deviation of its workload from the average (or ideal) workload and is therefore closely related to the variance, which is a common measure of dispersion in statistics. Contrary to the existing literature on workload smoothing in ALB, which often treats the optimization of a prespecified smoothness index as a secondary objective, we consider our SX-objective as the single one in order to account for the practical relevance of fair workload distributions and avoiding overloaded bottleneck stations. To optimally solve SALBP-SX, we develop a tailored branch-and-bound procedure. It contains a new station-oriented branching scheme, new lower bound arguments, logical tests and, in particular, a dynamic programming scheme for the pre-calculation of potential workloads, which accelerates the procedure greatly. In comprehensive computational experiments, we show that our method clearly outperforms a class of recently developed task-oriented branch-and-bound procedures and also the mathematical programming solver Gurobi.",3
JOUR,Validating an abnormal situation prediction model for smart manufacturing in the oil refining industry,"['Shi, Chao', 'Rothrock, Ling']",Applied Ergonomics,101,103697,,2022,2022/05/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2022.103697,['https://www.sciencedirect.com/science/article/pii/S0003687022000205'],"['Statistical modeling prediction', 'Interactive devices', 'Control room', 'Eye-tracking']","Human beings play an important role in a smart manufacturing economy. The repetitive and cognitive demanding task operations of smart manufacturing require the development of system models for measuring and predicting human performance, including oil refinery monitoring tasks. The main objective of this research was to validate the generalizability of a mathematical model for the prediction of refinery operators' detection of abnormal events. Moreover, we examined operators' visual behaviors in response to abnormal situations at different ages and with different task loads, task complexities, and input devices. We found that participants had lower mean fixation durations, total fixation numbers, and fixation/saccade ratios when they were in the condition of a touchscreen device. Moreover, we found that older adults had higher mean saccade durations and saccade amplitudes when they were in the condition of a touchscreen device. Finally, the statistical model borrowed from our prior paper was found to be generalizable to different task loads and age groups for the prediction of operators’ detection of abnormal events. Our results showed that visual behaviors can indicate specific internal states of participants, including their cognitive workload, attention, and situation awareness in a real-time manner. The findings provide additional support for the value of using visual behavior to predict responsiveness of oil refinery operators and for future applications of smart manufacturing monitoring systems.",
JOUR,On the development of a method for cognitive load assessment in manufacturing,"['Thorvald, Peter', 'Lindblom, Jessica', 'Andreasson, Rebecca']",Robotics and Computer-Integrated Manufacturing,59,252,266,2019,2019/10/01/,,0736-5845,https://doi.org/10.1016/j.rcim.2019.04.012,['https://www.sciencedirect.com/science/article/pii/S0736584518301546'],"['Cognitive load', 'Manufacturing', 'Assembly', 'Method development', 'CLAM method']","The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents the development of an analytic method, denoted CLAM (Cognitive Load Assessment for Manufacturing), and a tool for assessing cognitive load in manufacturing, primarily assembly. It outlines the journey of the development as well as discusses and problematizes relevant meta-methodological issues paired with method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice. With this purpose in mind, focus of the method development has been on the practitioners, i.e. the method should not require any expert knowledge to be applied. The CLAM method and accompanying documentation such as a handbook containing instructions towards using the method and interpreting the results, is available in an online tool.",
JOUR,Hybrid Multiobjective Evolutionary Algorithm for Assembly Line Balancing Problem with Stochastic Processing Time,"['Zhang, Wenqiang', 'Xu, Weitao', 'Gen, Mitsuo']",Procedia Computer Science,36,587,592,2014,2014/01/01/,"Complex Adaptive Systems Philadelphia, PA November 3-5, 2014",1877-0509,https://doi.org/10.1016/j.procs.2014.09.058,['https://www.sciencedirect.com/science/article/pii/S1877050914013076'],"['Assembly line balancing (ALB)', 'Stochastic processing time', 'Multiobjective optimization problem', 'Multiobjective evolutionary algorithm (MOEA);']","An assembly line (AL) is a typical manufacturing process consisting of various tasks in which interchangeable parts are added to a product in a sequential manner at a station to produce a final product. Most of the work related to the ALs concentrate on the assembly line balancing (ALB) which deals with the allocation of the tasks among stations so that the precedence relations among them are not violated and a given objective function is optimized. From the view point of the real ALB systems, multiobjective ALB with stochastic processing time (S-moALB) is an important and practical topic from traditional ALB problem involving conflicting criteria such as the cycle time, variation of workload, and/or the processing cost under uncertain manufacturing environment. This paper proposes a hybrid multiobjective evolutionary algorithm (hMOEA) to deal with such S-moALB problem with stochastic processing time considering minimization of the cycle time and the processing cost, given a fixed number of stations available. The special fitness function strategy is adopted and a hybrid selection mechanism is designed to improve the convergence and distribution performance. Experimental results with various instances show that hMOEA could get the better convergence distribution performance than existing MOEAs.",
JOUR,Two-sided assembly line balancing using teaching–learning based optimization algorithm,"['Tuncel, Gonca', 'Aydin, Dilek']",Computers & Industrial Engineering,74,291,299,2014,2014/08/01/,,0360-8352,https://doi.org/10.1016/j.cie.2014.06.006,['https://www.sciencedirect.com/science/article/pii/S0360835214001867'],"['Two-sided assembly lines', 'Line balancing', 'Teaching–learning based optimization', 'Application', 'Manufacturing']","Assembly line balancing plays a crucial role in modern manufacturing companies in terms of the growth in productivity and reduction in costs. The problem of assigning tasks to consecutive stations in such a way that one or more objectives are optimized subject to the required tasks, processing times and some specific constraints is called the assembly line balancing problem (ALBP). Depending on production tactics and distinguishing working conditions in practice, assembly line systems show a large diversity. Although, a growing number of researchers addressed ALBP over the past fifty years, real-world assembly systems which require practical extensions to be considered simultaneously have not been adequately handled. This study deals with an industrial assembly system belonging to the class of two-sided line with additional assignment restrictions which are often encountered in practice. Teaching–learning based optimization (TLBO), which is a recently developed nature-inspired search method, is employed to solve the line balancing problem. Computational results are compared with the current situation in terms of the line efficiency, and the solution structure with workload assigned to the stations is presented.",
JOUR,Towards the modelling of defect generation in human-robot collaborative assembly,"['Puttero, Stefano', 'Verna, Elisa', 'Genta, Gianfranco', 'Galetto, Maurizio']",Procedia CIRP,118,247,252,2023,2023/01/01/,16th CIRP Conference on Intelligent Computation in Manufacturing Engineering,2212-8271,https://doi.org/10.1016/j.procir.2023.06.043,['https://www.sciencedirect.com/science/article/pii/S2212827123002664'],"['Human-Robot Collaboration', 'Quality Control', 'Manufacturing']","The development of suitable defect generation models is crucial in both academia and industry having the dual purpose of predicting defects occurring in manufacturing processes and planning eligible effective quality controls. In manual assembly processes, much research focused on developing approaches to predict operator-generated defects. Today, collaborative robotics is gaining increasing attention in smart factories by contributing to the reduction of operators' physical and cognitive workload and thus enabling improved productivity. The present study proposes a preliminary investigation on defect generation models in a human-robot collaborative environment aiming to compare quality performances achieved in purely manual assembly.",
JOUR,"Balancing and cyclically sequencing synchronous, asynchronous, and hybrid unpaced assembly lines","['Lopes, Thiago Cantos', 'Michels, Adalberto Sato', 'Sikora, Celso Gustavo Stall', 'Molina, Rafael Gobbi', 'Magatão, Leandro']",International Journal of Production Economics,203,216,224,2018,2018/09/01/,,0925-5273,https://doi.org/10.1016/j.ijpe.2018.06.012,['https://www.sciencedirect.com/science/article/pii/S0925527318302561'],"['Unpaced assembly line balancing', 'Mixed-model sequencing', 'Cyclical scheduling', 'Mixed-integer linear programming']","Mixed-model assembly lines are product-oriented production layouts often employed for large scale manufacturing of similar products. The unpaced variant of these lines employs a conveyor to discretely move pieces between stations either synchronously or asynchronously. Workload balancing and product sequencing are common optimization problems associated with these lines. While many works detail balancing and sequencing separately, few explicitly combine these degrees of freedom. Furthermore, hybrid (i.e. partly synchronous and partly asynchronous) lines are not explicitly described by previous optimization models. This paper presents a mixed-integer linear programming model capable of representing such unpaced lines and explicitly combine balancing, sequencing and cyclical scheduling. The application of the proposed method to a new dataset demonstrates the advantages of simultaneously balancing and sequencing lines, generating more efficient solutions than previously described models for 238 out of 240 instances. These results implied, however, in greater computational costs required to combine the degrees of freedom. Furthermore, a direct performance comparison study between synchronous, asynchronous, and hybrid lines is conducted. This allows line designers and managers to explicitly evaluate economical trade-offs between these line types.",
JOUR,Multi-Objective Multi-Resource Task Allocation For Collaborative Robots Systems,"['Granata, Irene', 'Faccio, Maurizio', 'Cohen, Yuval']",IFAC-PapersOnLine,56,5643,5648,2023,2023/01/01/,22nd IFAC World Congress,2405-8963,https://doi.org/10.1016/j.ifacol.2023.10.483,['https://www.sciencedirect.com/science/article/pii/S2405896323008509'],"['Human-centric manufacturing', 'Intelligent manufacturing systems', 'Human-automation integration', 'Industry 4.0', 'Industry 5.0']","The shift from Industry 4.0 to Industry 5.0 has led to a greater focus on workers’ needs in the workplace. Collaborative robots have been introduced to promote a fair division of tasks and reduce physical and mental strain on workers. However, there is a lack of research on how to implement human-centered task allocation. This study proposes a model for multi-objective task allocation, including minimizing makespan, energy expenditure, and mental workload. The study also suggests a method for evaluating mental workload. Results show that the strictness of task sequence affects makespan and energy expenditure, and a new constraint related to idle times is proposed. The optimal level of worker saturation is one that minimizes makespan while minimizing increases in energy expenditure and mental workload.",2
JOUR,Decoding the silent language: A framework for advanced visual emotion recognition to enhance worker well-being on IIoT-enabled manufacturing,"['Rezaei, Niloofar', 'Vaezi, Seyed Alireza', 'Camelio, Jaime A.']",Manufacturing Letters,41,1357,1365,2024,2024/10/01/,52nd SME North American Manufacturing Research Conference (NAMRC 52),2213-8463,https://doi.org/10.1016/j.mfglet.2024.09.162,['https://www.sciencedirect.com/science/article/pii/S2213846324002463'],"['Emotion recognition', 'IIoT', 'Assembly line', 'Facial expression', 'Posture', 'Employee well-being']","The Industrial Internet of Things (IIoT), pivotal in the Industry 4.0 revolution, has transformed manufacturing, particularly assembly lines, by enabling real-time process monitoring and data analysis to enhance productivity. Yet, its potential impact on worker well-being has been less explored. As the National Association of Manufacturers anticipates an opening of 2.1 million unfilled jobs by 2030, the necessity for frameworks that not only understand but also improve employee well-being becomes apparent. We introduce a novel, non-intrusive visual emotion recognition framework that incorporates facial emotion recognition (FER) and emotional body posture recognition (EBPR) to assess workers’ psychological states. This initiative aims to mitigate human errors and accidents linked to stress or high cognitive load, thereby enhancing the manufacturing environment. Strategies such as optimized break time planning, line balancing, procedure modifications, and improved training are proposed to ensure both employee well-being and stakeholder benefits. This framework indirectly supports the industry’s efforts to address the looming challenge of unfilled jobs by fostering a supportive work environment that enhances job satisfaction, potentially making positions more appealing and retaining valuable talent. By bridging the gap between technological advancements and human-centric considerations, our approach underscores the significance of integrating IIoT solutions with employee welfare initiatives to address both productivity and workforce sustainability challenges.",
JOUR,A Dynamic System to Predict an Assembly Line Worker’s Comfortable Work-Duration Time by Using the Machine Learning Technique,"['Rao Pabolu, Venkata Krishna', 'Shrivastava, Divya', 'Kulkarni, Makarand S.']",Procedia CIRP,106,270,275,2022,2022/01/01/,9th CIRP Conference on Assembly Technology and Systems,2212-8271,https://doi.org/10.1016/j.procir.2022.02.190,['https://www.sciencedirect.com/science/article/pii/S2212827122001913'],"['Diagnostics', 'prognostics of an assembly-line worker', 'Worker’ comfortable work duration', 'Machine learning']","Worker’ work-rotation between the workstations of an assembly line is a common task to an assembly line manager, to manage the workload between the assembly line workers. Usually, worker work rotation makes an interruption to a continuous production system. It is a desire of an assembly line manager to avoid the worker’s work-rotation, at least between the work breaks. This work aims to protect the manager’s interest by predicting the comfortable work-duration time of an assembly line worker for a given work, based on the working condition and the instantaneous physical & mental status of the worker. The comfortable work-duration time can be used during the worker’s work assignment to reduce interruptions. Factors, which influence the longevity of workers’ comfortable work duration time are identified. IIoT based sensors are proposed here to monitor the relevant factors for diagnostics. Machine Learning techniques are used as a part of prognostics to predict the comfortable work-duration time of a worker, based on his/her physical & mental status. Implementation methodology is explained along with a simulated experiment.",
JOUR,"R-SALSA: A branch, bound, and remember algorithm for the workload smoothing problem on simple assembly lines","['Schulze, Philipp', 'Scholl, Armin', 'Walter, Rico']",European Journal of Operational Research,312,38,55,2024,2024/01/01/,,0377-2217,https://doi.org/10.1016/j.ejor.2023.06.007,['https://www.sciencedirect.com/science/article/pii/S0377221723004605'],"['Scheduling', 'Assembly line balancing', 'Workload smoothing', 'Branch, bound, and remember', 'Combinatorial optimization']","We consider a simple assembly line balancing problem with given cycle time and number of stations. A quadratic objective function based on a so-called smoothness index SX levels the workloads of the stations. For this problem, called SALBP-SX, only a few solution procedures have been proposed in literature so far. In this paper, we extend and improve the branch-and-bound procedure SALSA (Simple Assembly Line Smoothing Algorithm) of Walter et al. (2021) to a bidirectional branch, bound, and remember algorithm called R-SALSA (R for remember). Like SALSA, it is based on a dynamic programming scheme which pre-determines potential workloads of the stations and provides a construction plan for possible station loads. This scheme is extended by the new concept of supporters and preventers which significantly enhances branching, bounding, and logical tests. Furthermore, a tailored heuristic that searches for improved initial solutions, a bidirectional branching scheme and additional dominance rules are integrated. In extensive computational experiments, we find out that our new procedure clearly outperforms all former exact solution procedures on benchmark data sets with up to 1000 tasks.",1
JOUR,Capacity planning of a mixed-model assembly line for prefabricated housebuilding elements,"['Huka, Maria Anna', 'Grenzfurtner, Wolfgang', 'Zauner, Barbara', 'Gronalt, Manfred']",Procedia Computer Science,180,706,713,2021,2021/01/01/,Proceedings of the 2nd International Conference on Industry 4.0 and Smart Manufacturing (ISM 2020),1877-0509,https://doi.org/10.1016/j.procs.2021.01.293,['https://www.sciencedirect.com/science/article/pii/S1877050921003422'],"['Prefabricated housebuilding', 'mixed model assembly line', 'capacity planning', 'flow line']",This paper deals with new opportunities of Industry 4.0 applications for capacity planning on mixed-model assembly lines for industrialized housebuilding. We formulate a linear programming model for capacity planning on several parallel production lines and show how this model is fed with accurate data. The solution of the linear program in turn generates a detailed allocation of personnel and workload assignment for a given planning period. We discuss the planning approach and describe the implementation on a real world environment.,
JOUR,Assembly line balancing for personalized production,"['Pilati, Francesco', 'Lelli, Giovanni', 'Faccio, Maurizio', 'Gamberi, Mauro', 'Regattieri, Alberto']",IFAC-PapersOnLine,53,10261,10266,2020,2020/01/01/,21st IFAC World Congress,2405-8963,https://doi.org/10.1016/j.ifacol.2020.12.2758,['https://www.sciencedirect.com/science/article/pii/S2405896320335217'],"['assembly line balancing', 'personalized production', 'product optional', 'customization', 'clustering', 'customer order']","Assembly line balancing problems aim to an efficient and effective assignment of all the required tasks to workstations in a flow oriented production system. Nowadays, assembly lines have to face the manufacturing of extremely personalized products (e.g. cars) as requested by an increasingly higher portion of the market demand. Several literature contributions focus on different balancing problems affected by the wide variety of the final product, e.g. mixed and multi model assembly lines. However, no contribution seems to tackle the personalized production of goods. Such products require to assemble a certain number of tasks whatever the final product personalization is, and a variable number of optional of different type determined by the specifications of every single costumer. This paper faces the generalized assembly of personalized goods proposing an innovative two step methodology to optimize the workload balancing between the assembly line stations, considering traditional tasks and the optional required by the product personalization, which could occur with different frequencies and pairings. The first phase of the developed methodology executes a clustering of product options required by the costumers based on a similarity index. This phase leads to the definition of several sets of optional typically requested together by the customer and with similar mounting time. The methodology second phase leverages the defined clusters of optional. Indeed, optional of the same cluster shouldn’t be assigned to the same workstation to reduce the overload or underload of the assembly operators. An integer programming model is proposed to assign both traditional tasks and optional to stations, to maximize the assembly line balancing considering the order frequency and assembly time of the clusterized optional. An industrial case study is adopted to test and validate the proposed two steps methodology. The obtained results highlight a consistent time balancing between assembly line workstations and a significant limitation of the operator overloads.",2
JOUR,"Lost at sea: Impact of an ocean survival experience on psychological, physiological and cognitive abilities (RAD'LÔ)","['Roy, Barbara Le', 'Martin-Krumm, Charles', 'Poupon, Charlotte', 'Rouquet, Christophe', 'Trouve, Christophe', 'Jego, Camille', 'Giaume, Louise', 'Trousselard, Marion']",European Journal of Trauma & Dissociation,8,100452,,2024,2024/12/01/,,2468-7499,https://doi.org/10.1016/j.ejtd.2024.100452,['https://www.sciencedirect.com/science/article/pii/S2468749924000759'],"['Adaptation', 'Cognition', 'Extreme and unusual environment', 'Health', 'Neurosciences', 'Sea survival', 'Stress']","Survival in an extreme environment places high physiological and cognitive demands on the individual. These environments are characterized by specific stimuli, including unusual sensory stimulation and uncertainty, which induce intense stress. Thus, the aims of this study are: i) to evaluate the impact of a five-day survival at sea simulation on human adaptive capacities, based on the assessment of psychological, cognitive, physiological, and sensorial measures; and ii) to assess recovery. Twenty-one healthy participants were enrolled in a 5-day simulation onboard a lifeboat or an inflatable raft. Psychological, physiological, sensory, and cognitive measurements were recorded before leaving (baseline), at the end of the experiment (post) and during the week that followed (recovery). Our results are unequivocal. The harshness of the environment affected the majority of the organism's responses. On the cognitive level, performance significantly deteriorated. On the psychological level, there was low mood, a decrease in subjective exteroceptive acuity and sleep disorders, increased energy, and less perceived stress. On the physiological level, a decline was recorded with respect to autonomous nervous system measurements. On the sensory level, we observed a state of hypervigilance and hypersensitivity to stimuli from the external environment. Proprioception was deeply impacted. Moreover, at recovery, many individuals did not fully recover or deteriorated further, especially regarding sleep, interoceptive abilities and sensory distortion. It appears that participants entered a state of psychological hibernation, associated with increased physical and cognitive load, and sensory hypervigilance. These results raise the question of the risks that may be incurred during future long-term space missions, as astronauts will have to maintain their cognitive performance at a high level to be able to respond to environmental demands and remain alive. It is essential to continue to explore countermeasures that will support adaptation in future spacecraft crew.",4
JOUR,Balancing time and physical effort in two-sided assembly lines,"['Zamzam, Nessren', 'El-Kharbotly, Amin K.', 'Sadek, Yomna']",Ain Shams Engineering Journal,12,2921,2933,2021,2021/09/01/,,2090-4479,https://doi.org/10.1016/j.asej.2021.02.009,['https://www.sciencedirect.com/science/article/pii/S2090447921000964'],"['Assembly line', 'Two-sided', 'Genetic algorithm', 'Physical effort', 'Smooth workload', 'Ergonomics']","In assembly line balancing problems, time is balanced among workers. This does not necessarily balance their physical effort. The effort exerted by workers varies depending on the type of the job, and the size and weight of the component. In the two-sided assembly lines, commonly used for heavy industries, the variation in physical effort among workers is more emphasized. The unbalanced effort leads to fatigue, and may lower productivity and quality. This work aims at balancing the physical effort among workers in the two-sided assembly lines, while considering other conventional objectives. A genetic algorithm and a new decoding scheme are proposed. An effort smoothness index (ESI) is introduced to measure the variation in effort among workers. Results prove that balancing the physical effort is influential and can be achieved at no extra cost for most cases. Effort balancing is harder to achieve in difficult problems; of high order of strength.",3
