Article Title,Abstract,Authors,Source Title,Publication Year,Document Type,DOI,"Times Cited, WoS Core",Research Areas,Keywords,combined_text,keyword_score,summary,Full Text Retrieved,Objective/Purpose,Cognitive Load Measurement Methods,Key Findings,Relevance to Manufacturing Context,Strengths/Limitations,Full Text Link
Validating an abnormal situation prediction model for smart manufacturing in the oil refining industry,"Human beings play an important role in a smart manufacturing economy. The repetitive and cognitive demanding task operations of smart manufacturing require the development of system models for measuring and predicting human performance, including oil refinery monitoring tasks. The main objective of this research was to validate the generalizability of a mathematical model for the prediction of refinery operators' detection of abnormal events. Moreover, we examined operators' visual behaviors in response to abnormal situations at different ages and with different task loads, task complexities, and input devices. We found that participants had lower mean fixation durations, total fixation numbers, and fixation/saccade ratios when they were in the condition of a touchscreen device. Moreover, we found that older adults had higher mean saccade durations and saccade amplitudes when they were in the condition of a touchscreen device. Finally, the statistical model borrowed from our prior paper was found to be generalizable to different task loads and age groups for the prediction of operators' detection of abnormal events. Our results showed that visual behaviors can indicate specific internal states of participants, including their cognitive workload, attention, and situation awareness in a real-time manner. The findings provide additional support for the value of using visual behavior to predict responsiveness of oil refinery operators and for future applications of smart manufacturing monitoring systems.","Shi, C; Rothrock, L",APPLIED ERGONOMICS,2022,Article,10.1016/j.apergo.2022.103697,4,Engineering; Psychology,Statistical modeling prediction; Interactive devices; Control room; Eye-tracking; CONTROL ROOM OPERATORS; EYE-TRACKING; PETROLEUM; PROGRAM; SAFETY,"Validating an abnormal situation prediction model for smart manufacturing in the oil refining industry Human beings play an important role in a smart manufacturing economy. The repetitive and cognitive demanding task operations of smart manufacturing require the development of system models for measuring and predicting human performance, including oil refinery monitoring tasks. The main objective of this research was to validate the generalizability of a mathematical model for the prediction of refinery operators' detection of abnormal events. Moreover, we examined operators' visual behaviors in response to abnormal situations at different ages and with different task loads, task complexities, and input devices. We found that participants had lower mean fixation durations, total fixation numbers, and fixation/saccade ratios when they were in the condition of a touchscreen device. Moreover, we found that older adults had higher mean saccade durations and saccade amplitudes when they were in the condition of a touchscreen device. Finally, the statistical model borrowed from our prior paper was found to be generalizable to different task loads and age groups for the prediction of operators' detection of abnormal events. Our results showed that visual behaviors can indicate specific internal states of participants, including their cognitive workload, attention, and situation awareness in a real-time manner. The findings provide additional support for the value of using visual behavior to predict responsiveness of oil refinery operators and for future applications of smart manufacturing monitoring systems.",0.1891543370764795," The main objective of this research was to validate the generalizability of a mathematical model for the prediction of refinery operators' detection of abnormal events . We found that participants had lower mean fixation durations, total fixation numbers, and fixation/",False,,,,,,https://scholarsphere.psu.edu/resources/346d40ee-2b4f-41fd-87cb-5ec3a973359f/downloads/20493
Using Cognitive Workload Analysis to Predict and Mitigate Workload for Training Simulation,"Constructive simulation-based training does not always go according to plan. Instructors observe scenarios and direct adaptive responses to unexpected events. Simulation operators typically use a graphical interface to monitor the scenario and generate specific interventions that implement the instructor's intent. These activities require the operators' attention and cognitive resources, particularly for complex directions and scenarios with multiple entities to monitor. We are developing automated tools to reduce operator workload, thereby increasing the cost effectiveness of training. We use cognitive workload analysis to identify situations in which operators would be overloaded, and to identify the factors that cause the overloading. By identifying workload hot spots, we can target more effective automated support strategies. GOMS (Goals, Operators, Methods, Selection) is a theoretical framework for workload analysis that has been applied to many modeling and automation applications. We use GOMS to create a detailed characterization of a set of typical monitoring and intervention tasks for fixed-wing air combat training. This enabled us to synthesize predictive models for combinations of these tasks. The models indicate where operators are likely to have difficulty implementing instructor's intent, as well as where operators are unlikely to be able to complete their tasks correctly. We then used these predictive models to guide the development of tools for reducing operator workload, as well as experimental scenarios for evaluating the effectiveness of those tools. This paper discusses the approach to GOMS modeling, as well as the details of how we used the predictive GOMS models to identify cognitive workload limitations. Using illustrative examples representative of fixed-wing air combat training, we describe composition of workload models, construction of combined predictive models, and use of models for development and testing. (C) 2015 The Authors. Published by Elsevier B.V.","Jones, RM; Wray, RE; Zaientz, J; Bachelor, B; Newton, C","6TH INTERNATIONAL CONFERENCE ON APPLIED HUMAN FACTORS AND ERGONOMICS (AHFE 2015) AND THE AFFILIATED CONFERENCES, AHFE 2015",2015,Proceedings Paper,10.1016/j.promfg.2015.07.825,3,Behavioral Sciences; Engineering,Workload prediction; Workload mitigation; GOMS; Training; Cognitive systems; Autonomous agents; ,"Using Cognitive Workload Analysis to Predict and Mitigate Workload for Training Simulation Constructive simulation-based training does not always go according to plan. Instructors observe scenarios and direct adaptive responses to unexpected events. Simulation operators typically use a graphical interface to monitor the scenario and generate specific interventions that implement the instructor's intent. These activities require the operators' attention and cognitive resources, particularly for complex directions and scenarios with multiple entities to monitor. We are developing automated tools to reduce operator workload, thereby increasing the cost effectiveness of training. We use cognitive workload analysis to identify situations in which operators would be overloaded, and to identify the factors that cause the overloading. By identifying workload hot spots, we can target more effective automated support strategies. GOMS (Goals, Operators, Methods, Selection) is a theoretical framework for workload analysis that has been applied to many modeling and automation applications. We use GOMS to create a detailed characterization of a set of typical monitoring and intervention tasks for fixed-wing air combat training. This enabled us to synthesize predictive models for combinations of these tasks. The models indicate where operators are likely to have difficulty implementing instructor's intent, as well as where operators are unlikely to be able to complete their tasks correctly. We then used these predictive models to guide the development of tools for reducing operator workload, as well as experimental scenarios for evaluating the effectiveness of those tools. This paper discusses the approach to GOMS modeling, as well as the details of how we used the predictive GOMS models to identify cognitive workload limitations. Using illustrative examples representative of fixed-wing air combat training, we describe composition of workload models, construction of combined predictive models, and use of models for development and testing. (C) 2015 The Authors. Published by Elsevier B.V.",0.1889662951207648," We use cognitive workload analysis to identify situations in which operators would be overloaded . By identifying workload hot spots, we can target more effective automated support strategies . GOMS (Goals, Operators, Methods, Selection) is a theoretical",False,,,,,,https://doi.org/10.1016/j.promfg.2015.07.825
Development of a Neuroergonomic Assessment for the Evaluation of Mental Workload in an Industrial Human-Robot Interaction Assembly Task: A Comparative Case Study,"The disruptive deployment of collaborative robots, named cobots, in Industry 5.0 has brought attention to the safety and ergonomic aspects of industrial human-robot interaction (HRI) tasks. In particular, the study of the operator's mental workload in HRI activities has been the research object of a new branch of ergonomics, called neuroergonomics, to improve the operator's wellbeing and the efficiency of the system. This study shows the development of a combinative assessment for the evaluation of mental workload in a comparative analysis of two assembly task scenarios, without and with robot interaction. The evaluation of mental workload is achieved through a combination of subjective (NASA TLX) and real-time objective measurements. This latter measurement is found using an innovative electroencephalogram (EEG) device and the characterization of the cognitive workload through the brainwave power ratio beta/alpha, defined after the pre-processing phase of EEG data. Finally, observational analyses are considered regarding the task performance of the two scenarios. The statistical analyses show how significantly the mental workload diminution and a higher level of performance, as the number of components assembled correctly by the participants, are achieved in the scenario with the robot.","Caiazzo, C; Savkovic, M; Pusica, M; Milojevic, D; Leva, MC; Djapan, M",MACHINES,2023,Article,10.3390/machines11110995,3,Engineering,collaborative robotics; neuroergonomics; IR5.0; human-robot interaction; mental workload; EEG; experimental design; ergonomic assessment; cobots; performance; COLLABORATION; PERFORMANCE,"Development of a Neuroergonomic Assessment for the Evaluation of Mental Workload in an Industrial Human-Robot Interaction Assembly Task: A Comparative Case Study The disruptive deployment of collaborative robots, named cobots, in Industry 5.0 has brought attention to the safety and ergonomic aspects of industrial human-robot interaction (HRI) tasks. In particular, the study of the operator's mental workload in HRI activities has been the research object of a new branch of ergonomics, called neuroergonomics, to improve the operator's wellbeing and the efficiency of the system. This study shows the development of a combinative assessment for the evaluation of mental workload in a comparative analysis of two assembly task scenarios, without and with robot interaction. The evaluation of mental workload is achieved through a combination of subjective (NASA TLX) and real-time objective measurements. This latter measurement is found using an innovative electroencephalogram (EEG) device and the characterization of the cognitive workload through the brainwave power ratio beta/alpha, defined after the pre-processing phase of EEG data. Finally, observational analyses are considered regarding the task performance of the two scenarios. The statistical analyses show how significantly the mental workload diminution and a higher level of performance, as the number of components assembled correctly by the participants, are achieved in the scenario with the robot.",0.1889642996877723," The disruptive deployment of collaborative robots, named cobots, in Industry 5.0 has brought attention to the safety and ergonomic aspects of industrial human-robot interaction (HRI) tasks . The study of the operator's mental workload",False,,,,,,https://www.mdpi.com/2075-1702/11/11/995/pdf?version=1698378025
Electroencephalographic Workload Indicators During Teleoperation of an Unmanned Aerial Vehicle Shepherding a Swarm of Unmanned Ground Vehicles in Contested Environments,"Background: Although many electroencephalographic (EEG) indicators have been proposed in the literature, it is unclear which of the power bands and various indices are best as indicators of mental workload. Spectral powers (Theta, Alpha, and Beta) and ratios (Beta/(Alpha + Theta), Theta/Alpha, Theta/Beta) were identified in the literature as prominent indicators of cognitive workload. Objective: The aim of the present study is to identify a set of EEG indicators that can be used for the objective assessment of cognitive workload in a multitasking setting and as a foundational step toward a human-autonomy augmented cognition system. Methods: The participants' perceived workload was modulated during a teleoperation task involving an unmanned aerial vehicle (UAV) shepherding a swarm of unmanned ground vehicles (UGVs). Three sources of data were recorded from sixteen participants (n = 16): heart rate (HR), EEG, and subjective indicators of the perceived workload using the Air Traffic Workload Input Technique (ATWIT). Results: The HR data predicted the scores from ATWIT. Nineteen common EEG features offered a discriminatory power of the four workload setups with high classification accuracy (82.23%), exhibiting a higher sensitivity than ATWIT and HR. Conclusion: The identified set of features represents EEG indicators for the objective assessment of cognitive workload across subjects. These common indicators could be used for augmented intelligence in human-autonomy teaming scenarios, and form the basis for our work on designing a closed-loop augmented cognition system for human-swarm teaming.","Rojas, RF; Debie, E; Fidock, J; Barlow, M; Kasmarik, K; Anavatti, S; Garratt, M; Abbass, H",FRONTIERS IN NEUROSCIENCE,2020,Article,10.3389/fnins.2020.00040,48,Neurosciences & Neurology,augmented intelligence; cognitive load; human-autonomy teaming; human-swarm teaming; shepherding; mental load; cognitive indicators; EEG; ATTENTION-DEFICIT/HYPERACTIVITY DISORDER; BIOCYBERNETIC SYSTEM; MENTAL WORKLOAD; BETA BANDS; EEG; ALPHA; TASK; PERFORMANCE; INDEXES; AUTOMATION,"Electroencephalographic Workload Indicators During Teleoperation of an Unmanned Aerial Vehicle Shepherding a Swarm of Unmanned Ground Vehicles in Contested Environments Background: Although many electroencephalographic (EEG) indicators have been proposed in the literature, it is unclear which of the power bands and various indices are best as indicators of mental workload. Spectral powers (Theta, Alpha, and Beta) and ratios (Beta/(Alpha + Theta), Theta/Alpha, Theta/Beta) were identified in the literature as prominent indicators of cognitive workload. Objective: The aim of the present study is to identify a set of EEG indicators that can be used for the objective assessment of cognitive workload in a multitasking setting and as a foundational step toward a human-autonomy augmented cognition system. Methods: The participants' perceived workload was modulated during a teleoperation task involving an unmanned aerial vehicle (UAV) shepherding a swarm of unmanned ground vehicles (UGVs). Three sources of data were recorded from sixteen participants (n = 16): heart rate (HR), EEG, and subjective indicators of the perceived workload using the Air Traffic Workload Input Technique (ATWIT). Results: The HR data predicted the scores from ATWIT. Nineteen common EEG features offered a discriminatory power of the four workload setups with high classification accuracy (82.23%), exhibiting a higher sensitivity than ATWIT and HR. Conclusion: The identified set of features represents EEG indicators for the objective assessment of cognitive workload across subjects. These common indicators could be used for augmented intelligence in human-autonomy teaming scenarios, and form the basis for our work on designing a closed-loop augmented cognition system for human-swarm teaming.",0.1819810320913075, Many electroencephalographic (EEG) indicators have been proposed in the literature . The aim of the study is to identify a set of EEG indicators that can be used for the objective assessment of cognitive workload in a multitasking setting .,False,,,,,,https://fjfsdata01prod.blob.core.windows.net/articles/files/509340/pubmed-zip/.versions/1/.package-entries/fnins-14-00040/fnins-14-00040.pdf?sv=2018-03-28&sr=b&sig=C0YVHeI1u%2BVm1VOib%2BMakEciZhbHxuV7ajPMErVHeR4%3D&se=2021-02-19T18%3A29%3A02Z&sp=r&rscd=attachment%3B%20filename%2A%3DUTF-8%27%27fnins-14-00040.pdf
An Online Framework for Cognitive Load Assessment in Industrial Tasks,"The ongoing trend toward Industry 4.0 has revolutionised ordinary workplaces, profoundly changing the role played by humans in the production chain. Research on ergonomics in industrial settings mainly focuses on reducing the operator's physical fatigue and discomfort to improve throughput and avoid safety hazards. However, as the production complexity increases, the cognitive resources demand and mental workload could compromise the operator's performance and the efficiency of the shop floor workplace. State-of-the-art methods in cognitive science work offline and/or involve bulky equipment hardly deployable in industrial settings. This paper presents a novel method for online assessment of cognitive load in manufacturing, primarily assembly, by detecting patterns in human motion directly from the input images of a stereo camera. Head pose estimation and skeleton tracking are exploited to investigate the workers' attention and assess hyperactivity and unforeseen movements. Pilot experiments suggest that our factor assessment tool provides significant insights into workers' mental workload, even confirmed by correlations with physiological and performance measurements. According to data gathered in this study, a vision-based cognitive load assessment has the potential to be integrated into the development of mechatronic systems for improving cognitive ergonomics in manufacturing.","Lagomarsino, M; Lorenzini, M; De Momi, E; Ajoudani, A",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2022,Article,10.1016/j.rcim.2022.102380,23,Computer Science; Engineering; Robotics,Cognitive ergonomics; Cognitive manufacturing; Assembly; Attention estimation; Stress detection; MENTAL-DISORDERS; PERFORMANCE; ATTENTION; WORKLOAD,"An Online Framework for Cognitive Load Assessment in Industrial Tasks The ongoing trend toward Industry 4.0 has revolutionised ordinary workplaces, profoundly changing the role played by humans in the production chain. Research on ergonomics in industrial settings mainly focuses on reducing the operator's physical fatigue and discomfort to improve throughput and avoid safety hazards. However, as the production complexity increases, the cognitive resources demand and mental workload could compromise the operator's performance and the efficiency of the shop floor workplace. State-of-the-art methods in cognitive science work offline and/or involve bulky equipment hardly deployable in industrial settings. This paper presents a novel method for online assessment of cognitive load in manufacturing, primarily assembly, by detecting patterns in human motion directly from the input images of a stereo camera. Head pose estimation and skeleton tracking are exploited to investigate the workers' attention and assess hyperactivity and unforeseen movements. Pilot experiments suggest that our factor assessment tool provides significant insights into workers' mental workload, even confirmed by correlations with physiological and performance measurements. According to data gathered in this study, a vision-based cognitive load assessment has the potential to be integrated into the development of mechatronic systems for improving cognitive ergonomics in manufacturing.",0.1738918317864207, A vision-based cognitive load assessment has the potential to be integrated into the development of mechatronic systems for improving cognitive ergonomics in manufacturing . Head pose estimation and skeleton tracking are exploited to investigate the workers' attention and assess hyper,False,,,,,,http://arxiv.org/pdf/2109.03627
Using near infrared spectroscopy and heart rate variability to detect mental overload,"Mental workload is a key factor influencing the occurrence of human error, especially during piloting and remotely operated vehicle (ROV) operations, where safety depends on the ability of pilots to act appropriately. In particular, excessively high or low mental workload can lead operators to neglect critical information. The objective of the present study is to investigate the potential of functional near infrared spectroscopy (fNIRS) - a non-invasive method of measuring prefrontal cortex activity - in combination with measurements of heart rate variability (HRV), to predict mental workload during a simulated piloting task, with particular regard to task engagement and disengagement. Twelve volunteers performed a computer-based piloting task in which they were asked to follow a dynamic target with their aircraft, a task designed to replicate key cognitive demands associated with real life ROV operating tasks. In order to cover a wide range of mental workload levels, task difficulty was manipulated in terms of processing load and difficulty of control - two critical sources of workload associated with piloting and remotely operating a vehicle. Results show that both fNIRS and HRV are sensitive to different levels of mental workload; notably, lower prefrontal activation as well as a lower LF/HF ratio at the highest level of difficulty, suggest that these measures are suitable for mental overload detection. Moreover, these latter measurements point toward the existence of a quadratic model of mental workload. (C) 2013 Elsevier B.V. All rights reserved.","Durantin, G; Gagnon, JF; Tremblay, S; Dehais, F",BEHAVIOURAL BRAIN RESEARCH,2014,Article,10.1016/j.bbr.2013.10.042,188,Behavioral Sciences; Neurosciences & Neurology,NIRS; HRV; Mental overload; Human factors; Remotely operated vehicle; WORKING-MEMORY; PREFRONTAL CORTEX; BRAIN ACTIVATION; AGE-DIFFERENCES; AUTOMATION USE; WORKLOAD; PERFORMANCE; EXPERTISE; RESPONSES; DYNAMICS,"Using near infrared spectroscopy and heart rate variability to detect mental overload Mental workload is a key factor influencing the occurrence of human error, especially during piloting and remotely operated vehicle (ROV) operations, where safety depends on the ability of pilots to act appropriately. In particular, excessively high or low mental workload can lead operators to neglect critical information. The objective of the present study is to investigate the potential of functional near infrared spectroscopy (fNIRS) - a non-invasive method of measuring prefrontal cortex activity - in combination with measurements of heart rate variability (HRV), to predict mental workload during a simulated piloting task, with particular regard to task engagement and disengagement. Twelve volunteers performed a computer-based piloting task in which they were asked to follow a dynamic target with their aircraft, a task designed to replicate key cognitive demands associated with real life ROV operating tasks. In order to cover a wide range of mental workload levels, task difficulty was manipulated in terms of processing load and difficulty of control - two critical sources of workload associated with piloting and remotely operating a vehicle. Results show that both fNIRS and HRV are sensitive to different levels of mental workload; notably, lower prefrontal activation as well as a lower LF/HF ratio at the highest level of difficulty, suggest that these measures are suitable for mental overload detection. Moreover, these latter measurements point toward the existence of a quadratic model of mental workload. (C) 2013 Elsevier B.V. All rights reserved.",0.1723015019452935," Mental workload is a key factor influencing the occurrence of human error, especially during piloting and remotely operated vehicle (ROV) operations . In particular, excessively high or low mental workload can lead operators to neglect critical information .",False,,,,,,https://hal.archives-ouvertes.fr/hal-00996701/file/Dehais_11612.pdf
Robots Working with Humans or Humans Working with Robots? Searching for Social Dimensions in New Human-Robot Interaction in Industry,"The focus of the following article is on the use of new robotic systems in the manufacturing industry with respect to the social dimension. Since intuitive human-machine interaction (HMI) in robotic systems becomes a significant objective of technical progress, new models of work organization are needed. This hypothesis will be investigated through the following two aims: The first aim is to identify relevant research questions related to the potential use of robotic systems in different systems of work organization at the manufacturing shop-floor level. The second aim is to discuss the conceptualization of (old) organizational problems of human-robot interaction (HRI). In this context, the article reflects on the limits of cognitive and perceptual workload for robot operators in complex working systems. This will be particularly relevant whenever more robots with different roles are to be increasingly used in the manufacturing industry. The integration of such complex socio-technical systems needs further empirical and conceptual research with regard to social aspects of the technical dimension. Future research should, therefore, also integrate economic and societal issues to understand the full dimensions of new human-robot interaction in industry today.","Moniz, AB; Krings, BJ",SOCIETIES,2016,Article,10.3390/soc6030023,63,Sociology,human-machine interaction; manufacturing industry; cognitive workload; complex working systems; organization of work; FUTURE; DESIGN,"Robots Working with Humans or Humans Working with Robots? Searching for Social Dimensions in New Human-Robot Interaction in Industry The focus of the following article is on the use of new robotic systems in the manufacturing industry with respect to the social dimension. Since intuitive human-machine interaction (HMI) in robotic systems becomes a significant objective of technical progress, new models of work organization are needed. This hypothesis will be investigated through the following two aims: The first aim is to identify relevant research questions related to the potential use of robotic systems in different systems of work organization at the manufacturing shop-floor level. The second aim is to discuss the conceptualization of (old) organizational problems of human-robot interaction (HRI). In this context, the article reflects on the limits of cognitive and perceptual workload for robot operators in complex working systems. This will be particularly relevant whenever more robots with different roles are to be increasingly used in the manufacturing industry. The integration of such complex socio-technical systems needs further empirical and conceptual research with regard to social aspects of the technical dimension. Future research should, therefore, also integrate economic and societal issues to understand the full dimensions of new human-robot interaction in industry today.",0.1720787706500464, The focus of the following article is on the use of new robotic systems in the manufacturing industry with respect to the social dimension . Future research should also integrate economic and societal issues to understand the full dimensions of new human-robot interaction in,False,,,,,,https://www.mdpi.com/2075-4698/6/3/23/pdf?version=1470122004
Cognitive Workload Classification in Industry 5.0 Applications: Electroencephalography-Based Bi-Directional Gated Network Approach,"In the era of Industry 5.0, effectively managing cognitive workload is crucial for optimizing human performance and ensuring operational efficiency. Using an EEG-based Bi-directional Gated Network (BDGN) approach, this study tries to figure out how to classify cognitive workload in Industry 5.0 applications. The proposed approach incorporates LSTM (Long Short-Term Memory) and GRU (Gated Recurrent Unit) models in a hybrid architecture to leverage their complementary strengths. This research highlights the utilization of the developed model alongside the MQTT (Message Queuing Telemetry Transport) protocol to facilitate real-time end-to-end data transmission. The deployed AI model performs the classification of cognitive workload based on the received data. The main findings of this research reveal an impressive accuracy of 98% in cognitive workload classification, validating the efficacy of the suggested BDGN approach. This study emphasizes the significance of leveraging EEG-based approaches in Industry 5.0 applications for cognitive workload management.","Afzal, MA; Gu, ZY; Afzal, B; Bukhari, SU",ELECTRONICS,2023,Article,10.3390/electronics12194008,2,Computer Science; Engineering; Physics,cognitive workload; Industry 5.0; electroencephalogram; bi-directional gated networks; human-robot interaction; artificial intelligence; ,"Cognitive Workload Classification in Industry 5.0 Applications: Electroencephalography-Based Bi-Directional Gated Network Approach In the era of Industry 5.0, effectively managing cognitive workload is crucial for optimizing human performance and ensuring operational efficiency. Using an EEG-based Bi-directional Gated Network (BDGN) approach, this study tries to figure out how to classify cognitive workload in Industry 5.0 applications. The proposed approach incorporates LSTM (Long Short-Term Memory) and GRU (Gated Recurrent Unit) models in a hybrid architecture to leverage their complementary strengths. This research highlights the utilization of the developed model alongside the MQTT (Message Queuing Telemetry Transport) protocol to facilitate real-time end-to-end data transmission. The deployed AI model performs the classification of cognitive workload based on the received data. The main findings of this research reveal an impressive accuracy of 98% in cognitive workload classification, validating the efficacy of the suggested BDGN approach. This study emphasizes the significance of leveraging EEG-based approaches in Industry 5.0 applications for cognitive workload management.",0.1701930128347987," Using an EEG-based Bi-directional Gated Network (BDGN) approach, this study tries to figure out how to classify cognitive workload in Industry 5.0 applications . The proposed approach incorporates LSTM (Long Short-",False,,,,,,https://www.mdpi.com/2079-9292/12/19/4008/pdf?version=1695437664
On the impact of on-road partially-automated driving on drivers' cognitive workload and attention allocation,"The use of partially-automated or SAE level-2 vehicles is expected to change the role of the human driver from operator to supervisor, which may have an effect on the driver's workload and visual attention. In this study, 30 Ontario drivers operated a vehicle in manual and partially-automated mode. Cognitive workload was measured by means of the Detection Response Task, and visual attention was measured by means of coding glances on and off the forward roadway. No difference in cognitive workload was found between driving modes. However, drivers spent less time glancing at the forward roadway, and more time glancing at the vehicle's touchscreen. These data add to our knowledge of how vehicle automation affects cognitive workload and attention allocation, and show potential safety risks associated with the adoption of partially-automated driving.","Biondi, FN; Jajo, N",ACCIDENT ANALYSIS AND PREVENTION,2024,Article,10.1016/j.aap.2024.107537,0,"Engineering; Public, Environmental & Occupational Health; Social Sciences - Other Topics; Transportation",Automated driving; Cognitive workload; Attention allocation; Tesla Autopilot; Safety risk; SELF-REGULATION,"On the impact of on-road partially-automated driving on drivers' cognitive workload and attention allocation The use of partially-automated or SAE level-2 vehicles is expected to change the role of the human driver from operator to supervisor, which may have an effect on the driver's workload and visual attention. In this study, 30 Ontario drivers operated a vehicle in manual and partially-automated mode. Cognitive workload was measured by means of the Detection Response Task, and visual attention was measured by means of coding glances on and off the forward roadway. No difference in cognitive workload was found between driving modes. However, drivers spent less time glancing at the forward roadway, and more time glancing at the vehicle's touchscreen. These data add to our knowledge of how vehicle automation affects cognitive workload and attention allocation, and show potential safety risks associated with the adoption of partially-automated driving.",0.1637193484478538," The use of partially-automated or SAE level-2 vehicles is expected to change the role of the human driver from operator to supervisor, which may have an effect on the driver's workload and visual attention .",False,,,,,,https://doi.org/10.1016/j.aap.2024.107537
Experimental study to investigate mental workload of local vs remote operator in human-machine interaction,"A new Coronavirus disease 2019 has spread globally since 2019. Consequently, businesses from different sectors were forced to work remotely. At the same time, research in this area has seen a rise in studying and emerging technologies that allow and promote such a remote working style; not every sector is equipped for such a transition. The manufacturing sector especially, has faced challenges in this respect. This paper investigates the mental workload (MWL) of two groups of participants through a human-machine interaction task. Participants were required to bring a robotised cell to full production by tuning system and dispensing process parameters. Following the experiment, a self-assessment of the participants' perceived MWL using the raw NASA Task Load Index (RTLX) was collected. The results reveal that remote participants tend to have a lower perceived workload compared to the local participants, but mental demand was deemed higher while performance was rated lower.","Zimmer, M; Al-Yacoub, A; Ferreira, P; Hubbard, EM; Lohse, N",PRODUCTION AND MANUFACTURING RESEARCH-AN OPEN ACCESS JOURNAL,2022,Article,10.1080/21693277.2022.2090458,0,Engineering,Mental workload; NASA-TLX; RTLX; remote working; ergonomics; Human-machine interaction; COGNITIVE LOAD ASSESSMENT; VISUAL INFORMATION; COLLABORATION,"Experimental study to investigate mental workload of local vs remote operator in human-machine interaction A new Coronavirus disease 2019 has spread globally since 2019. Consequently, businesses from different sectors were forced to work remotely. At the same time, research in this area has seen a rise in studying and emerging technologies that allow and promote such a remote working style; not every sector is equipped for such a transition. The manufacturing sector especially, has faced challenges in this respect. This paper investigates the mental workload (MWL) of two groups of participants through a human-machine interaction task. Participants were required to bring a robotised cell to full production by tuning system and dispensing process parameters. Following the experiment, a self-assessment of the participants' perceived MWL using the raw NASA Task Load Index (RTLX) was collected. The results reveal that remote participants tend to have a lower perceived workload compared to the local participants, but mental demand was deemed higher while performance was rated lower.",0.1577222377398535," Research in this area has seen a rise in studying and emerging technologies that allow and promote such a remote working style . The manufacturing sector especially, has faced challenges in this respect . Remote participants tend to have a lower perceived workload compared to the",False,,,,,,https://www.tandfonline.com/doi/pdf/10.1080/21693277.2022.2090458?needAccess=true
The effect of cognitive workload on decision authority assignment in human-robot collaboration,"Human-robot collaboration in dynamic industrial environments warrants robot flexibility and shifting between tasks. Adaptive robot behavior unavoidably carries decision-making needs regarding task allocation and scheduling. Such decisions can be made either by the human team members or autonomously, by the robot's controlling algorithm. Human authority may help preserve situational awareness but increases mental demands due to increased responsibilities. Conversely, granting authority to the robot can offload the operator, at the cost of reduced intervention readiness. This paper aims to investigate the question of decision authority assignment in a human-robot team, in terms of performance, perceived workload and subjective preference. We hypothesized that the answer is influenced by the cognitive workload imposed on the human operator by the work process. An experiment with 21 participants was conducted, in which decision authority and induced workload through a secondary task were varied between trials. Results confirmed that operators can support the robot better when decision authority is allocated according to their workload. However, operator decision authority (a) may cause inferior performance at any secondary tasks performed in parallel with robot supervision and (b) increases perceived workload. Subjective preference was found to be evenly divided between the two levels of decision authority, and unaffected by task difficulty. In brief, if human-robot team performance is a priority, humans should be granted decision authority when their overall workload allows it. In high-workload conditions, system decision-making algorithms should be developed. Nonetheless, process designers should be mindful of the interpersonal differences between operators who are destined to collaborate with robots.","Karakikes, M; Nathanael, D",COGNITION TECHNOLOGY & WORK,2023,Article,10.1007/s10111-022-00719-x,9,Engineering,Human-robot collaboration; Decision authority; Task allocation; Adaptive automation; Secondary task; CONSTRUCT-VALIDITY; TRAIL,"The effect of cognitive workload on decision authority assignment in human-robot collaboration Human-robot collaboration in dynamic industrial environments warrants robot flexibility and shifting between tasks. Adaptive robot behavior unavoidably carries decision-making needs regarding task allocation and scheduling. Such decisions can be made either by the human team members or autonomously, by the robot's controlling algorithm. Human authority may help preserve situational awareness but increases mental demands due to increased responsibilities. Conversely, granting authority to the robot can offload the operator, at the cost of reduced intervention readiness. This paper aims to investigate the question of decision authority assignment in a human-robot team, in terms of performance, perceived workload and subjective preference. We hypothesized that the answer is influenced by the cognitive workload imposed on the human operator by the work process. An experiment with 21 participants was conducted, in which decision authority and induced workload through a secondary task were varied between trials. Results confirmed that operators can support the robot better when decision authority is allocated according to their workload. However, operator decision authority (a) may cause inferior performance at any secondary tasks performed in parallel with robot supervision and (b) increases perceived workload. Subjective preference was found to be evenly divided between the two levels of decision authority, and unaffected by task difficulty. In brief, if human-robot team performance is a priority, humans should be granted decision authority when their overall workload allows it. In high-workload conditions, system decision-making algorithms should be developed. Nonetheless, process designers should be mindful of the interpersonal differences between operators who are destined to collaborate with robots.",0.1484335698861384, Human-robot collaboration in dynamic industrial environments warrants robot flexibility and shifting between tasks . Adaptive robot behavior unavoidably carries decision-making needs regarding task allocation and scheduling . Human authority may preserve situational awareness but increases mental demands due to increased,False,,,,,,https://link.springer.com/content/pdf/10.1007/s10111-022-00719-x.pdf
