Title,Abstract,Keywords,Source,Year,Document_Type,Authors,DOI
Development and application of a quantitative index for predicting unsafe behavior of shop floor workers integrating cognitive failure reports and best worst method,"The reliability of shop floor workers, who are often as the final level of a socio-technical system, has been identified as a crucial factor in complex systems. This study aimed to develop and apply a quantitative and practical method to help safety practitioners manage unsafe behavior in industrial systems. This study is a descriptive-analytical, cross-sectional research conducted in an Iranian manufacturing company. A questionnaire containing six primary scales of unsafe behavior was used to evaluate the participants' scores for unsafe behavior. Since the impact of each of the six scales on the occurrence of unsafe behavior varied, the scales were weighted using the best–worst method (BWM). Finally, to quantify the workers' unsafe behavior, the total unsafe behavior index (USBITotal) score was calculated. The mean scores for routine violations (RVs) and exceptional violations (EVs) were 10.68 and 5.09, respectively, indicating the highest and lowest values. The present study introduces an innovative proactive tool to provide safety practitioners with a practical method for predicting cognitive unsafe behavior of shop floor workers. This tool is cost-effective, accessible, and utilizes quantitative measures. The developed method seems to be a suitable tool for measuring the frequency of slips, lapses, and mistakes, as well as various types of violations. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2024.",Human error; Industrial settings; Unsafe behavior; Violations,Soft Computing,2024,Journal,Shakerian M.; Choobineh A.; Jahangiri M.; Alimohammadlou M.; Hasanzadeh J.; Nami M.,10.1007/s00500-024-09750-8
Personalizing Human–Robot Workplace Parameters in Human-Centered Manufacturing,"This study investigates the relationship between collaborative robot (CR) parameters and worker utilization and system performance in human–robot collaboration (HRC) environments. We investigated whether optimized parameters increase workplace efficiency and whether adapting these parameters to the individual worker improves workplace outcomes. Three experimental scenarios with different CR parameters were analyzed in terms of the setup time, assembly time, finished products, work in process, and worker utilization. The main results show that personalized CR parameters significantly improve efficiency and productivity. The scenario in which CR parameters were tailored to individual workers, balanced the workload, and minimized worker stress, resulting in higher productivity compared to non-people-centric settings. The study shows that personalization reduces cognitive and physical stress, promotes worker well-being, and is consistent with the principles of human-centered manufacturing. Overall, our research supports the adoption of personalized, collaborative workplace parameters, supported by the mathematical model, to optimize employee efficiency and health, contributing to human-centered and efficient HRC environments. © 2024 by the authors.",collaborative workplace; efficiency; human-centered manufacturing; human–robot workplace; modeling; stress index,Machines,2024,Journal,Ojsteršek R.; Buchmeister B.; Javernik A.,10.3390/machines12080546
The Cognitive Load Limits of Multiple Safety Signs,"Current construction safety practices heavily rely on the use of multiple safety signs to mitigate potential risks. This study investigates the cognitive load imposed on construction workers by various design characteristics of safety signs, including text-only, pictogram with text, and pictogram-only signs. A comprehensive cognitive assessment of 513 construction workers was conducted to measure recall rates and visual attention. The results revealed that text-only signs led to lower cognitive load compared with pictogram-based signs, with no significant split-attention effect observed when text and pictograms were combined. The average recall rate across all sign types was 3.32 items, with over 95% of participants recalling six or fewer items. Additionally, recall rates for pictogram-based signs decreased significantly when more than nine items were displayed. Visual attention analysis indicated that while color had no significant impact, the order of placement did. These findings highlight the importance of limiting the number of safety signs and carefully designing them to optimize recall and reduce cognitive load. Future research should explore additional factors such as sex, complexity of work, and environmental conditions to develop a more comprehensive understanding of cognitive load in construction settings. © 2024 by the authors.",cognitive load; construction industry; multiple safety signs; risk communication; working memory,Buildings,2024,Journal,Kwon Y.H.; Kwon Y.B.; Nwagbala D.C.; Park J.Y.,10.3390/buildings14082391
Show Me What's Wrong: Impact of Explicit Alerts on Novice Supervisors of a Multi-Robot Monitoring System,"With the rise of autonomous multi-robot systems, the role of the robot operator shifts from controlling and observing a single robot to that of a supervisor overseeing multiple robots. Previous studies suggest that timely warnings of problematic events improve a user's ability to monitor multiple robots, however, research has not examined the influence alerts have on user monitoring behavior and their perceptions of the system. We present a 2x2 study design where we manipulate the operator's cognitive load through the number of simultaneous robots under their control and the level of support through the absence or presence of warnings. Our findings suggest that users are more likely to fixate on alerts when shown explicitly, and task difficulty influenced the user's willingness to allow the robots to act autonomously. Our research offers insights for advancing the design of autonomous multi-robot interfaces, emphasizing strategies to enhance the simultaneous monitoring of numerous robots. © 2024 Copyright held by the owner/author(s).",,ACM International Conference Proceeding Series,2024,Conference,Bahodi M.-T.; van Berkel N.; Skov M.B.; Merritt T.R.,10.1145/3686038.3686069
Assessment of a large language model based digital intelligent assistant in assembly manufacturing,"The use of Digital Intelligent Assistants (DIAs) in manufacturing aims to enhance performance and reduce cognitive workload. By leveraging the advanced capabilities of Large Language Models (LLMs), the research aims to understand the impact of DIAs on assembly processes, emphasizing human-centric design and operational efficiency. The study is novel in considering the three primary objectives: evaluating the technical robustness of DIAs, assessing their effect on operators' cognitive workload and user experience, and determining the overall performance improvement of the assembly process. Methodologically, the research employs a laboratory experiment, incorporating a controlled setting to meticulously assess the DIA's performance. The experiment used a between-subjects design comparing a group of participants using the DIA against a control group relying on traditional manual methods across a series of assembly tasks. Findings reveal a significant enhancement in the operators' experience, a reduction in cognitive load, and an improvement in the quality of process outputs when the DIA is employed. The article contributes to the study of the DIA's potential and AI integration in manufacturing, offering insights into the design, development, and evaluation of DIAs in industrial settings. © 2024 The Authors",Artificial intelligence; Chatbot; Experimental design; Industry 4.0; Industry 5.0; Natural language processing,Computers in Industry,2024,Journal,Colabianchi S.; Costantino F.; Sabetta N.,10.1016/j.compind.2024.104129
Construction of a virtual simulation practical teaching system for intelligent manufacturing under the background of new engineering,"To adapt to the new direction of engineering education reform in China under the background of new engineering, and to promote the transformation and upgrading of intelligent manufacturing professionals, a virtual simulation practice teaching system based on Internet technology is constructed. Relying on “online + offline” resources, experimental modules are designed, a course resource library is built, a digital cloud platform is developed, and a “One Body, Two Wings” virtual simulation teaching and training system is established. Practice has shown that the virtual simulation system has the advantages of immersion, interaction, imagination, and reality, which can meet the basic needs of users and provide a safe and immersive experimental operation experience. The comparative data on practical effectiveness shows that virtual simulation teaching has significantly improved students' theoretical knowledge, practical skills, and innovative ability, making graduates highly desirable by enterprises. The virtual simulation system not only enhances user experience, but also improves students' learning effect, professional cognitive ability, and professional practice ability. The system provides strong technical support for the cultivation of intelligent manufacturing professionals, and is an efficient and practical tool in the field of teaching and training, with broad application prospects. © 2024 Wiley Periodicals LLC.",digital resource system; human–computer interface; improving classroom teaching; virtual reality; virtual simulation practical teaching system,Computer Applications in Engineering Education,2024,Journal,Wang Y.; Liu Y.,10.1002/cae.22768
Feasibility and performance enhancement of collaborative control of unmanned ground vehicles via virtual reality,"To support people working in dangerous industries, virtual reality (VR) can ensure operators manipulate standardized tasks and work collaboratively to deal with potential risks. Surprisingly, limited research has paid attention to the cognitive load of operators in their collaborative tasks, especially via VR interfaces. Once task demands become complex, many researchers focus on optimizing the design of the interaction interfaces to reduce the cognitive load on the operator. In this paper, we propose a new collaborative VR system with edge enhancement to support two teleoperators working in the VR environment to remote control an uncrewed ground vehicle. We use a compared experiment to evaluate the collaborative VR systems, focusing on the time spent on tasks and the total number of operations. Our results show that the total number of processes and the cognitive load during operations were significantly lower in the two-person group than in the single-person group. Our study sheds light on designing VR systems to support collaborative work with respect to the flow of work of teleoperators instead of simply optimizing the design outcomes. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024. corrected publication 2024.",Collaborative remote control; Human visual augmentation; Teleoperation; Unmanned ground vehicles; Virtual reality,Personal and Ubiquitous Computing,2024,Journal,Li Z.; Luo Y.; Wang J.; Pan Y.; Yu L.; Liang H.-N.,10.1007/s00779-024-01799-4
Assembly complexity and physiological response in human-robot collaboration: Insights from a preliminary experimental analysis,"Industry 5.0 paradigm has renewed interest in the human sphere, emphasizing the importance of workers’ well-being in manufacturing activities. In such context, collaborative robotics originated as a technology to support humans in tiring and repetitive tasks. This study investigates the effects of assembly complexity in Human-Robot collaboration using physiological indicators of cognitive effort. In a series of experiments, participants performed assembly processes of different products with varying complexity, in two modalities: manually and with cobot assistance. Physiological measures, including skin conductance, heart rate variability and eye-tracking metrics were collected. The analysis of physiological signals showed trends suggesting the impact of assembly complexity and cobot support. One key finding of the study is that a single physiological signal usually may not provide a complete understanding of cognitive load. Therefore, a holistic approach should be followed. This approach highlighted the importance of considering multiple measures simultaneously to accurately assess workers’ well-being in industrial environments. © 2024 The Author(s)",Assembly complexity; Human-robot collaboration; Humans’ well-being; Industry 5.0; Physiological signals,Robotics and Computer-Integrated Manufacturing,2024,Journal,Capponi M.; Gervasi R.; Mastrogiacomo L.; Franceschini F.,10.1016/j.rcim.2024.102789
A knowledge transfer method for human-robot collaborative disassembly of end-of-life power batteries based on augmented reality,"The disassembly of power batteries poses significant challenges due to their complex sources, diverse types, variations in design and manufacturing processes, and diverse service conditions. Human memory capacity and robot cognitive and understanding capabilities are limited when faced with different dismantling tasks for end-of-life power batteries. Insufficient human-computer interaction capabilities greatly hinder the efficiency of human-robot collaboration (HRC) operations. The existing HRC relies heavily on the experience of operators, while the existing disassembly system fails to update new disassembly strategies in real time when facing new battery varieties. Therefore, this paper proposes an augmented reality-assisted human-robot collaboration (AR-HRC) power battery dismantling system based on transfer learning. It consists of three modules: AR-HRC knowledge modeling, dismantling subgraph similarity assessment, and strategy transfer update. The AR-HRC knowledge modeling module aims to establish an intelligent mapping from tasks to collaborative strategies based on part features. Based on the evaluation of task similarity, the mobility assessment model divides subtasks into similar and dissimilar classes. For similar subtasks, the original dismantling strategy can be applied to the current task. However, for different subtasks, operators can issue instructions to the AR-HRC system through the human-computer interaction function of AR and develop new collaborative strategies based on actual conditions. Finally, a case study of power battery dismantling is conducted, and the results show that compared to traditional pre-programmed assembly, this system can improve dismantling efficiency and reduce cognitive burden.  © The Author(s), 2024. Published by Cambridge University Press.",AR; AR-HRC; HRC; KT; power battery; strategy transfer update; transfer learning,"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",2024,Journal,Li J.; Duan L.; Qu W.; Zheng H.,10.1017/S0890060424000088
Pupil Responses as Indicators of Learning and Adaptation in Human-Robot Collaboration Scenarios,"The shift towards a more human-centric manufacturing approach in Industry 5.0 emphasizes the integration of technologies that augment rather than replace human capabilities, highlighting the role of collaborative robots (cobots). These cobots, designed to work closely with human operators, bring adaptability and efficiency to the manufacturing floor, adjusting to various tasks and production needs. This integration, while promising, introduces challenges, especially in terms of human adaptation and learning in dynamic work settings. To date, research has primarily focused on the technological advancement of cobots, often overlooking the human component in this collaborative equation. Our study seeks to bridge this gap by employing pupillometry to explore learning effects within human-robot collaboration (HRC), specifically examining human adaptation to complex and extended tasks reflective of industrial environments. Through a multifactorial design involving 19 participants engaged in three trials repeated for two task difficulty levels, the research analyzes performance metrics along with changes in pupil diameter. The results discovered that repetitive task execution is related to decreased operation time and pupil diameter, suggesting reduced cognitive load levels. These findings imply the potential utility of pupillometry as an indicator of human adaptation to complex task execution, promoting further investigation into physiological measures to optimize cobot integration into the workplace.  © 2024 Owner/Author.",Collaborative Cobots; Eye-tracking; Industry 5.0; Task learning,ACM International Conference Proceeding Series,2024,Conference,Zanardi D.; Nenna F.; Orlando E.M.; Nannetti M.; Mingardi M.; Buodo G.; Gamberini L.,10.1145/3652037.3663909
Effects of multitasking and task interruptions on task performance and cognitive load: considering the moderating role of individual resilience,"Given the complex presentation of multi-source information and the intertwining and fusion of task types, multitasking and task interruptions have become the norm of human-machine cooperative operations in complex industrial systems. Aiming to address nested and overlapping multitasking and task interruptions, this study investigated their interaction mechanisms on task performance and cognitive load. The study utilized AX-CPT and VFT to form a multitasking situation, and simple math problems with positive and negative judgments to form a task interruption. It tested the task performance of 30 subjects under task interruptions (with interruption vs. without interruption) with different task types (single task vs. multitasking) and analyzed the interaction effects of multitasking and task interruptions on task performance and cognitive load. Finally, the study aimed to verify the moderating role of individual resilience. The results showed that (1) multitasking resulted in a significant decrease in correctness, a significant increase in reaction time, and a significant increase in cognitive load; (2) Task interruptions significantly increased reaction time and cognitive load, while they decreased task correctness only during monotasking; this effect was not significant in multitasking; (3) Moderate and high resilience significantly modulated the increase in cognitive load associated with task interruptions during multitasking. These findings are instrumental in optimizing human-machine collaborative job scheduling, enhancing workflow efficiency, identifying the equilibrium between task performance and cognitive load, and providing crucial support for task management and performance improvement. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",Individual resilience; Multitasking; Task interruption; Task performance,Current Psychology,2024,Journal,Yuan X.; Zhong L.,10.1007/s12144-024-06094-2
Effect of ergonomic aspects on single- and multiproduct assembly-line balancing problems,"Incorporating ergonomic considerations into an assembly-line balancing problem (ALBP) enhances productivity and minimizes ergonomic concerns. The assembly process, characterized by repetitive motions and handling numerous components, can lead to worker overload. Consequently, the inclusion of ergonomic aspects results in an appropriate distribution of assembly operations and relative workloads. This study investigates a multi-objective ALBP aimed at minimizing the number of workstations, overall skill level required, and variance in workers' energy expenditure across workstations. To address the ALBP while considering the ergonomic aspects, this study proposes an approach based on the non-dominated sorting genetic algorithm II (NSGA-II) and multi-objective simulated annealing (MOSA) using Pareto optimality. A comparative analysis of the NSGA-II and MOSA is conducted in single- and multiproduct production scenarios, and a computational study involving various factors is performed to identify the dominant algorithm. The computational analysis indicates that the runtime performance of MOSA is 73.287% better than that of NSGA-II; therefore, MOSA outperforms NSGA-II. This study aims at applying scientific knowledge concerning manufacturing ergonomics to assist manufacturing industries in enhancing their productivity. © 2024 Wiley Periodicals LLC.",assembly line balancing; cognitive abilities; cognitive skills; ergonomics; multi-objective optimization; multi-objective simulated annealing; non-dominated sorting genetic algorithm II,Human Factors and Ergonomics in Manufacturing and Service Industries,2024,Journal,Giridhar M.P.; Panicker V.V.,10.1002/hfm.21046
Exploring the Effects of Industry 4.0/5.0 on Human Factors: A Preliminary Systematic Literature Review,"Industry 5.0, built on the foundation of Industry 4.0, aims to integrate human capabilities and principles for a sustainable and human-centric industrial paradigm. This article proposes a systematic literature review to explore the empirical effects of Industry 4.0/5.0 (I4.0/5.0) technologies on human factors, emphasizing the often overlooked physical, psychological, and cognitive dimensions. The methodology, adhering to PRISMA guidelines, involved a Scopus search spanning from 2005-2023, ultimately resulting in a selection of 15 articles. The preliminary results depict the studied I4.0/5.0 technologies and their impact on workers' physical, psychological, and cognitive aspects. Some (I4.0/5.0) technologies received significant attention, such as human-robot communication and human-robot interaction, while others remain understudied. The limited number of papers makes it difficult to compare and generalize the empirical results reported. In this regard, we propose avenues for refining this systematic literature review in future research endeavors.  Copyright © 2024 The Authors.",Cognitive factors; Human factors; Industry 5.0; Physical factors; Psychological factors,IFAC-PapersOnLine,2024,Conference,Yahia E.; Magnani F.; Joblot L.; Passalacqua M.; Pellerin R.,10.1016/j.ifacol.2024.09.268
