Article Title,Abstract,Authors,Source Title,Publication Year,Document Type,DOI,"Times Cited, WoS Core",Research Areas,Keywords,combined_text,keyword_score,summary,Full Text Retrieved,Objective/Purpose,Cognitive Load Measurement Methods,Key Findings,Relevance to Manufacturing Context,Strengths/Limitations
Real-time prediction of short-timescale fluctuations in cognitive workload,"Human operators often experience large fluctuations in cognitive workload over seconds timescales that can lead to sub-optimal performance, ranging from overload to neglect. Adaptive automation could potentially address this issue, but to do so it needs to be aware of real-time changes in operators' spare cognitive capacity, so it can provide help in times of peak demand and take advantage of troughs to elicit operator engagement. However, it is unclear whether rapid changes in task demands are reflected in similarly rapid fluctuations in spare capacity, and if so what aspects of responses to those demands are predictive of the current level of spare capacity. We used the ISO standard detection response task (DRT) to measure cognitive workload approximately every 4 s in a demanding task requiring monitoring and refueling of a fleet of simulated unmanned aerial vehicles (UAVs). We showed that the DRT provided a valid measure that can detect differences in workload due to changes in the number of UAVs. We used cross-validation to assess whether measures related to task performance immediately preceding the DRT could predict detection performance as a proxy for cognitive workload. Although the simple occurrence of task events had weak predictive ability, composite measures that tapped operators' situational awareness with respect to fuel levels were much more effective. We conclude that cognitive workload does vary rapidly as a function of recent task events, and that real-time predictive models of operators' cognitive workload provide a potential avenue for automation to adapt without an ongoing need for intrusive workload measurements.","Boehm, U; Matzke, D; Gretton, M; Castro, S; Cooper, J; Skinner, M; Strayer, D; Heathcote, A",COGNITIVE RESEARCH-PRINCIPLES AND IMPLICATIONS,2021,Article,10.1186/s41235-021-00289-y,8,Psychology,Cognitive workload; Detection response task; Cross-validation; Workload prediction; Human-automation teaming; MENTAL WORKLOAD; MODEL SELECTION; SYSTEM; TASKS; PERFORMANCE; COMPLEXITY,"Real-time prediction of short-timescale fluctuations in cognitive workload Human operators often experience large fluctuations in cognitive workload over seconds timescales that can lead to sub-optimal performance, ranging from overload to neglect. Adaptive automation could potentially address this issue, but to do so it needs to be aware of real-time changes in operators' spare cognitive capacity, so it can provide help in times of peak demand and take advantage of troughs to elicit operator engagement. However, it is unclear whether rapid changes in task demands are reflected in similarly rapid fluctuations in spare capacity, and if so what aspects of responses to those demands are predictive of the current level of spare capacity. We used the ISO standard detection response task (DRT) to measure cognitive workload approximately every 4 s in a demanding task requiring monitoring and refueling of a fleet of simulated unmanned aerial vehicles (UAVs). We showed that the DRT provided a valid measure that can detect differences in workload due to changes in the number of UAVs. We used cross-validation to assess whether measures related to task performance immediately preceding the DRT could predict detection performance as a proxy for cognitive workload. Although the simple occurrence of task events had weak predictive ability, composite measures that tapped operators' situational awareness with respect to fuel levels were much more effective. We conclude that cognitive workload does vary rapidly as a function of recent task events, and that real-time predictive models of operators' cognitive workload provide a potential avenue for automation to adapt without an ongoing need for intrusive workload measurements.",0.1997191948889987," Human operators often experience large fluctuations in cognitive workload over seconds timescales that can lead to sub-optimal performance . Adaptive automation could potentially address this issue, but to do so it needs to be aware of real-time changes",False,,,,,
On the development of a method for cognitive load assessment in manufacturing,"The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents the development of an analytic method, denoted CLAM (Cognitive Load Assessment for Manufacturing), and a tool for assessing cognitive load in manufacturing, primarily assembly. It outlines the journey of the development as well as discusses and problematizes relevant meta-methodological issues paired with method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice. With this purpose in mind, focus of the method development has been on the practitioners, i.e. the method should not require any expert knowledge to be applied. The CLAM method and accompanying documentation such as a handbook containing instructions towards using the method and interpreting the results, is available in an online tool.","Thorvald, P; Lindblom, J; Andreasson, R",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2019,Article,10.1016/j.rcim.2019.04.012,31,Computer Science; Engineering; Robotics,Cognitive load; Manufacturing; Assembly; Method development; CLAM method; MENTAL WORKLOAD; DESIGN,"On the development of a method for cognitive load assessment in manufacturing The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents the development of an analytic method, denoted CLAM (Cognitive Load Assessment for Manufacturing), and a tool for assessing cognitive load in manufacturing, primarily assembly. It outlines the journey of the development as well as discusses and problematizes relevant meta-methodological issues paired with method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice. With this purpose in mind, focus of the method development has been on the practitioners, i.e. the method should not require any expert knowledge to be applied. The CLAM method and accompanying documentation such as a handbook containing instructions towards using the method and interpreting the results, is available in an online tool.",0.19757659387798457, CLAM (Cognitive Load Assessment for Manufacturing) is a tool for assessing cognitive load in manufacturing . The CLAM method and accompanying documentation such as a handbook containing instructions towards using the method and interpreting the results .,False,,,,,
Towards Modern Inclusive Factories: A Methodology for the Development of Smart Adaptive Human-Machine Interfaces,"Modern manufacturing systems typically require high degrees of flexibility, in terms of ability to customize the production lines to the constantly changing market requests. For this purpose, manufacturing systems are required to be able to cope with changes in the types of products, and in the size of the production batches. As a consequence, the human-machine interfaces (HMIs) are typically very complex, and include a wide range of possible operational modes and commands. This generally implies an unsustainable cognitive workload for the human operators, in addition to a non-negligible training effort. To overcome this issue, in this paper we present a methodology for the design of adaptive human-centred HMIs for industrial machines and robots. The proposed approach relies on three pillars: measurement of user's capabilities, adaptation of the information presented in the HMI, and training of the user. The results expected from the application of the proposed methodology are investigated in terms of increased customization and productivity of manufacturing processes, and wider acceptance of automation technologies. The proposed approach has been devised in the framework of the European project INCLUSIVE.","Villani, V; Sabattini, L; Czerniak, JN; Mertens, A; Vogel-Heuser, B; Fantuzzi, C",2017 22ND IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA),2017,Proceedings Paper,,30,Automation & Control Systems; Engineering,; DESIGN,"Towards Modern Inclusive Factories: A Methodology for the Development of Smart Adaptive Human-Machine Interfaces Modern manufacturing systems typically require high degrees of flexibility, in terms of ability to customize the production lines to the constantly changing market requests. For this purpose, manufacturing systems are required to be able to cope with changes in the types of products, and in the size of the production batches. As a consequence, the human-machine interfaces (HMIs) are typically very complex, and include a wide range of possible operational modes and commands. This generally implies an unsustainable cognitive workload for the human operators, in addition to a non-negligible training effort. To overcome this issue, in this paper we present a methodology for the design of adaptive human-centred HMIs for industrial machines and robots. The proposed approach relies on three pillars: measurement of user's capabilities, adaptation of the information presented in the HMI, and training of the user. The results expected from the application of the proposed methodology are investigated in terms of increased customization and productivity of manufacturing processes, and wider acceptance of automation technologies. The proposed approach has been devised in the framework of the European project INCLUSIVE.",0.19696872357386178," Modern manufacturing systems typically require high degrees of flexibility, in terms of ability to customize the production lines to the constantly changing market requests . The proposed approach relies on three pillars: measurement of user's capabilities, adaptation of the information presented in the",False,,,,,
Simulation-Based Evaluation of Adaptive Automation Revoking Strategies on Cognitive Workload and Situation Awareness,"Adaptive systems have used a variety of approaches to return the task responsibility back to the user, including restoration of performance or physiological thresholds, leveling of task loads, and user-initiated deactivation. Little attention has been paid to evaluating the relative effectiveness of these various handoff mechanisms, or the impact that these mechanisms may have on operator workload and situation awareness (SA). This study uses an Improved Performance Research Integration Tool simulation, based upon a human-in-the-loop study, to examine two different revoking strategies (minimum duration and workload threshold) across numerous levels in order to identify impacts on operator workload and SA. This study finds that operator workload and SA are affected by the type of revoking strategy as well as the particular level used for that strategy. For the scenario examined, automation revoking that relied upon a minimum duration of at least 5 s was found to be more effective in reducing workload and increasing SA than using a revoking strategy based upon workload thresholds.","Rusnock, CF; Geiger, CD",IEEE TRANSACTIONS ON HUMAN-MACHINE SYSTEMS,2017,Article,10.1109/THMS.2016.2618004,5,Computer Science,Adaptive automation; human performance modeling; revoking strategies; simulation; MENTAL WORKLOAD; SYSTEM; PERFORMANCE; TASK; TRUST; LEVEL; MODEL,"Simulation-Based Evaluation of Adaptive Automation Revoking Strategies on Cognitive Workload and Situation Awareness Adaptive systems have used a variety of approaches to return the task responsibility back to the user, including restoration of performance or physiological thresholds, leveling of task loads, and user-initiated deactivation. Little attention has been paid to evaluating the relative effectiveness of these various handoff mechanisms, or the impact that these mechanisms may have on operator workload and situation awareness (SA). This study uses an Improved Performance Research Integration Tool simulation, based upon a human-in-the-loop study, to examine two different revoking strategies (minimum duration and workload threshold) across numerous levels in order to identify impacts on operator workload and SA. This study finds that operator workload and SA are affected by the type of revoking strategy as well as the particular level used for that strategy. For the scenario examined, automation revoking that relied upon a minimum duration of at least 5 s was found to be more effective in reducing workload and increasing SA than using a revoking strategy based upon workload thresholds.",0.1925476609821563, Adaptive systems have used a variety of approaches to return the task responsibility back to the user . This study finds that operator workload and SA are affected by the type of revoking strategy as well as the particular level used for that strategy .,False,,,,,
"Impact of experience on the sensitivity, acceptability, and intrusive of two subjective mental workload techniques: The NASA TLX and workload profile","BACKGROUND: Today's work environments have high cognitive demands, and mental workload is one of the main causes of work stress, human errors, and accidents. While several mental workload studies have compared the mental workload perceived by groups of experienced participants to that perceived by novice groups, no comparisons have been made between the same individuals performing the same tasks at different times. OBJECTIVE: This work aims to compare NASA Task Load Index (NASA-TLX) toWorkload Profile (WP) in terms of their sensitivity. The comparison considers the impact of experience and task differentiation in the same individual once a degree of experience has been developed in the execution of the same tasks. It also considers the acceptability and intrusivity of the techniques. METHODS: The sample consisted of 30 participants who performed four tasks in two sessions. The first session was performed when participants had no experience; the second session was performed after a time of practice. Mental workload was assessed after each session. Statistical methods were used to compare the results. RESULTS: The NASA-TLX proved to be more sensitive to experience, while the WP showed greater sensitivity to task differentiation. In addition, while both techniques featured a similar degree of intrusivity, the NASA-TLX received greater acceptability. CONCLUSION: The acceptability of WP is low due to the high complexity of its dimensions and clarifying explanations of these may be necessary to increase acceptability. Future research proposals should be expanded to consider mental workload when designing work environments in current manufacturing environments.","Barajas-Bustillos, MA; Maldonado-Macías, AA; Serrano-Rosa, MA; Hernandez-Arellano, JL; Llamas-Alonso, L; Balderrama-Armendariz, O",WORK-A JOURNAL OF PREVENTION ASSESSMENT & REHABILITATION,2023,Article,10.3233/WOR-211324,0,"Public, Environmental & Occupational Health",Cognition; workplace; mental tasks; manufacturing; TASK,"Impact of experience on the sensitivity, acceptability, and intrusive of two subjective mental workload techniques: The NASA TLX and workload profile BACKGROUND: Today's work environments have high cognitive demands, and mental workload is one of the main causes of work stress, human errors, and accidents. While several mental workload studies have compared the mental workload perceived by groups of experienced participants to that perceived by novice groups, no comparisons have been made between the same individuals performing the same tasks at different times. OBJECTIVE: This work aims to compare NASA Task Load Index (NASA-TLX) toWorkload Profile (WP) in terms of their sensitivity. The comparison considers the impact of experience and task differentiation in the same individual once a degree of experience has been developed in the execution of the same tasks. It also considers the acceptability and intrusivity of the techniques. METHODS: The sample consisted of 30 participants who performed four tasks in two sessions. The first session was performed when participants had no experience; the second session was performed after a time of practice. Mental workload was assessed after each session. Statistical methods were used to compare the results. RESULTS: The NASA-TLX proved to be more sensitive to experience, while the WP showed greater sensitivity to task differentiation. In addition, while both techniques featured a similar degree of intrusivity, the NASA-TLX received greater acceptability. CONCLUSION: The acceptability of WP is low due to the high complexity of its dimensions and clarifying explanations of these may be necessary to increase acceptability. Future research proposals should be expanded to consider mental workload when designing work environments in current manufacturing environments.",0.19150085268601696," Mental workload is one of the main causes of work stress, human errors, and accidents . NASA Task Load Index (NASA-TLX) proved to be more sensitive to experience, while the WP showed greater sensitivity to task differentiation .",False,,,,,
Validating an abnormal situation prediction model for smart manufacturing in the oil refining industry,"Human beings play an important role in a smart manufacturing economy. The repetitive and cognitive demanding task operations of smart manufacturing require the development of system models for measuring and predicting human performance, including oil refinery monitoring tasks. The main objective of this research was to validate the generalizability of a mathematical model for the prediction of refinery operators' detection of abnormal events. Moreover, we examined operators' visual behaviors in response to abnormal situations at different ages and with different task loads, task complexities, and input devices. We found that participants had lower mean fixation durations, total fixation numbers, and fixation/saccade ratios when they were in the condition of a touchscreen device. Moreover, we found that older adults had higher mean saccade durations and saccade amplitudes when they were in the condition of a touchscreen device. Finally, the statistical model borrowed from our prior paper was found to be generalizable to different task loads and age groups for the prediction of operators' detection of abnormal events. Our results showed that visual behaviors can indicate specific internal states of participants, including their cognitive workload, attention, and situation awareness in a real-time manner. The findings provide additional support for the value of using visual behavior to predict responsiveness of oil refinery operators and for future applications of smart manufacturing monitoring systems.","Shi, C; Rothrock, L",APPLIED ERGONOMICS,2022,Article,10.1016/j.apergo.2022.103697,4,Engineering; Psychology,Statistical modeling prediction; Interactive devices; Control room; Eye-tracking; CONTROL ROOM OPERATORS; EYE-TRACKING; PETROLEUM; PROGRAM; SAFETY,"Validating an abnormal situation prediction model for smart manufacturing in the oil refining industry Human beings play an important role in a smart manufacturing economy. The repetitive and cognitive demanding task operations of smart manufacturing require the development of system models for measuring and predicting human performance, including oil refinery monitoring tasks. The main objective of this research was to validate the generalizability of a mathematical model for the prediction of refinery operators' detection of abnormal events. Moreover, we examined operators' visual behaviors in response to abnormal situations at different ages and with different task loads, task complexities, and input devices. We found that participants had lower mean fixation durations, total fixation numbers, and fixation/saccade ratios when they were in the condition of a touchscreen device. Moreover, we found that older adults had higher mean saccade durations and saccade amplitudes when they were in the condition of a touchscreen device. Finally, the statistical model borrowed from our prior paper was found to be generalizable to different task loads and age groups for the prediction of operators' detection of abnormal events. Our results showed that visual behaviors can indicate specific internal states of participants, including their cognitive workload, attention, and situation awareness in a real-time manner. The findings provide additional support for the value of using visual behavior to predict responsiveness of oil refinery operators and for future applications of smart manufacturing monitoring systems.",0.18915433707647955," The main objective of this research was to validate the generalizability of a mathematical model for the prediction of refinery operators' detection of abnormal events . We found that participants had lower mean fixation durations, total fixation numbers, and fixation/",False,,,,,
Using Cognitive Workload Analysis to Predict and Mitigate Workload for Training Simulation,"Constructive simulation-based training does not always go according to plan. Instructors observe scenarios and direct adaptive responses to unexpected events. Simulation operators typically use a graphical interface to monitor the scenario and generate specific interventions that implement the instructor's intent. These activities require the operators' attention and cognitive resources, particularly for complex directions and scenarios with multiple entities to monitor. We are developing automated tools to reduce operator workload, thereby increasing the cost effectiveness of training. We use cognitive workload analysis to identify situations in which operators would be overloaded, and to identify the factors that cause the overloading. By identifying workload hot spots, we can target more effective automated support strategies. GOMS (Goals, Operators, Methods, Selection) is a theoretical framework for workload analysis that has been applied to many modeling and automation applications. We use GOMS to create a detailed characterization of a set of typical monitoring and intervention tasks for fixed-wing air combat training. This enabled us to synthesize predictive models for combinations of these tasks. The models indicate where operators are likely to have difficulty implementing instructor's intent, as well as where operators are unlikely to be able to complete their tasks correctly. We then used these predictive models to guide the development of tools for reducing operator workload, as well as experimental scenarios for evaluating the effectiveness of those tools. This paper discusses the approach to GOMS modeling, as well as the details of how we used the predictive GOMS models to identify cognitive workload limitations. Using illustrative examples representative of fixed-wing air combat training, we describe composition of workload models, construction of combined predictive models, and use of models for development and testing. (C) 2015 The Authors. Published by Elsevier B.V.","Jones, RM; Wray, RE; Zaientz, J; Bachelor, B; Newton, C","6TH INTERNATIONAL CONFERENCE ON APPLIED HUMAN FACTORS AND ERGONOMICS (AHFE 2015) AND THE AFFILIATED CONFERENCES, AHFE 2015",2015,Proceedings Paper,10.1016/j.promfg.2015.07.825,3,Behavioral Sciences; Engineering,Workload prediction; Workload mitigation; GOMS; Training; Cognitive systems; Autonomous agents; ,"Using Cognitive Workload Analysis to Predict and Mitigate Workload for Training Simulation Constructive simulation-based training does not always go according to plan. Instructors observe scenarios and direct adaptive responses to unexpected events. Simulation operators typically use a graphical interface to monitor the scenario and generate specific interventions that implement the instructor's intent. These activities require the operators' attention and cognitive resources, particularly for complex directions and scenarios with multiple entities to monitor. We are developing automated tools to reduce operator workload, thereby increasing the cost effectiveness of training. We use cognitive workload analysis to identify situations in which operators would be overloaded, and to identify the factors that cause the overloading. By identifying workload hot spots, we can target more effective automated support strategies. GOMS (Goals, Operators, Methods, Selection) is a theoretical framework for workload analysis that has been applied to many modeling and automation applications. We use GOMS to create a detailed characterization of a set of typical monitoring and intervention tasks for fixed-wing air combat training. This enabled us to synthesize predictive models for combinations of these tasks. The models indicate where operators are likely to have difficulty implementing instructor's intent, as well as where operators are unlikely to be able to complete their tasks correctly. We then used these predictive models to guide the development of tools for reducing operator workload, as well as experimental scenarios for evaluating the effectiveness of those tools. This paper discusses the approach to GOMS modeling, as well as the details of how we used the predictive GOMS models to identify cognitive workload limitations. Using illustrative examples representative of fixed-wing air combat training, we describe composition of workload models, construction of combined predictive models, and use of models for development and testing. (C) 2015 The Authors. Published by Elsevier B.V.",0.1889662951207648," We use cognitive workload analysis to identify situations in which operators would be overloaded . By identifying workload hot spots, we can target more effective automated support strategies . GOMS (Goals, Operators, Methods, Selection) is a theoretical",False,,,,,
Development of a Neuroergonomic Assessment for the Evaluation of Mental Workload in an Industrial Human-Robot Interaction Assembly Task: A Comparative Case Study,"The disruptive deployment of collaborative robots, named cobots, in Industry 5.0 has brought attention to the safety and ergonomic aspects of industrial human-robot interaction (HRI) tasks. In particular, the study of the operator's mental workload in HRI activities has been the research object of a new branch of ergonomics, called neuroergonomics, to improve the operator's wellbeing and the efficiency of the system. This study shows the development of a combinative assessment for the evaluation of mental workload in a comparative analysis of two assembly task scenarios, without and with robot interaction. The evaluation of mental workload is achieved through a combination of subjective (NASA TLX) and real-time objective measurements. This latter measurement is found using an innovative electroencephalogram (EEG) device and the characterization of the cognitive workload through the brainwave power ratio beta/alpha, defined after the pre-processing phase of EEG data. Finally, observational analyses are considered regarding the task performance of the two scenarios. The statistical analyses show how significantly the mental workload diminution and a higher level of performance, as the number of components assembled correctly by the participants, are achieved in the scenario with the robot.","Caiazzo, C; Savkovic, M; Pusica, M; Milojevic, D; Leva, MC; Djapan, M",MACHINES,2023,Article,10.3390/machines11110995,3,Engineering,collaborative robotics; neuroergonomics; IR5.0; human-robot interaction; mental workload; EEG; experimental design; ergonomic assessment; cobots; performance; COLLABORATION; PERFORMANCE,"Development of a Neuroergonomic Assessment for the Evaluation of Mental Workload in an Industrial Human-Robot Interaction Assembly Task: A Comparative Case Study The disruptive deployment of collaborative robots, named cobots, in Industry 5.0 has brought attention to the safety and ergonomic aspects of industrial human-robot interaction (HRI) tasks. In particular, the study of the operator's mental workload in HRI activities has been the research object of a new branch of ergonomics, called neuroergonomics, to improve the operator's wellbeing and the efficiency of the system. This study shows the development of a combinative assessment for the evaluation of mental workload in a comparative analysis of two assembly task scenarios, without and with robot interaction. The evaluation of mental workload is achieved through a combination of subjective (NASA TLX) and real-time objective measurements. This latter measurement is found using an innovative electroencephalogram (EEG) device and the characterization of the cognitive workload through the brainwave power ratio beta/alpha, defined after the pre-processing phase of EEG data. Finally, observational analyses are considered regarding the task performance of the two scenarios. The statistical analyses show how significantly the mental workload diminution and a higher level of performance, as the number of components assembled correctly by the participants, are achieved in the scenario with the robot.",0.1889642996877723," The disruptive deployment of collaborative robots, named cobots, in Industry 5.0 has brought attention to the safety and ergonomic aspects of industrial human-robot interaction (HRI) tasks . The study of the operator's mental workload",False,,,,,
A robust operators' cognitive workload recognition method based on masked autoencoder,"Identifying the cognitive workload of operators is crucial in complex human-automation collaboration systems. An excessive workload can lead to fatigue or accidents, while an insufficient workload may diminish situational awareness and efficiency. However, existing supervised learning-based methods for workload recognition are ineffective when dealing with imperfect input data, such as missing or noisy data, which is not practical in real applications. This study introduces a robust Electroencephalogram (EEG)-enabled cognitive workload recognition model using self-supervised learning. The proposed method, DMAEEG, combines the training strategies of denoising autoencoders and masked autoencoders, demonstrating strong robustness against noisy and incomplete data. More specifically, we adopt the temporal convolutional network and multi-head self- attention mechanisms as the backbone, effectively capturing both the temporal and spatial features from EEG. Extensive experiments are conducted to verify the effectiveness and robustness of the proposed method on an open dataset and a self-collected dataset. The results indicate that DMAEEG performs superior to other state-of-the-art across various evaluation metrics. Moreover, DMAEEG maintains high accuracy in workload inference even when EEG signals are corrupted with a high masking ratio or strong noises. This signifies its superiority in capturing robust intrinsic patterns from imperfect EEG data. The proposed method significantly contributes to decoding EEG signals for workload recognition in real-world applications, thereby enhancing the safety and reliability of human-automation interactions.","Yu, XQ; Chen, CH",KNOWLEDGE-BASED SYSTEMS,2024,Article,10.1016/j.knosys.2024.112370,1,Computer Science,Cognitive workload; EEG; Masked autoencoder; Robustness; Self-supervised learning; EEG,"A robust operators' cognitive workload recognition method based on masked autoencoder Identifying the cognitive workload of operators is crucial in complex human-automation collaboration systems. An excessive workload can lead to fatigue or accidents, while an insufficient workload may diminish situational awareness and efficiency. However, existing supervised learning-based methods for workload recognition are ineffective when dealing with imperfect input data, such as missing or noisy data, which is not practical in real applications. This study introduces a robust Electroencephalogram (EEG)-enabled cognitive workload recognition model using self-supervised learning. The proposed method, DMAEEG, combines the training strategies of denoising autoencoders and masked autoencoders, demonstrating strong robustness against noisy and incomplete data. More specifically, we adopt the temporal convolutional network and multi-head self- attention mechanisms as the backbone, effectively capturing both the temporal and spatial features from EEG. Extensive experiments are conducted to verify the effectiveness and robustness of the proposed method on an open dataset and a self-collected dataset. The results indicate that DMAEEG performs superior to other state-of-the-art across various evaluation metrics. Moreover, DMAEEG maintains high accuracy in workload inference even when EEG signals are corrupted with a high masking ratio or strong noises. This signifies its superiority in capturing robust intrinsic patterns from imperfect EEG data. The proposed method significantly contributes to decoding EEG signals for workload recognition in real-world applications, thereby enhancing the safety and reliability of human-automation interactions.",0.18347553200521205," Identifying the cognitive workload of operators is crucial in complex human-automation collaboration systems . Excessive workload can lead to fatigue or accidents, while insufficient workload may diminish situational awareness and efficiency . Study introduces a robust Electroencephalog",False,,,,,
Electroencephalographic Workload Indicators During Teleoperation of an Unmanned Aerial Vehicle Shepherding a Swarm of Unmanned Ground Vehicles in Contested Environments,"Background: Although many electroencephalographic (EEG) indicators have been proposed in the literature, it is unclear which of the power bands and various indices are best as indicators of mental workload. Spectral powers (Theta, Alpha, and Beta) and ratios (Beta/(Alpha + Theta), Theta/Alpha, Theta/Beta) were identified in the literature as prominent indicators of cognitive workload. Objective: The aim of the present study is to identify a set of EEG indicators that can be used for the objective assessment of cognitive workload in a multitasking setting and as a foundational step toward a human-autonomy augmented cognition system. Methods: The participants' perceived workload was modulated during a teleoperation task involving an unmanned aerial vehicle (UAV) shepherding a swarm of unmanned ground vehicles (UGVs). Three sources of data were recorded from sixteen participants (n = 16): heart rate (HR), EEG, and subjective indicators of the perceived workload using the Air Traffic Workload Input Technique (ATWIT). Results: The HR data predicted the scores from ATWIT. Nineteen common EEG features offered a discriminatory power of the four workload setups with high classification accuracy (82.23%), exhibiting a higher sensitivity than ATWIT and HR. Conclusion: The identified set of features represents EEG indicators for the objective assessment of cognitive workload across subjects. These common indicators could be used for augmented intelligence in human-autonomy teaming scenarios, and form the basis for our work on designing a closed-loop augmented cognition system for human-swarm teaming.","Rojas, RF; Debie, E; Fidock, J; Barlow, M; Kasmarik, K; Anavatti, S; Garratt, M; Abbass, H",FRONTIERS IN NEUROSCIENCE,2020,Article,10.3389/fnins.2020.00040,48,Neurosciences & Neurology,augmented intelligence; cognitive load; human-autonomy teaming; human-swarm teaming; shepherding; mental load; cognitive indicators; EEG; ATTENTION-DEFICIT/HYPERACTIVITY DISORDER; BIOCYBERNETIC SYSTEM; MENTAL WORKLOAD; BETA BANDS; EEG; ALPHA; TASK; PERFORMANCE; INDEXES; AUTOMATION,"Electroencephalographic Workload Indicators During Teleoperation of an Unmanned Aerial Vehicle Shepherding a Swarm of Unmanned Ground Vehicles in Contested Environments Background: Although many electroencephalographic (EEG) indicators have been proposed in the literature, it is unclear which of the power bands and various indices are best as indicators of mental workload. Spectral powers (Theta, Alpha, and Beta) and ratios (Beta/(Alpha + Theta), Theta/Alpha, Theta/Beta) were identified in the literature as prominent indicators of cognitive workload. Objective: The aim of the present study is to identify a set of EEG indicators that can be used for the objective assessment of cognitive workload in a multitasking setting and as a foundational step toward a human-autonomy augmented cognition system. Methods: The participants' perceived workload was modulated during a teleoperation task involving an unmanned aerial vehicle (UAV) shepherding a swarm of unmanned ground vehicles (UGVs). Three sources of data were recorded from sixteen participants (n = 16): heart rate (HR), EEG, and subjective indicators of the perceived workload using the Air Traffic Workload Input Technique (ATWIT). Results: The HR data predicted the scores from ATWIT. Nineteen common EEG features offered a discriminatory power of the four workload setups with high classification accuracy (82.23%), exhibiting a higher sensitivity than ATWIT and HR. Conclusion: The identified set of features represents EEG indicators for the objective assessment of cognitive workload across subjects. These common indicators could be used for augmented intelligence in human-autonomy teaming scenarios, and form the basis for our work on designing a closed-loop augmented cognition system for human-swarm teaming.",0.18198103209130756, Many electroencephalographic (EEG) indicators have been proposed in the literature . The aim of the study is to identify a set of EEG indicators that can be used for the objective assessment of cognitive workload in a multitasking setting .,False,,,,,
Multi-class classification of control room operators' cognitive workload using the fusion of eye-tracking and electroencephalography,"Chemical process industries are hazard intensive. Most industrial accidents occur today due to human error. For safe and efficient operation, it is therefore critical to ensure optimal operator performance. With the advent of Industry 4.0 and concomitant digitalization, the role of operators has become cognitively challenging. Therefore, it is imperative to assess the cognitive performance of operators. One of the major constructs to understand cognitive performance is the cognitive workload. An increase in cognitive workload often leads to degradation in performance. Traditional assessment techniques fail to capture cognitive aspects of performance. Recently, researchers in various domains such as aviation, driving, marine, and nuclear power have started to utilize physiological measures to gauge the cognitive workload of their operators. In our previous works, we have used electroencephalography (EEG) and eye-tracking separately to assess the cognitive workload of operators in the process industries. In contrast, in this paper, we explore the benefits of their fusion in classifying process industry control room operators' workload into low, medium, and high classes while they tackle abnormal situations. The methodology employs the fusion of metrics derived from pupil, gaze, and EEG data to train a decision tree-based model for workload classification. Our results reveal that fusion leads to an increase in classification accuracy of upto 22 %. The work has the potential to identify the expertise level of operators and hence, can be critical in ensuring their optimal performance.","Iqbal, MU; Srinivasan, B; Srinivasan, R",COMPUTERS & CHEMICAL ENGINEERING,2024,Article,10.1016/j.compchemeng.2023.108526,4,Computer Science; Engineering,Electroencephalography (EEG); Eye-tracking; Operator performance; Cognitive workload; Decision trees; Fusion; MENTAL WORKLOAD; SITUATION AWARENESS; PROCESS INDUSTRIES; REAL-TIME; EEG; PERFORMANCE; ATTENTION; SAFETY; TOOL,"Multi-class classification of control room operators' cognitive workload using the fusion of eye-tracking and electroencephalography Chemical process industries are hazard intensive. Most industrial accidents occur today due to human error. For safe and efficient operation, it is therefore critical to ensure optimal operator performance. With the advent of Industry 4.0 and concomitant digitalization, the role of operators has become cognitively challenging. Therefore, it is imperative to assess the cognitive performance of operators. One of the major constructs to understand cognitive performance is the cognitive workload. An increase in cognitive workload often leads to degradation in performance. Traditional assessment techniques fail to capture cognitive aspects of performance. Recently, researchers in various domains such as aviation, driving, marine, and nuclear power have started to utilize physiological measures to gauge the cognitive workload of their operators. In our previous works, we have used electroencephalography (EEG) and eye-tracking separately to assess the cognitive workload of operators in the process industries. In contrast, in this paper, we explore the benefits of their fusion in classifying process industry control room operators' workload into low, medium, and high classes while they tackle abnormal situations. The methodology employs the fusion of metrics derived from pupil, gaze, and EEG data to train a decision tree-based model for workload classification. Our results reveal that fusion leads to an increase in classification accuracy of upto 22 %. The work has the potential to identify the expertise level of operators and hence, can be critical in ensuring their optimal performance.",0.1811326087690156," Chemical process industries are hazard intensive. Most industrial accidents occur today due to human error . For safe and efficient operation, it is therefore critical to ensure optimal operator performance . Traditional assessment techniques fail to capture cognitive aspects of performance .",False,,,,,
