,type_of_reference,primary_title,authors,journal_name,volume,number,start_page,end_page,year,date,secondary_title,issn,doi,urls,keywords,abstract
59,JOUR,A Concept towards Automated Data-Driven Reconfiguration of Digital Assistance Systems,"['Reisinger, Gerhard', 'Komenda, Titanilla', 'Hold, Philipp', 'Sihn, Wilfried']",Procedia Manufacturing,23,,99,104,2018,2018/01/01/,“Advanced Engineering Education & Training for Manufacturing Innovation”8th CIRP Sponsored Conference on Learning Factories (CLF 2018),2351-9789,https://doi.org/10.1016/j.promfg.2018.03.168,['https://www.sciencedirect.com/science/article/pii/S2351978918304724'],"['Cyber Physical Assembly Systems', 'Digital Assistance', 'System Independent Data-Driven Reconfiguration', 'Flexiblity']","Constantly changing assembly tasks and reduced production cycles increase the risk of cognitive stress of operators. A large number of digital assistance systems implemented in assembly lines contribute to operator’s stress reduction. However, small and medium sized companies confront major challenges in implementing digital assistance solutions due to high investment costs and high customization effort. In addition, technological risks are mainly summarized as i) choosing the right assistance system, ii) realizing suitable interfaces within the in-house IT landscape for machine-to-machine and machine-to-human communication and iii) creating assembly instructions and configuring data systems in terms of supplying specific and adaptable information. Considering the aforementioned challenges and related technological risks, this paper presents a concept for automated data-driven reconfiguration of digital assistance systems. We discuss its impact on certain use cases defined in the TU Wien Pilot Factory Industry 4.0. Finally, we outline learning design principles for students and industrial stakeholders to implement automated reconfigurable digital assistance systems."
60,JOUR,Artificial General Intelligence vs. Industry 4.0: Do They Need Each Other?,"['Kumpulainen, Samu', 'Terziyan, Vagan']",Procedia Computer Science,200,,140,150,2022,2022/01/01/,3rd International Conference on Industry 4.0 and Smart Manufacturing,1877-0509,https://doi.org/10.1016/j.procs.2022.01.213,['https://www.sciencedirect.com/science/article/pii/S1877050922002228'],"['Artificial general intelligence', 'Industry 4.0', 'systematic mapping study', 'google distance']","Artificial Intelligence (AI) is known to be a driving force behind the Industry 4.0. Nowadays the current hype on development and industrial adoption of the AI systems is mostly associated with the deep learning, i.e., with the abilities of the AI to perform various specific cognitive activities better than humans do. However, what about the Artificial General Intelligence (AGI), associated with the generic ability of a machine to perform consciously any task that a human can? Do we have many samples of the AGI research adopted by Industry 4.0 and used for smart manufacturing? In this paper, we report the systematic mapping study regarding the AGI-related papers (published during the five-year period) to find out whether AGI is giving up its positions within AI as an attractive tool to address the industry needs. We show what the major concerns of the AGI academic community are nowadays and how the AGI findings have been already or could be potentially applied within the Industry 4.0. We have discovered that the gap between the AGI studies and the industrial needs is still high and even has some indications to grow. However, some AGI-related findings have potential to make real value in smart manufacturing."
61,JOUR,Work performance in industry: The impact of mental fatigue and a passive back exoskeleton on work efficiency,"['Govaerts, Renée', 'De Bock, Sander', 'Stas, Lara', 'El Makrini, Ilias', 'Habay, Jelle', 'Van Cutsem, Jeroen', 'Roelands, Bart', 'Vanderborght, Bram', 'Meeusen, Romain', 'De Pauw, Kevin']",Applied Ergonomics,110,,104026,,2023,2023/07/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2023.104026,['https://www.sciencedirect.com/science/article/pii/S0003687023000649'],"['Robotics', 'Manufacturing', 'Mental fatigue']","Mental fatigue (MF) is likely to occur in the industrial working population. However, the link between MF and industrial work performance has not been investigated, nor how this interacts with a passive lower back exoskeleton used during industrial work. Therefore, to elucidate its potential effect(s), this study investigated the accuracy of work performance and movement duration through a dual task paradigm and compared results between mentally fatigued volunteers and controls, with and without the exoskeleton. No main effects of MF and the exoskeleton were found. However, when mentally fatigued and wearing the exoskeleton, movement duration significantly increased compared to the baseline condition (βMF:Exo = 0.17, p = .02, ω2 = .03), suggesting an important interaction between the exoskeleton and one's psychobiological state. Importantly, presented data indicate a negative effect on production efficiency through increased performance time. Further research into the cognitive aspects of industrial work performance and human-exoskeleton interaction is therefore warranted."
62,JOUR,"Augmented Workforce: contextual, cross-hierarchical enquiries on human-technology integration in industry","['Moencks, Mirco', 'Roth, Elisa', 'Bohné, Thomas', 'Kristensson, Per Ola']",Computers & Industrial Engineering,165,,107822,,2022,2022/03/01/,,0360-8352,https://doi.org/10.1016/j.cie.2021.107822,['https://www.sciencedirect.com/science/article/pii/S0360835221007269'],"['Industry 4.0', 'Human-centered', 'Future of work', 'Operator assistance system', 'Worker support', 'Cyber-physical production system', 'Augmented Industries']","Although shop floors become more automated, manual labor is more than the sum of recurring tasks which can simply be executed by autonomous machines. Where total automation is ineffective, operator assistance systems (OAS) could increase productivity and empower the workforce. Operator Assistance Systems (OAS) are systems that interact with operators to modify their cognitive or physical capabilities whilst performing industrial tasks. Given the important role of humans in future manufacturing environments that cannot be automated, production organizations in industry and Human-Technology Integration (HTI) researchers need to understand where OAS can be deployed and what human factors and other human implications arise from their deployment. In short, capturing views from stakeholders who are both affected by and affect the successful implementation of new technologies are essential to align technological innovations with a human-centric perspective. However, based on our literature review of OAS, we find that there are few technology-neutral enquiries on the industrial applicability of OAS. In particular, we note a lack of considerations of the different requirements for OAS resulting from diverse stakeholders in industry, which is expected to be of importance when designing effective HTI. To address this gap, we explore the industrial context of OAS and the perspectives of stakeholder groups across organizations on the applicability of OAS using a multi-method research approach encompassing 27 qualitative expert interviews and ethnographic observations of three industrial contexts. A key finding of our contextual enquiry is that participants expect OAS to be beneficial on shop floors if designed to improve cognitive abilities, such as inductive reasoning. Further, in the case a company seeks to introduce an OAS to augment physical capabilities of operators whilst attached to their bodies, the data indicate a cautious approach is sensible as many operators reject such a form of augmentation. We highlight what our findings mean for HTI research, especially as it relates to consideration of the highly contextual user requirements when developing and integrating human-technology systems for industry."
63,JOUR,Use of Lean Management Methods based on Eye-Tracking Information to make User Interfaces in Production more Human-centered,"['Dörner, Andreas', 'Pirkl, Gerald', 'Simon, Michal', 'Bures, Marek']",Procedia CIRP,128,,514,519,2024,2024/01/01/,34th CIRP Design Conference,2212-8271,https://doi.org/10.1016/j.procir.2024.04.014,['https://www.sciencedirect.com/science/article/pii/S2212827124007005'],"['Lean Management', 'Manufacturing Execution System', 'Human-centered design', 'Eye-Tracking']","Manufacturing Execution Systems are a state-of-the-art technology in industrial companies. Being a core enabler during Industry 4.0, these software solutions are still growing. This is underlined by companies like SAP, that has launched a new cloud-based module for manufacturing execution, even though they already have been well positioned in this market. Due to the amount of opportunities given to interact more with operators via user interfaces, many disciplines use this format for bringing in their information. Information overload for the worker could be the consequence. This paper evaluates the idea of using the results given from tracking the worker’s eye movement to apply classical Lean Management methods for layout optimization, such as 5S. In order to deal with the risk of information overload, the theoretical background of Eye-Tracking and Lean Management are explained. In this paper, the idea as well as its proof of concept is described in the Analysis part. In detail, the resulting Heatmap from worker’s gaze point will be compared with a Spaghetti Diagram and its information for the 5S approach. Thus, further research and suggestions for an experimental design to evaluate the influence of those potential optimizations on the cognitive ergonomics of the operators are discussed."
64,JOUR,Lessons Learned from Human Pose Interaction in an Industrial Spatial Augmented Reality Application,"['Stübl, Gernot', 'Heindl, Christoph', 'Ebenhofer, Gerhard', 'Bauer, Harald', 'Pichler, Andreas']",Procedia Computer Science,217,,912,917,2023,2023/01/01/,4th International Conference on Industry 4.0 and Smart Manufacturing,1877-0509,https://doi.org/10.1016/j.procs.2022.12.288,['https://www.sciencedirect.com/science/article/pii/S1877050922023663'],"['Extended Reality', 'Spatial Augmented Reality', 'Worker Assistance', 'Quality Inspection', 'Human Pose Estimation', 'Data Fusion']","This paper is a technical description of a novel Augmented Reality application in the industrial domain of furniture production. In the presented case, workers suffered from high cognitive load in doing end-of-line quality inspection and individual handling of a high variety of products. The proposed solution consists of a Spatial Augmented Reality system, where a projector directly displays information on the product to assist the worker. At the same time results of an in-line quality inspections are shown which can be interactively modified through human gestures. The main contribution of this work is two-fold: (1) in contrast to other industrial augmented reality applications the described one technically builds upon a deep neural net based pose estimation. This allows a seamless interaction with the system and tracking of human actions rather than deriving them from the current state of the work piece, (2) the paper recapitulates experiences and results of the approach with a focus on lessons learned for using human pose estimation in smart production."
65,JOUR,May I Have Your Attention?! Exploring Multitasking in Human-Robot Collaboration,"['Eesee, Abdulrahman K.', 'Kostolani, David', 'Kang, Taeho', 'Schlund, Sebastian', 'Medvegy, Tibor', 'Abonyi, János', 'Ruppert, Tamás']",IFAC-PapersOnLine,58,19,241,246,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.179,['https://www.sciencedirect.com/science/article/pii/S2405896324015945'],"['Attention', 'Human-Robot Interaction', 'Multitasking', 'Collaborative Assembly']","Human-robot collaboration promises to free the human to multitask and engage in cognitive work while the robots assists with physical tasks, therefore increasing productivity. However, this collaborative paradigm requires continuous attention from human operators, which could potentially strain their cognitive resources. Excessive attention demands can lead to safety hazards, increased errors, and reduced efficiency. Despite its critical importance, there is limited empirical research on attentional factors in industrial human-robot collaboration. In this study, we explore attentional multitasking in collaborative human-robot assembly settings. Our experimental setup involves participants performing a wire harnessing task with a collaborative robot while simultaneously completing a Go/No-Go test as a secondary task. To observe the effect of multitasking, we varied the difficulty of the secondary task across two levels and analysed its impacts on work performance and workload. Our results confirm threaded cognition theory, suggesting that human-robot collaboration could reduce cognitive capacity by depleting attentional resources, leading to higher errors and cycle times during multitasking. This underscores the importance of a detailed understanding of attentional factors in human-robot collaboration. We discuss our findings and their implications, and provide insights into the adjustment and design of human-robot collaboration tasks in the industry."
66,JOUR,UX assessment strategy to identify potential stressful conditions for workers,"['Khamaisi, Riccardo Karim', 'Brunzini, Agnese', 'Grandi, Fabio', 'Peruzzini, Margherita', 'Pellicciari, Marcello']",Robotics and Computer-Integrated Manufacturing,78,,102403,,2022,2022/12/01/,,0736-5845,https://doi.org/10.1016/j.rcim.2022.102403,['https://www.sciencedirect.com/science/article/pii/S0736584522000904'],"['User experience', 'Human-centred design', 'Industry 5.0', 'Virtual reality', 'Cognitive ergonomics']","The European Commission defined the new concept of Industry 5.0 meaning a more human-centric, resilient, and sustainable approach for the design of industrial systems and operations. A deep understanding of the work environment and organization is important to start analysing the working conditions and the resulting User eXperience (UX) of the operators. Also, the knowledge about users’ needs and ergonomics is fundamental to optimize the workers’ wellbeing, working conditions, and industrial results. In this context, the paper presents a strategy to effectively assess the UX of workers to promote human-centric vision of manufacturing sites, enhancing the overall sustainability of the modern factories. A set of non-invasive wearable devices is used to monitor human activities and collect physiological parameters, as well as questionnaires to gather subjective self-assessment. This set-up was applied to virtual reality (VR) simulation, replicating heavy duty work sequence tasks that took place in an oil and gas pipes manufacturing site. This approach allowed the identification of possible stressful conditions for the operator, from physical and mental perspectives, which may compromise the performance. This research was funded by the European Community's HORIZON 2020 programme under grant agreement No. 958303 (PENELOPE)."
67,JOUR,Modeling workers’ behavior: A human factors taxonomy and a fuzzy analysis in the case of industrial accidents,"['Longo, Francesco', 'Nicoletti, Letizia', 'Padovano, Antonio']",International Journal of Industrial Ergonomics,69,,29,47,2019,2019/01/01/,,0169-8141,https://doi.org/10.1016/j.ergon.2018.09.002,['https://www.sciencedirect.com/science/article/pii/S0169814118300775'],"['Industrial accidents', 'Safety management', 'Human behaviour modeling', 'Human factors', 'Fuzzy analytical hierarchy process']","While ‘Industry 4.0’ drives for greater automation, human factors are still essential in certain domains, especially in industrial disaster management. Despite human factors are frequently cause of individual biases and errors, a systematic quantitative analysis of the correlation between them and the workers' response performance in case of an industrial disaster has never been conducted. The aim of the present study is twofold: to design an original human factors taxonomy, which encompasses all the industrial worker's cognitive capabilities, physical skills, and psychological attitudes; to establish a correlation between each factor and the workers' response performance in case of an industrial emergency. A Fuzzy Analytic Hierarchy Process (FAHP) analysis has been conducted in collaboration with 44 subject matter experts by using an ad-hoc developed tool to investigate, in particular, two types of workers, the role of emergency manager and the emergency team member. Results reveal that the factors have not the same weight in determining the human response performance: cognitive and psychological aspects have a substantial influence on the emergency manager's response performance, while the emergency team member's response performance is more influenced by psychological and physical aspects. Relevance to industry Given the crucial role of cognitive, physical and psychological factors in modern human-centred industrial systems and especially in the field of industrial safety & security, this study represents a meticulous guide for safety specialists in the design of disaster management strategies, for recruiters and practitioners in the development of competency-based job descriptions and for new research works for the development of personality-gifted intelligent agents in industrial applications."
68,JOUR,How to provide work instructions to reduce the workers’ physical and mental workload,"['Papetti, Alessandra', 'Ciccarelli, Marianna', 'Palpacelli, Matteo Claudio', 'Germani, Michele']",Procedia CIRP,120,,1167,1172,2023,2023/01/01/,56th CIRP International Conference on Manufacturing Systems 2023,2212-8271,https://doi.org/10.1016/j.procir.2023.09.143,['https://www.sciencedirect.com/science/article/pii/S2212827123008752'],"['human-centered manufacturing', 'work instructions', 'ergonomics', 'mixed reality', 'industry 5.0']","The transition to Industry 5.0 emphasizes the human-centric perspective and pushes for ergonomic risks prevention and mitigation. The diffusion of the production paradigms of mass customization and mass personalization also increases the need for methods and tools to support workers in manufacturing activities. The growing number of product variants requires a higher cognitive load and increases the likelihood of human errors. Work instructions become fundamental, as well as their digitalization. The technologies enabling industry 4.0 have opened up new scenarios for the use of this information, from extended reality to digital assistance systems. This work deals with the human-centered redesign of a workstation for the wire harness assembly with the aim of mitigating the ergonomic risks for operators, both physical and cognitive. Four different scenarios for using the work instructions were implemented and tested: paper-based instructions, workstation display, mixed reality application usable with a head-mounted display, and augmented reality application that only requires a projection system. The experimentation involved user experience evaluation, performance assessment, and objective postural analysis through inertial sensors."
69,JOUR,Adaptive assembly systems for enabling agile assembly – Empirical analysis focusing on cognitive worker assistance,"['Burggräf, Peter', 'Dannapfel, Matthias', 'Adlon, Tobias', 'Föhlisch, Nils']",Procedia CIRP,97,,319,324,2021,2021/01/01/,8th CIRP Conference of Assembly Technology and Systems,2212-8271,https://doi.org/10.1016/j.procir.2020.05.244,['https://www.sciencedirect.com/science/article/pii/S2212827120314669'],"['Adaptive assembly', 'Adaptivity', 'Empirical analysis', 'Agile assembly', 'Hybrid assembly', 'Flexibility', 'Worker assistance']","Hybrid assembly systems combine the advantages of automated assembly solutions with the cognitive abilities of humans to make assembly more flexible while efficient. Adaptive systems in this context enlarge the scope in which the division of tasks between human and machine can be varied. These systems are an enabling factor for agile assembly since highly situation-aware technologies allow quick reaction in volatile assembly situations. This research focuses on the main opportunities and implementation obstacles of adaptive assembly systems in industrial practice. The results of an empirical study, focusing on cognitive worker assistance, with 132 participants from manufacturing companies, are presented in this paper. Main findings show that the introduction of adaptive worker assistance solutions requires extensive modifications of IT infrastructure. Besides an increase in flexibility, an enlarged potential for the improvement of worker training processes is expected."
70,JOUR,Augmented reality aided object mapping for worker assistance/training in an industrial assembly context: Exploration of affordance with existing guidance techniques,"['Eswaran, M.', 'Raju Bahubalendruni, M.V.A.']",Computers & Industrial Engineering,185,,109663,,2023,2023/11/01/,,0360-8352,https://doi.org/10.1016/j.cie.2023.109663,['https://www.sciencedirect.com/science/article/pii/S0360835223006873'],"['Augmented reality', 'Virtual reality', 'Assembly', 'Disassembly', 'Object mapping']","In recent years, the affordances of immersive technologies in the industrial context have enabled the onsite worker to have increased potential towards handling the complex procedural and cognitive tasks involved in the strategy of manufacturing an appropriate product. This article describes the potential of Augmented Reality (AR) in terms of upgraded workplace understanding, training, and assisting semi-skilled/new workers in an industrial production environment. The different modes of instruction visualization techniques are investigated for the execution of assembly tasks and explored their impact in accordance to the efficiency of task execution, completion time, error rate perception, cognitive load, and independence. Progress outcomes of 24 participants are explored for real-time execution of a Reverse osmosis (RO) booster pump assembly in terms of different modes of visualization, such as the conventional document method, virtual /desktop mode, and object mapping-based AR. Additionally, the user studies on different visualization devices involving hand-held visualization devices (HHVD) and Head-mounted visualization devices (HMVD) are investigated and validated in terms of adaptability, acceptability, and usability. Furthermore, the effectiveness of the AR-aided object mapping technology versus other methods is explored through the feedback received from both experts and academia participants, which increases the insight of the technology and provides an intelligent mechanism for semi-skilled/new workers to handle complex or challenging operations in the production environment. The studies indicate that object mapping-based AR visualization facilitates increased assembly task efficiency and the minimum number of errors compared to the other guidance modes. Notably, the HMVD affords an increased realism experience, minimized errors, and less completion time compared to the HHVD."
71,JOUR,An analytical framework for assessing cognitive capacity and processing speed of operators in industry 4.0,"['Cavallo, Daniela', 'Digiesi, Salvatore', 'Facchini, Francesco', 'Mummolo, Giovanni']",Procedia Computer Science,180,,318,327,2021,2021/01/01/,Proceedings of the 2nd International Conference on Industry 4.0 and Smart Manufacturing (ISM 2020),1877-0509,https://doi.org/10.1016/j.procs.2021.01.169,['https://www.sciencedirect.com/science/article/pii/S187705092100209X'],"['human cognitive capacity occupancy', 'mental workload', 'human information processing speed', 'smart production system']","The fourth industrial revolution introduced a new paradigm in manufacturing systems. The digital network is at the basis of the smart manufacturing and the physical context is strictly related to the artificial intelligence. This new manufacturing context drastically changed the role of the operator since the increasing adoption of innovative devices in manufacturing process modified the work activities and the operator is employed in more cognitive than physical tasks. Therefore, the purpose of this paper consists in developing an analytical framework to assess the human cognitive capacity occupancy and the human processing time of correct information known as the quality performance. The analytical framework presented allows to assess the human mental workload imposed by the task and how the processing speed of correct information changes when quality performance varies."
72,JOUR,Exploring augmented reality for worker assistance versus training,"['Moghaddam, Mohsen', 'Wilson, Nicholas C.', 'Modestino, Alicia Sasser', 'Jona, Kemi', 'Marsella, Stacy C.']",Advanced Engineering Informatics,50,,101410,,2021,2021/10/01/,,1474-0346,https://doi.org/10.1016/j.aei.2021.101410,['https://www.sciencedirect.com/science/article/pii/S1474034621001622'],"['Augmented reality', 'Electro-mechanical assembly', 'Workforce training', 'Workplace-based learning']","This paper aims at advancing the fundamental understanding of the affordances of Augmented Reality (AR) as a workplace-based learning and training technology in supporting manual or semi-automated manufacturing tasks that involve both complex manipulation and reasoning. Between-subject laboratory experiments involving 20 participants are conducted on a real-life electro-mechanical assembly task to investigate the impacts of various modes of information delivery through AR compared to traditional training methods on task efficiency, number of errors, learning, independence, and cognitive load. The AR application is developed in Unity and deployed on HoloLens 2 headsets. Interviews with experts from industry and academia are also conducted to create new insights into the affordances of AR as a training versus assistive tool for manufacturing workers, as well as the need for intelligent mechanisms that enable adaptive and personalized interactions between workers and AR. The findings indicate that despite comparable performance between the AR and control groups in terms of task completion time, learning curve, and independence from instructions, AR dramatically decreases the number of errors compared to traditional instruction, which is sustained after the AR support is removed. Several insights drawn from the experiments and expert interviews are discussed to inform the design of future AR technologies for both training and assisting incumbent and future manufacturing workers on complex manipulation and reasoning tasks."
73,JOUR,Inclusive manufacturing: A contribution to assembly processes with human-machine reciprocal learning,"['Simeone, Alessandro', 'Fan, Yuchen', 'Antonelli, Dario', 'Catalano, Angioletta R.', 'Priarone, Paolo C.', 'Settineri, Luca']",CIRP Annals,73,1,5,8,2024,2024/01/01/,,0007-8506,https://doi.org/10.1016/j.cirp.2024.03.005,['https://www.sciencedirect.com/science/article/pii/S0007850624000040'],"['Assembly', 'Human aspect', 'Reciprocal learning']","This study explores the potential synergy between neurodiversity and advanced technology within Industry 5.0, focusing on the integration of neurodiverse individuals in the workforce through Human-Machine Collaboration and Reciprocal Learning (RL). A cognitive load (CL) assessment procedure is developed using fuzzy logic inference across the dimensions of attention, memory, language, math, logic, and reading. A case study evaluates the effectiveness of RL in assisting assembly tasks. Different error-handling scenarios are compared. Experimental results show how RL can reduce the CL while improving assembly tasks efficiency, underscoring the value of intelligent systems in inclusive manufacturing, enhancing productivity and facilitating the integration of neurodiverse workers."
74,JOUR,Co2iAR: Co-located audio-visual enabled mobile collaborative industrial AR wiring harness assembly,"['Fang, Wei', 'Chen, Lixi', 'Zhang, Tienong', 'Hu, Hao', 'Bi, Jiapeng']",Robotics and Computer-Integrated Manufacturing,90,,102795,,2024,2024/12/01/,,0736-5845,https://doi.org/10.1016/j.rcim.2024.102795,['https://www.sciencedirect.com/science/article/pii/S0736584524000826'],"['Augmented reality', 'audio-visual interaction', 'co-located AR', 'collaborative assembly']","Abstract Existing augmented reality (AR) assembly mainly provides visual instructions for operators from a first-person perspective, and it is hard to share individual working intents for co-located workers on the shop floor, especially for large-scale product assembly task that requires multiple operators working together. To bridge this gap for practical deployments, this paper proposes Co2iAR, a co-located audio-visual enabled mobile collaborative AR assembly. Firstly, according to the stereo visual-inertial fusion strategy, robust and accurate self-contained motion tracking is achieved for the resource-constrained mobile AR platform, followed by a co-located alignment from multiple mobile AR clients on the shop floor. Then, a lightweight text-aware network for online wiring harness character recognition is proposed, as well as the audio-based confirming strategy, enabling natural audio-visual interaction among co-located workers within a shared immersive workplace, which can also monitor the current wiring assembly status and activate the step-by-step tutorials automatically. The novelty of this work is focused on the deployment of audio-visual aware interaction using the same device that is being used to deploy the co-located collaborative AR work instructions, establishing shared operating intents among multiple co-located workers. Finally, comprehensive experiments are carried out on the collaborative performance among multiple AR clients, and results illustrate that the proposed Co2iAR can alleviate the cognitive load and achieve superior performance for the co-located AR assembly tasks, providing a more human-centric collaborative assembly performance."
75,JOUR,A human-centered perspective in repetitive assembly processes: preliminary investigation of cognitive support of collaborative robots,"['Gervasi, Riccardo', 'Capponi, Matteo', 'Antonelli, Dario', 'Mastrogiacomo, Luca', 'Franceschini, Fiorenzo']",Procedia Computer Science,232,,2249,2258,2024,2024/01/01/,5th International Conference on Industry 4.0 and Smart Manufacturing (ISM 2023),1877-0509,https://doi.org/10.1016/j.procs.2024.02.044,['https://www.sciencedirect.com/science/article/pii/S1877050924002217'],"['Human robot collaboration', 'Cognitive ergonomics', 'Physiological response']","Human-robot collaboration (HRC) is one of the paradigms of the emerging Industry 5.0, aimed at supporting humans in production processes. However, the introduction of an industrial robotic system in close contact with a human opens new challenges not only for safety but also for ergonomics. This paper aims to study whether the introduction of a collaborative robot into an assembly process can support the human operator not only physically but also cognitively. To address this research question, shifts of a repetitive assembly process were implemented in both manual and HRC settings. The two settings were compared over time by analyzing the evolution of generated process failures and physiological response, revealing potential differences in process quality and operator stress."
76,JOUR,Complexity based investigation in collaborative assembly scenarios via non intrusive techniques,"['Panagou, Sotirios', 'Sileo, Monica', 'Papoutsakis, Konstantinos', 'Fruggiero, Fabio', 'Qammaz, Ammar', 'Argyros, Antonis']",Procedia Computer Science,217,,478,485,2023,2023/01/01/,4th International Conference on Industry 4.0 and Smart Manufacturing,1877-0509,https://doi.org/10.1016/j.procs.2022.12.243,['https://www.sciencedirect.com/science/article/pii/S1877050922023213'],"['collaboration', 'assembly task', 'complexity', 'cognitive load', 'human pose estimation', 'tracking']","Human and robot collaboration in assembly tasks is an integral part in modern manufactories. Robots provide advantages in both process and productivity with their repeatability and usability in different tasks, while human operators provide flexibility and can act as safeguards. However, process complexity increases which can lower the overall quality. Increased complexity can negatively influence decision making due to cognitive load on human operators, which can lead to lower quality, be it product, process or human work. Moreover, it can lead to safety risks, human-system error and accidents. In this work, we present the preliminary results on an experiment performed with student-participants, based on an assembly task. The experiment was set up to emulate an industrial assembly, and data collection was performed through qualitative and non-intrusive quantitative methods. Questionnaires were used to assess perceptual task complexity and cognitive load, while a stereo camera provided recordings for after-task analysis on process errors and human work quality based on a 3D skeleton-based human pose estimation and tracking method. The aim of the study is to investigate causes of errors and implications on quality. Future direction of the work is discussed."
77,JOUR,Combining Simulation and Augmented Reality Methods for Enhanced Worker Assistance in Manual Assembly,"['Lampen, Eva', 'Teuber, Jonas', 'Gaisbauer, Felix', 'Bär, Thomas', 'Pfeiffer, Thies', 'Wachsmuth, Sven']",Procedia CIRP,81,,588,593,2019,2019/01/01/,"52nd CIRP Conference on Manufacturing Systems (CMS), Ljubljana, Slovenia, June 12-14, 2019",2212-8271,https://doi.org/10.1016/j.procir.2019.03.160,['https://www.sciencedirect.com/science/article/pii/S2212827119304652'],"['augmented reality', 'assistance methods', 'assembly', 'human simulation', 'dynamic instructions']","Due to mass customization product variety increased steeply in the automotive industry, entailing the increment of worker’s cognitive load during manual assembly tasks. Although worker assistance methods for cognitive automation already exist, they proof insufficient in terms of usability and achieved time saving. Given the rising importance of simulation towards autonomous production planning, a novel approach is proposed using human simulation data in context of worker assistance methods to alleviate cognitive load during manual assembly tasks. Within this paper, a new concept for augmented reality-based worker assistance is presented. Additionally, a comparative user study (N=24) was conducted with conventional worker assistance methods to evaluate a prototypical implementation of the concept. The results illustrate the enhancing opportunity of the novel approach to save cognitive abilities and to induce performance improvements. The implementation provided stable information presentation during the entire experiment. However, with regard to the recentness, there has to be carried out further developments and research, concerning performance adaptions and investigations of the effectiveness."
78,JOUR,An Online Framework for Cognitive Load Assessment in Industrial Tasks,"['Lagomarsino, Marta', 'Lorenzini, Marta', 'De Momi, Elena', 'Ajoudani, Arash']",Robotics and Computer-Integrated Manufacturing,78,,102380,,2022,2022/12/01/,,0736-5845,https://doi.org/10.1016/j.rcim.2022.102380,['https://www.sciencedirect.com/science/article/pii/S0736584522000679'],"['Cognitive ergonomics', 'Cognitive manufacturing', 'Assembly', 'Attention estimation', 'Stress detection']","The ongoing trend toward Industry 4.0 has revolutionised ordinary workplaces, profoundly changing the role played by humans in the production chain. Research on ergonomics in industrial settings mainly focuses on reducing the operator’s physical fatigue and discomfort to improve throughput and avoid safety hazards. However, as the production complexity increases, the cognitive resources demand and mental workload could compromise the operator’s performance and the efficiency of the shop floor workplace. State-of-the-art methods in cognitive science work offline and/or involve bulky equipment hardly deployable in industrial settings. This paper presents a novel method for online assessment of cognitive load in manufacturing, primarily assembly, by detecting patterns in human motion directly from the input images of a stereo camera. Head pose estimation and skeleton tracking are exploited to investigate the workers’ attention and assess hyperactivity and unforeseen movements. Pilot experiments suggest that our factor assessment tool provides significant insights into workers’ mental workload, even confirmed by correlations with physiological and performance measurements. According to data gathered in this study, a vision-based cognitive load assessment has the potential to be integrated into the development of mechatronic systems for improving cognitive ergonomics in manufacturing."
79,JOUR,Multi-assistance systems in manufacturing - a user study evaluating multi-criteria impact in a high-mix low-volume assembly setting,"['Zigart, Tanja', 'Zafari, Setareh', 'Stürzl, Felix', 'Kiesewetter, Robert', 'Kasparick, Hans-Peter', 'Schlund, Sebastian']",Computers & Industrial Engineering,186,,109674,,2023,2023/12/01/,,0360-8352,https://doi.org/10.1016/j.cie.2023.109674,['https://www.sciencedirect.com/science/article/pii/S0360835223006988'],"['User study', 'Multi-criteria evaluation', 'Assistance systems', 'Manufacturing', 'Human factors']","Understanding how skilled workers interact with assistance systems in manufacturing and how they experience the factory environment is fundamental to modeling human interaction and optimizing the processes correctly. This paper investigates humans’ behaviors and perceived experiences while interacting with cognitive and physical assistance systems. To enable decisions about the combined use of more than one assistance system within a manufacturing process, comprehensive and comparable knowledge about the impact of applications on productivity and human factors is needed. A multidimensional evaluation model with a mixed-methods approach was developed and applied in a user study. In 300 run-throughs in six different scenarios with skilled workers and students, a questionnaire on human factors was completed after finishing the task. Furthermore, productivity and quality were measured during the study. A comparison between skilled workers and students demonstrated that the usability score of all assistance systems was rated higher among the students. The students rated the ergonomics aspects better for five out of six scenarios. Results show higher compatibility with values and experiences in all investigated combinations for skilled workers than for students. Considering the collected data among the skilled workers, the overall compatibility with experience and values of multi-assistance system scenarios was more positive than in the single-assistance system scenarios. Our results show no significant differences in ergonomics, mental, physical, and temporal workload between single and multi-assistance system settings. With 150 run-throughs of industrial professionals and campus recruits each, the survey joins only two studies with more than 100 participants. To the authors' knowledge, it is the first systematic multi-criteria evaluation for the combined use of several (cognitive and physical) industrial assistance systems. The results help to ease practitioners’ evaluation of technical support systems in manufacturing with an emphasis on multi-criteria evaluation and the consideration of interconnected (cognitive and physical) assistance systems. Furthermore, the results contribute to further research in human–machine interaction and its impact on productivity and human factors as they show potentials and prospective challenges of the implementation and application of multiple assistance systems."
