,Keyword,Count
137,user study,7
138,extended reality,7
139,cognitive assistance,7
140,design,7
141,ethics,7
142,empirical study,7
143,human-machine cooperation,7
144,human robot collaboration,7
145,quality control,7
146,assistance system,7
147,human error probability,7
148,human-robot collaboration (hrc),7
149,cognitive automation,7
150,cobots,7
151,human-centred design,7
152,cognitive modeling,7
153,cognitive science,7
154,fnirs,7
155,internet of things (iot),7
156,lean manufacturing,7
157,taxonomy,7
158,work engagement,7
159,education,7
160,cognitive factors,6
161,human machine interaction,6
162,skills,6
163,multitasking,6
164,industry,6
165,cloud computing,6
166,cognitive abilities,6
167,knowledge representation,6
168,neuroscience,6
169,reliability,6
170,neural network,6
171,process control,6
172,risk management,6
173,motion planning,6
174,decision support systems,6
175,case study,6
176,accidents,6
177,evaluation,6
178,human robot interaction,6
179,motivation,6
180,accident analysis,6
181,management,6
182,control architecture,6
183,technology,6
184,complexity,6
185,intelligent manufacturing,6
186,human-centered computing,6
187,cognitive psychology,6
188,human reliability,6
189,decision support,6
190,head-mounted display,6
191,natural language processing,6
192,digitalization,6
193,assistive technologies,6
194,autonomy,6
195,human-centered manufacturing,6
196,exoskeletons,6
197,situational awareness,6
198,production,5
199,electroencephalogram,5
200,affective computing,5
201,job performance,5
202,human errors,5
203,multi-robot systems,5
204,explainable ai,5
205,cognitive intelligence,5
206,visual inspection,5
207,assistive systems,5
208,cognitive reliability and error analysis method (cream),5
209,human-centered ai,5
210,prediction,5
211,cooperation,5
212,literature review,5
213,human resource management,5
214,communication,5
215,human-centric,5
216,alzheimer's disease,5
217,smart city,5
218,sleep,5
219,task allocation,5
220,multi-agent systems,5
221,predictive maintenance,5
222,sociotechnical system,5
223,human-centric manufacturing,5
224,resilience,5
225,task analysis,5
226,cognitive assistance system,5
227,diversity,5
228,emotion recognition,5
229,collision avoidance,5
230,anthropomorphism,5
231,task switching,5
232,cyber-physical production system,5
233,design methods,5
234,software development,5
235,intelligent systems,5
236,data analysis,5
237,emotional intelligence,5
238,modeling,5
239,interaction,5
240,cognitive robots,5
241,systematic review,5
242,iiot,5
243,safety culture,5
244,technology acceptance,5
245,work design,5
246,data science,5
247,cognitive task analysis,5
248,knowledge graph,5
249,hazard identification,5
250,edge computing,5
251,inclusion,5
252,theory of planned behavior,5
253,system design,5
254,project management,5
255,individual differences,5
256,user interfaces,5
257,neural networks,5
258,heart rate,5
259,assessment,5
260,assembly task,5
261,health and safety,5
262,hazard recognition,5
263,augmented reality (ar),5
264,data mining,5
265,brain-computer interface,5
266,programming,5
267,well-being,5
268,logistics,5
269,personalization,5
270,labor and personnel issues,5
271,supervisory control,5
272,memory,5
273,robot programming,4
274,mental health,4
275,robots,4
276,collective intelligence,4
277,system dynamics,4
278,physiological data,4
279,waste,4
280,human–computer interaction,4
281,industrial internet of things,4
282,human reliability analysis (hra),4
283,human-robot interaction (hri),4
284,big data analytics,4
285,human error probability (hep),4
286,inspection,4
287,navigation,4
288,nasa-tlx,4
289,bias,4
290,industrial automation,4
291,automotive,4
292,systems engineering,4
293,production planning and control,4
294,ecological interface design,4
295,adaptation,4
296,depression,4
297,ahp,4
298,interface design,4
299,cognitive assistance systems,4
300,safety climate,4
301,industrial design,4
302,virtual environment,4
303,operator training,4
304,spatial augmented reality,4
305,knowledge transfer,4
306,systematic literature review,4
307,train driving,4
308,distributed cognition,4
309,convolutional neural networks,4
310,autonomous agents,4
311,blockchain,4
312,user behavior,4
313,wearable sensors,4
314,sleepiness,4
315,measurement,4
316,human digital twin,4
317,planning,4
318,personality,4
319,cnn,4
320,cognitive assistant,4
321,worker assistance,4
322,pupillometry,4
323,knowledge sharing,4
324,user performance,4
325,heat stress,4
326,dementia,4
327,disassembly,4
328,control,4
329,sleep quality,4
330,fuzzy cognitive map,4
331,human-centered robotics,4
332,0,4
333,cybersecurity,4
334,hri,4
335,information visualization,4
336,action recognition,4
337,human-systems integration,4
338,virtual reality (vr),4
339,risk,4
340,electroencephalography,4
341,task performance,4
342,autonomous driving,4
343,design cognition,4
344,human aspect,4
345,hand gesture recognition,4
346,cognitive technologies,4
347,information management,4
348,intelligent and flexible manufacturing,4
349,electroencephalogram (eeg),4
350,force feedback,4
351,cognitive dissonance,4
352,information systems,4
353,situated driving context,4
354,vr,4
355,manufacturing system,4
356,review,4
357,team performance,4
358,cyber-physical production systems,4
359,sensors,4
360,leadership,4
361,systems thinking,4
362,ros,4
363,digital economy,4
364,electrodermal activity,4
365,facial expression recognition,4
366,cognitive radio,4
367,human,4
368,accessibility,4
369,autonomous vehicles,4
370,industrial robots,4
371,sustainable development,4
372,cobot,4
373,workforce,4
374,self-efficacy,4
375,sustained attention,4
376,privacy,4
377,collaborative robot,4
378,design optimization,4
379,joint cognitive systems,4
380,software engineering,4
381,fourth industrial revolution,4
382,robot,4
383,human-robot interface,4
384,problem solving,4
385,coordination,4
386,data fusion,4
387,human computer interaction (hci),4
388,occupational health and safety,3
389,engineering education,3
390,skill acquisition,3
391,human cognitive reliability,3
392,human-robot teaming,3
393,crowdsourcing,3
394,survey,3
395,power assist robot,3
396,cognitive radio (cr),3
397,information presentation,3
398,anomaly detection,3
399,design strategies,3
400,oil and gas industry,3
401,kinesthetic teaching,3
402,computational intelligence,3
403,pandemic,3
404,experiment,3
405,task engagement,3
406,affect,3
407,context,3
408,human capital,3
409,user-centered design,3
410,safety performance,3
411,human behavior,3
412,generative ai,3
413,motor control,3
414,disability,3
415,decision tree,3
416,software testing,3
417,cognitive assessment,3
418,human behaviour,3
419,service robots,3
420,predictive modelling,3
421,structural equation modeling (sem),3
422,datasets,3
423,data analytics,3
424,physical fatigue,3
425,human behavior modeling,3
426,quality,3
427,pervasive computing,3
428,driving,3
429,learning from demonstration,3
430,object manipulation,3
431,meta-analysis,3
432,cognitive system,3
433,operator assistance systems,3
434,worker support,3
435,real-time,3
436,speech recognition,3
437,flexibility,3
438,operator support,3
439,structural equation modeling,3
440,motion capturing,3
441,federated learning,3
442,metrics,3
443,design methodology,3
444,knowledge work,3
445,design automation,3
446,ergonomic assessment,3
447,spiking neural networks,3
448,design for assembly,3
449,cognitive agents,3
450,cyber-physical-human systems,3
451,vigilance,3
452,industrial robotics,3
453,resilience engineering,3
454,intelligent agents,3
455,multi-criteria decision-making,3
456,ageing,3
457,stem,3
458,human behaviour in design,3
459,emotion modeling,3
460,visual attention,3
461,robotic process automation,3
462,human–robot teaming,3
463,hidden markov model,3
464,reference architecture,3
465,cognitive infocommunications,3
466,intelligent robots,3
467,cognitive systems engineering,3
468,expertise,3
469,haptics and haptic interfaces,3
470,design evaluation,3
471,uml,3
472,brain computer interface,3
473,modelling tools,3
474,brain,3
475,social capital,3
476,operator performance,3
477,recognition,3
478,human-computer interaction (hci),3
479,cognitive architectures,3
480,human in the loop,3
481,emotional design,3
482,human error identification,3
483,multi-robot system,3
484,cognitive informatics,3
485,culture,3
486,developing countries,3
487,qualitative,3
488,explainable artificial intelligence,3
489,object detection,3
490,artificial general intelligence,3
491,neuroethics,3
492,information security,3
493,remote collaboration,3
494,robot skills,3
495,health,3
496,level of automation,3
497,non-technical skills,3
498,older adults,3
499,visual analytics,3
500,stressors,3
501,noise,3
502,process optimization,3
503,user interface design,3
504,machine learning (ml),3
505,time pressure,3
506,cognitive complexity,3
507,collaborative assembly,3
508,supply chain management,3
509,adaptive user interfaces,3
510,assembly systems,3
511,influencing factors,3
512,tacit knowledge,3
513,speech,3
514,human–machine interface,3
515,manufacturing industry,3
516,interface,3
517,design for safety,3
518,tracking,3
519,qualitative research,3
520,human action recognition,3
521,task complexity,3
522,industry 4,3
523,agile,3
524,human–machine interaction,3
525,ecg,3
526,physiological signals,3
527,attitudes,3
528,performance shaping factors,3
529,technology acceptance model,3
530,data management,3
531,ar,3
532,aviation,3
533,software quality,3
534,maritime,3
535,cognitive skills,3
536,gender,3
537,act-r,3
538,cognitive digital twin,3
539,embodied cognition,3
540,cognitive work,3
541,neuroimaging,3
542,confirmatory factor analysis,3
543,green,3
544,cognitive infocommunication,3
545,information,3
546,cognitive processes,3
547,user centred design,3
548,biometrics,3
549,visual search,3
550,organizational change,3
551,cognitive fatigue,3
552,m2m,3
553,human factors and human-in-the-loop,3
554,smart manufacturing systems,3
555,cognitive impairment,3
556,machine vision,3
557,ict,3
558,cognitive mapping,3
559,human-automation interaction,3
560,team cognition,3
561,physical activity,3
562,climate change,3
563,knowledge representation and reasoning,3
564,automated planning,3
565,software architecture,3
566,fuzzy logic,3
567,industrial applications,3
568,teams,3
569,mental model,3
570,rfid,3
571,industrial robot,3
572,game design,3
573,interaction paradigms,3
574,support vector machine,3
575,acceptance,3
576,emotion,3
577,intelligent manufacturing systems,3
578,intelligent control,3
579,assembly tasks,3
580,experimental design,3
581,functional near-infrared spectroscopy,3
582,emg,3
583,injury,3
584,chatbot,3
585,strategies,3
586,human-drone interaction,3
587,children,3
588,decision support system,3
589,entrepreneurship,3
590,human activity recognition,3
591,joint action,3
592,requirements inspection,3
593,virtual environments,3
594,physical ergonomics,3
595,multimodal,3
596,requirements,3
597,soft robotics,3
598,intelligence,3
599,modified cream,3
600,scale development,3
601,work domain analysis,3
602,safety motivation,3
603,feature extraction,3
604,empathy,3
605,unsafe behaviors,3
606,convolutional neural network,3
607,cognitive control,3
608,smart operator,3
609,industrial internet,3
610,customer experience,3
611,human-centered,3
612,mindfulness,3
613,sequence learning,3
614,order picking,3
615,industrial ergonomics,3
616,high-precision,2
617,positive affect,2
618,context-awareness,2
619,scalable,2
620,business models,2
621,metaverse,2
622,robotic automation,2
623,design thinking,2
624,deep reinforcement learning,2
625,schema theory,2
626,system,2
627,supply chain,2
628,multimodal interfaces,2
629,competencies,2
630,education technology,2
631,physical human–robot interaction,2
632,safety assessment,2
633,theory of reasoned action,2
634,storytelling,2
635,physiological sensing,2
636,human-centricity,2
637,visual encoding,2
638,adaptive control,2
639,persuasion,2
640,immersive environments,2
641,human-centred design (hcd),2
642,gaze tracking,2
643,research agenda,2
644,life cycle,2
645,information overload,2
646,bio-recognition elements,2
647,social media,2
648,smartphone,2
649,value co-creation,2
650,entertainment industry,2
651,manufacturing processes,2
652,digital twinning,2
653,wearable robotics,2
654,cognitive process,2
655,design review,2
656,workplace investigation,2
657,smart homes,2
658,monitoring,2
659,job design,2
660,india,2
661,imagination,2
662,behaviour,2
663,intelligent agent,2
664,signal processing,2
665,cognitive-driven development,2
666,autonomous agent,2
667,guidelines,2
668,language,2
669,manufacturing ergonomics,2
670,manual handling,2
671,identity,2
672,hidden markov chain,2
673,counterproductive work behavior,2
674,industrial site assembly,2
675,education systems,2
676,in-situ projection,2
677,nuclear power plant,2
678,labor productivity,2
679,adaptive spatial augmented reality,2
680,cultural heritage,2
681,cross-validation,2
682,prussian classroom,2
683,human computer interface,2
684,knowledge integration,2
685,event-related potentials,2
686,symbions,2
687,lte,2
688,product development,2
689,human-vehicle interaction,2
690,predictive analytics,2
691,mobile computing,2
692,industrial assembly work,2
693,methods,2
694,serious games,2
695,business continuity,2
696,agents,2
697,theory of mind,2
698,training development,2
699,persuasive technology,2
700,learning process,2
701,heart rate variability,2
702,learning analytics,2
703,e-learning,2
704,context effects,2
705,digitization,2
706,industrie 4.0,2
707,work characteristics,2
708,caregiving,2
709,neuro-marketing,2
710,computer-aided design,2
711,hr automation,2
712,consumer behaviour,2
713,production system,2
714,pose estimation,2
715,decision analysis,2
716,multimodality,2
717,adaptive automation,2
718,organizational ergonomics,2
719,chatgpt,2
720,robotic expertise,2
721,wsn,2
722,cognitive design,2
723,human-centric production,2
724,remote operation,2
725,game-based learning,2
726,sex differences,2
727,tactile feedback,2
728,cognitive demands,2
729,social impact,2
730,indigolog,2
731,behavior-based safety,2
732,pupil dilation,2
733,machine intelligence,2
734,graph embedding,2
735,safety analysis,2
736,cognitive framework,2
737,finance,2
738,motion capture,2
739,quality management,2
740,architecture,2
741,virtual assistant,2
742,system usability scale,2
743,nasa tlx,2
744,innovative work behaviour,2
745,heterogeneous networks,2
746,face recognition,2
747,cognitive processing,2
748,model-easing,2
749,resilience engineering (re),2
750,semantics,2
751,human-centric software development,2
752,social networks,2
753,psychological capital,2
754,cognitive factor,2
755,dynamic spectrum access,2
756,extended topsis,2
757,fuzzy petri nets,2
758,psycho-physiological signals,2
759,cognitive aids,2
760,product semantics,2
761,impacts,2
762,construction site,2
763,manufacturing systems,2
764,managers,2
765,agent-based modeling,2
766,telerobotics and teleoperation,2
767,cognitive styles,2
768,ethnography,2
769,correspondence analysis,2
770,workforce training,2
771,industrial application,2
772,haptics,2
773,bayesian networks,2
774,body pose estimation,2
775,brain computer interface (bci),2
776,haptic technology,2
777,gaming,2
778,driver behavior,2
779,ergonomic work conditions,2
780,dynamic neural field,2
781,system architecture,2
782,occupational safety,2
783,technological change,2
784,surface transportation,2
785,functional safety,2
786,dialogue systems,2
787,questionnaire survey,2
788,complex causality,2
789,quality inspection,2
790,digital manufacturing,2
791,gesture recognition,2
792,workers,2
793,personality traits,2
794,cognitive training,2
795,bio-inspired manufacturing control,2
796,symbiosis,2
797,repetitive task,2
798,problem-solving,2
799,information assistance,2
800,occlusion,2
801,shared autonomy,2
802,thermal comfort,2
803,methodology,2
804,melatonin,2
805,blink rate,2
806,south korea,2
807,production management,2
808,work performance,2
809,cognitive support,2
810,spectrum sensing,2
811,chatbots,2
812,explainability,2
813,network security,2
814,markov decision process,2
815,chemical process industry,2
816,spatial ability,2
817,learning strategies,2
818,higher education,2
819,energy consumption,2
820,accident prevention,2
821,activity recognition,2
822,fn-dbscan,2
823,interactive systems,2
824,knowledge extraction,2
825,gis,2
826,cognitive aspects,2
827,sustainable,2
828,psychological distress,2
829,ethical leadership,2
830,human-machine interfaces,2
831,six sigma,2
832,multi-agent,2
833,work instructions,2
834,cognitive simulation,2
835,task-based robot programming,2
836,virtual assembly,2
837,human performance modeling,2
838,visual reasoning,2
839,categorization,2
840,working at height,2
841,cognitive operator 4.0,2
842,action research,2
843,utaut,2
844,employees,2
845,employment,2
846,softbots,2
847,baseline testing,2
848,sensor,2
849,technological innovation,2
850,human augmentation,2
851,trust in automation,2
852,lstm,2
853,simulation-based training,2
854,performance evaluation,2
855,robot learning,2
856,fear conditioning,2
857,rail human factors,2
858,wireless communication,2
859,computational thinking,2
860,fault tree analysis,2
861,forestry,2
862,human machine interface,2
863,flexible manufacturing systems,2
864,bluetooth,2
865,design representation,2
866,semantic segmentation,2
867,carbon dioxide,2
868,coping,2
869,instructions,2
870,systems design,2
871,cognitive failure,2
872,challenges,2
873,recommender system,2
874,operator support systems,2
875,cognitive factory,2
876,iec 61499,2
877,recommendation systems,2
878,model-driven engineering,2
879,modeling tools,2
880,open source software,2
881,usefulness study,2
882,smart operators,2
883,maintenance repair overhaul,2
884,digital work instructions,2
885,inclusive design,2
886,cyber–physical systems,2
887,assistive technology,2
888,vocational education,2
889,behavioural operations management,2
890,industrial internet of things (iiot),2
891,learning effect,2
892,connected factory,2
893,infrastructure,2
894,maturity,2
895,computer graphics,2
896,workplace incident investigation,2
897,roi,2
898,robotic assembly,2
899,biotechnology,2
900,physiology,2
901,behavioral economics,2
902,malaysia,2
903,mobility,2
904,interpretive structural modeling,2
905,human-machine system,2
906,operator safety,2
907,business,2
908,sensing,2
909,human-ai collaboration,2
910,operators,2
911,attentional processes,2
912,artificial intelligent,2
913,ant colony optimization,2
914,explicit knowledge,2
915,multi-touch,2
916,digital health,2
917,training and development,2
918,evolutionary algorithms,2
919,construction management,2
920,esports,2
921,q-learning,2
922,performance prediction,2
923,teamwork,2
924,intervention,2
925,design of experiments,2
926,manufacturing execution system,2
927,electrical safety,2
928,cognitive walkthrough,2
929,cognitive therapy,2
930,genetic programming,2
931,neuropsychology,2
932,visibility,2
933,human-support system,2
934,electronic health record,2
935,cognitive enhancement,2
936,hazard perception,2
937,reaction time,2
938,indirect encoding,2
939,voice-enabled assistant,2
940,socio-cognitive,2
941,surface,2
942,time sharing,2
943,physiological mental states,2
944,human operators,2
945,cpcs,2
946,kitting,2
947,digital assistance system,2
948,assembly system,2
949,variable admittance control,2
950,confirmation bias,2
951,social robotics,2
952,metaphor,2
953,itsm,2
954,process industry,2
955,tracer,2
956,cognitive analytics management,2
957,wearable computing,2
958,physical demands,2
959,social innovation,2
960,cognitive characteristics,2
961,cognitive aspects of automation,2
962,advanced planning and scheduling (aps) energy,2
963,decisional dna,2
964,social robot,2
965,cyberphysical system,2
966,team,2
967,service robot,2
968,adhd,2
969,information security management,2
970,human information processing,2
971,dual task,2
972,exergames,2
973,gesture interaction,2
974,worker assistance systems,2
975,drilling,2
976,emergency response,2
977,assistance,2
978,operational safety,2
979,frequency analysis,2
980,workplace,2
981,mobile robots,2
982,emission,2
983,bluetooth low energy,2
984,cognitive solutions,2
985,soeks,2
986,clam method,2
987,cognitive manufacturing systems,2
988,repetitive assembly,2
989,method development,2
990,ddna,2
991,facial expression,2
992,hazard control,2
993,ppe compliance,2
994,human-machine teaming,2
995,bim,2
996,industrial assembly,2
997,cognitive style,2
998,computational modeling,2
999,mathematics,2
1000,hand gesture,2
1001,social sustainability,2
1002,future internet,2
1003,wellbeing,2
1004,cognitive vision systems,2
1005,sustainable development goals,2
1006,cognitive networks,2
1007,manufacturing planning and control.,2
1008,welding,2
1009,model checking,2
1010,automotive industry,2
1011,quality of experience,2
1012,meditation,2
1013,cognitive technology,2
1014,operator behavior,2
1015,gesture,2
1016,factory of the future,2
1017,motivated reasoning,2
1018,monocular structured light,2
1019,ocra,2
1020,recognition and location,2
1021,humanoid robots,2
1022,cognitive digital twins,2
1023,public health,2
1024,ism,2
1025,ppc,2
1026,human resources support,2
1027,autonomous vehicle,2
1028,team work,2
1029,scenario analysis,2
1030,assembly guidance,2
1031,hand-held devices,2
1032,expert systems (es),2
1033,focus group,2
1034,interview,2
1035,creative,2
1036,game theory,2
1037,learning style,2
1038,aging workforce,2
1039,implicit coordination,2
1040,hiring,2
1041,multimodal interaction,2
1042,big five personality traits,2
1043,ehealth,2
1044,fuzzy cognitive mapping (fcm),2
1045,pulse,2
1046,stress influence,2
1047,wearables,2
1048,markov models,2
1049,industrial chatbots,2
1050,augmented virtuality,2
1051,job autonomy,2
1052,return to work,2
1053,scaffolding,2
1054,wireless sensor networks (wsn),2
1055,automated testing,2
1056,hrv,2
1057,generative adversarial networks,2
1058,geometrical defect,2
1059,creative self-efficacy,2
1060,assembly line,2
1061,posture,2
1062,surface defect,2
1063,process modelling,2
1064,pesticides,2
1065,mining industry,2
1066,safety design,2
1067,work,2
1068,business model innovation,2
1069,demographic change,2
1070,human-centered automation,2
1071,oil and gas,2
1072,extended cognition,2
1073,service design,2
1074,method,2
1075,physical assistance systems,2
1076,job insecurity,2
1077,happiness,2
1078,social interaction,2
1079,cognitive affordance,2
1080,software engineering education,2
1081,software design,2
1082,bci,2
1083,construction sector,2
1084,ubiquitous computing,2
1085,cognitive flexibility,2
1086,multimodal enactive interface,2
1087,spatial cognition,2
1088,prevention through design,2
1089,wellness,2
1090,mobile devices,2
1091,user modeling,2
1092,technology acceptance model (tam),2
1093,workplace learning,2
1094,collaborative remote control,2
1095,distributed adaptive control,2
1096,guilt,2
1097,adaptivity,2
1098,ambidexterity,2
1099,empirical analysis,2
1100,adaptive assembly,2
1101,cognitive production,2
1102,natural language processing (nlp),2
1103,control room,2
1104,erp,2
1105,near-miss,2
1106,safety risk assessment,2
1107,mining,2
1108,psychosis,2
1109,smart production,2
1110,learnability,2
1111,unmanned ground vehicles,2
1112,ndt,2
1113,cmos,2
1114,learning and adaptive systems,2
1115,cognitive clones,2
1116,automation anywhere,2
1117,e-mail automation,2
1118,ia,2
1119,embodiment,2
1120,organizational factors,2
1121,learning theory,2
1122,rpa,2
1123,automatic speech recognition (asr),2
1124,electrocardiogram,2
1125,iq bots,2
1126,robot control,2
1127,manual automation,2
1128,exoskeleton,2
1129,accident investigation,2
1130,incident report form,2
1131,engineering project,2
1132,meta bots,2
1133,risk communication,2
1134,nanotechnology,2
1135,human pose estimation,2
1136,order picking tasks,2
1137,information theory model,2
1138,heuristics and biases,2
1139,distance,2
1140,cognitive augmentation,2
1141,meaning,2
1142,cognitive sensing,2
1143,design practice,2
1144,gpt-4,2
1145,analytics,2
1146,wireless sensor networks,2
1147,human safety,2
1148,information fusion,2
1149,transparency,2
1150,task bots,2
1151,remote working,2
1152,perceived benefits,2
1153,radar,2
1154,poka-yoke,2
1155,competence,2
1156,lean,2
1157,information society,2
1158,transfer,2
1159,multi-sensor fusion,2
1160,system analysis,2
1161,reasoning,2
1162,brain training,2
1163,perceived intelligence,2
1164,risk compensation,2
1165,uncanny valley,2
1166,path planning,2
1167,internet of production,2
1168,virtual guides,2
1169,games,2
1170,multi-objective optimization,2
1171,mixed/augmented reality,2
1172,anxiety,2
1173,digitalisation,2
1174,presence,2
1175,safety behaviors,2
1176,moral disengagement,2
1177,automation complacency,2
1178,industrial metaverse,2
1179,self-determination theory,2
1180,it service management,2
1181,workforce development,2
1182,retail,2
1183,complex systems,2
1184,three-way decision,2
1185,validation,2
1186,data visualization,2
1187,health informatics,2
1188,neurotechnology,2
1189,child development,2
1190,preschool children,2
1191,time,2
1192,tool innovation,2
1193,basic control structures,2
1194,future of work,2
1195,stock-flow failure,2
1196,automation bias,2
1197,decision-making process,2
1198,weight perception,2
1199,dynamic movement primitive (dmp),2
1200,workaholism,2
1201,user-centred design,2
1202,fuzzy analytical hierarchy process,2
1203,construction worker,2
1204,skill,2
1205,response time,2
1206,industrial manufacturing,2
1207,bioinspiration,2
1208,network analysis,2
1209,emotional states,2
1210,science,2
1211,virtual fixtures,2
1212,health information technology,2
1213,driver distraction,2
1214,dcog,2
1215,human-robot collaboration assembly,2
1216,operator,2
1217,safety training,2
1218,galvanic skin response,2
1219,hrc,2
1220,diagnosis,2
1221,treatment,2
1222,hra,2
1223,mhealth,2
1224,knowledge worker,2
1225,two-sided matching,2
1226,spatial decision making,1
1227,agile manufacturing,1
1228,interaction mechanisms,1
1229,professional development,1
1230,cognitive work analysis (cwa),1
1231,nanomaterials,1
1232,ibm watson,1
1233,flight safety,1
1234,product variety,1
1235,geographical information systems (gis),1
1236,quantitative methods,1
1237,automated reasoning,1
1238,personnel management,1
1239,prototypes,1
1240,sweden,1
1241,product driven control,1
1242,autonomous control,1
1243,managing complexity,1
1244,theta,1
1245,perceived production complexity,1
1246,cognitive rules,1
1247,composites manufacturing,1
1248,alpha,1
1249,sociotechnical regime,1
1250,cognition-guidance,1
1251,structural frame,1
1252,unmanned aerial vehicle (uav),1
1253,shape cognition,1
1254,multifamily buildings,1
1255,disinhibition,1
1256,firms,1
1257,mobile ad hoc networks,1
1258,malnutrition,1
1259,process based cost modeling,1
1260,ux,1
1261,cellular network,1
1262,human physiological response,1
1263,affect prediction,1
1264,disruption tolerant networking,1
1265,informational society,1
1266,mobile internet,1
1267,teleoperator,1
1268,telecommunication service,1
1269,man-machine system,1
1270,growth,1
1271,blue-enriched white light,1
1272,night work,1
1273,spatial mapping,1
1274,rest break,1
1275,film test screening,1
1276,neuro-cinematics,1
1277,resource theory,1
1278,effort allocation,1
1279,simulation methodology,1
1280,hybrid simulation,1
1281,activity planning,1
1282,metal alloys,1
1283,forging,1
1284,aerospace,1
1285,micronutrient deficiencies,1
1286,green communication,1
1287,energy efficiency,1
1288,wechat,1
1289,mobile sensor computing,1
1290,virtual simulation,1
1291,human–computer interaction (hci),1
1292,industrial manipulators,1
1293,levels of autonomy,1
1294,ros-i,1
1295,risk & safety in design,1
1296,semi-autonomous behavoirs,1
1297,mata-d,1
1298,wasting,1
1299,cyber physical assembly systems,1
1300,digital assistance,1
1301,flexiblity,1
1302,system independent data-driven reconfiguration,1
1303,underweight,1
1304,aerial surveillance,1
1305,case-based reasoning,1
1306,unmanned aerial vehicle,1
1307,stunting,1
1308,south asia,1
1309,pilot test screening,1
1310,knowledge-enhanced interoperability,1
1311,responsiveness,1
1312,context-aware reasoning,1
1313,semantic rules,1
1314,hedonic goods,1
1315,adaptive visualization,1
1316,physiological responses,1
1317,smart tourism,1
1318,perceived air quality,1
1319,technology adoption,1
1320,acute health symptoms,1
1321,levels of automation,1
1322,natural resources,1
1323,mulsemedia,1
1324,"media synchronism, cognitive computing systems",1
1325,techno-centered design,1
1326,assembly workplace,1
1327,hypermedia conceptual models,1
1328,hypermedia and multimedia systems,1
1329,decision-making processes,1
1330,visual strategies,1
1331,part search,1
1332,train control,1
1333,part similarity,1
1334,ertms,1
1335,small and medium-size,1
1336,recommendation,1
1337,railroad app,1
1338,simplexity,1
1339,railcar inspection,1
1340,situation,1
1341,cognitive state,1
1342,learning ability,1
1343,neuro-electrostimulation,1
1344,human performance mode,1
1345,neuroplasticity,1
1346,error-likely situation,1
1347,mobile map,1
1348,neuroscience of learning,1
1349,neural correlates,1
1350,brain-based systems,1
1351,freight car inspection,1
1352,inspection technology,1
1353,advanced technology,1
1354,internet-of-things,1
1355,semantic relatedness,1
1356,semantic intensity,1
1357,semantic clue,1
1358,random walk,1
1359,pheromone,1
1360,machine-to-machine,1
1361,natural gas,1
1362,physical web,1
1363,network situation awareness,1
1364,research and information activities,1
