,Publication Type,Article Title,Authors,Source Title,Volume,Start Page,End Page,Publication Year,Publication Date,ISSN,DOI,DOI Link,Author Keywords,Abstract,Issue,Conference Title
10,JOUR,An exact method to incorporate ergonomic risks in Assembly Line Balancing Problems,"['Possan Junior, Moacyr Carlos', 'Michels, Adalberto Sato', 'Magatão, Leandro']",Computers & Industrial Engineering,183,109414,,2023,2023/09/01/,0360-8352,https://doi.org/10.1016/j.cie.2023.109414,['https://www.sciencedirect.com/science/article/pii/S0360835223004382'],"['Assembly line balancing', 'Mixed-integer linear programming', 'Ergonomic risks', 'OCRA']","Since ergonomic risks related to the tasks performed by each worker are generally neglected when solving the Simple Assembly Line Balancing Problem (SALBP) or partially treated in post-processing, this paper aims to incorporate ergonomic issues natively in the decision process (ErgoSALBP). For such a problem, we present a novel Mixed-Integer Linear Programming (MILP) model that linearizes and incorporates into the SALBP the Occupational Repetitive Action (OCRA). This well-known method gives ergonomic risk indicators for musculoskeletal disorders. A lexicographical approach to address the problem is proposed, where the minimum number of stations is obtained for SALBP and used as a starting point to solve a type-F ErgoSALBP (feasibility problem) focused on satisfying the maximum ergonomic risk workload. Once the exact solution is found, we establish an objective function to smooth the ergonomic risk distribution among stations. We tested a total of 2160 instances with up to 297 tasks. Our method was able to solve 94% of all instances optimally. The share of solutions found with only green stations (the ideal ergonomic condition) was 87%, surpassing the state of the art. For the instances where the model did not converge to a solution within the time limit, we present a procedure to assess the optimality gap. Furthermore, the model can be embedded as a building block for other assembly line configurations. Finally, the results provide trade-off insights for managers: the average OCRA for the line improves as the cycle time increases, which may positively impact workers’ satisfaction and product quality in the long run.",,
11,JOUR,Parameters of effects in decision making of automotive assembly line using the Analytical Hierarchy Process method,"['Nelfiyanti,', 'Mohamed, Nik', 'Rashid, MFFA', 'Ramadhan, Anwar Ilmar']",CIRP Journal of Manufacturing Science and Technology,37,370,377,2022,2022/05/01/,1755-5817,https://doi.org/10.1016/j.cirpj.2022.02.018,['https://www.sciencedirect.com/science/article/pii/S1755581722000438'],"['Analytical Hierarchical Process (AHP)', 'Automotive', 'Decision Making', 'Musculoskeletal Disorder (MSD)']","The automotive industry contributes high income to most of the countries. The assembly line is an essential part of the automotive industry because it combines all the components into a complete body unit. Assembly lines often experience delays in meeting production targets, requiring overtime to complete. Musculoskeletal Disorder (MSD) complaints among assembly workers predominantly lie in trimming, chassis, and finishing processes. Improvements are needed to reduce complaints according to the priority process. This study aims to prioritize the process on the assembly line with the parameters of work position, workload, work layout and equipment. This study implements the Analytical Hierarchy Process (AHP) method to achieve the objectives of the decision-making process. Preliminary weighting priorities for chassis, finishing and trimming are 0.6153, 0.2313 and 0.1533; respectively highest weight is in the chassis process and will be a priority for this study in optimizing solutions.",,
12,JOUR,Software framework concept with visual programming and digital twin for intuitive process creation with multiple robotic systems,"['Niermann, Dario', 'Doernbach, Tobias', 'Petzoldt, Christoph', 'Isken, Melvin', 'Freitag, Michael']",Robotics and Computer-Integrated Manufacturing,82,102536,,2023,2023/08/01/,0736-5845,https://doi.org/10.1016/j.rcim.2023.102536,['https://www.sciencedirect.com/science/article/pii/S0736584523000121'],"['Smart Manufacturing', 'Programming', 'Industry 4.0', 'Operator 4.0', 'Human Robot Interaction', 'Process Planning', 'User Centric Design', 'Human-machine interaction', 'Software architecture', 'Visual programming', 'Digital twin']","With the progressive digitalization in industrial manufacturing, the usage of complex robotic systems in both intralogistics and production is expected to increase. This proposes a challenge for planners and shop floor workers, as programming and interacting with these various systems leads to a high cognitive load. Especially the broad range of different manufacturer specific software leads to a number of problems, e.g. the program-synchronization between different systems and the often necessary workshops for workers. These problems can lead to inefficient programming and planning operations, bad worker satisfaction and human errors. In this paper, we present a modular, system agnostic and human centered software framework that unifies the programming of different systems, to enable centralized and intuitive system programming for non-expert operators. Our software framework utilizes visual programming concepts together with an integrated digital twin of the factory and a novel graph-based programming interface. We explain our concept in detail and describe our validation through integration into a realistic industrial setup with three different systems. In addition, we provide an evaluation of our concept's usability with an experimental user study and discuss the results of the study and the software implementation. Our study results show that even non-technical users are able to use our software after a brief introduction to create complex processes that involve multiple machines working in parallel. All users reported high usability and expert users reported that the visual process editor has enough features to create processes for industrial applications. Finally, we conclude this paper by providing an outlook on future work and use-cases of our software.",,
13,JOUR,Assessing mental workload with wearable devices – Reliability and applicability of heart rate and motion measurements,"['Mach, Sebastian', 'Storozynski, Pamela', 'Halama, Josephine', 'Krems, Josef F.']",Applied Ergonomics,105,103855,,2022,2022/11/01/,0003-6870,https://doi.org/10.1016/j.apergo.2022.103855,['https://www.sciencedirect.com/science/article/pii/S0003687022001788'],"['', '', '']","Wearable devices are increasingly used for assessing physiological data. Industry 4.0 aims to achieve the real-time assessment of the workers’ condition to adapt processes including the current mental workload. Mental workload can be assessed via physiological data. This paper researches the potential of wearable devices for mental workload assessment by utilizing heart rate and motion data collected with a smartwatch. A laboratory study was conducted with four levels of mental workload, ranging from none to high and during sitting and stepping activities. When sitting, a difference in the heart rate and motion data from the smartwatch was only found between no mental workload and any mental workload task. For the stepping condition, differences were found for the movement data. Based on these results, wearable devices could be useful in the future for detecting whether a mental demanding task is currently performed during low levels of physical activity.",,
14,JOUR,Work Sequence Analysis and Computer Simulations of Value Flow and Workers’ Relocations: A Case Study,"['Stadnicka, Dorota', 'Antonelli, Dario', 'Bruno, Giulia']",Procedia CIRP,62,159,164,2017,2017/01/01/,2212-8271,https://doi.org/10.1016/j.procir.2016.06.037,['https://www.sciencedirect.com/science/article/pii/S2212827116306552'],"['Workload balancing', 'computer simulations', 'assembly', 'value flow improvement', 'simulated experiment']","Several solutions have been proposed for the workload balancing in manual assembly lines with workers’ task assignment. Facing the case study of a sheet metal assembly line of transport pallets, the paper addresses the problem of the dynamic task assignment. The walking path minimization is considered in the problem, together with task sequence constraints. A real-time simulation allows to test the solution variations before their implementation.",,"10th CIRP Conference on Intelligent Computation in Manufacturing Engineering - CIRP ICME '16. [Edited by: Roberto Teti, Manager Editor: Doriana M. D'Addona]"
15,JOUR,A fusion-based spiking neural network approach for predicting collaboration request in human-robot collaboration,"['Zhang, Rong', 'Li, Jie', 'Zheng, Pai', 'Lu, Yuqian', 'Bao, Jinsong', 'Sun, Xuemin']",Robotics and Computer-Integrated Manufacturing,78,102383,,2022,2022/12/01/,0736-5845,https://doi.org/10.1016/j.rcim.2022.102383,['https://www.sciencedirect.com/science/article/pii/S0736584522000709'],"['Human-robot collaboration', 'Spiking neural networks', 'Collaboration prediction']","In human-robot collaborative (HRC) manufacturing systems, how the collaborative robots engage in the collaborative tasks and complete the corresponding work in a timely manner according to the actual state has been a critical factor that hinders the efficiency of HRC. Inappropriate collaborative behaviors will result in a poor perceptual experience for human operators (e.g., robots starting action too early or too late). To address this issue, a fusion-based spiking neural networks (FSNNs) approach for collaboration request prediction is proposed, aiming to find the right collaboration timing for robots in HRC assembly system and to minimize human aversion without affecting human operation behaviors. By encoding human behavior, product state and robot pose into spiking signals that can be processed by FSNNs, the spatio-temporal coupling relationship between those three aspects can be comprehensively analyzed, and to solve the appropriate timing of robot participation in collaboration. Finally, demonstrative experiments are carried out on the HRC assembly of generator end caps in the lab environment. Compared with the baseline methods, the decision accuracy of the proposed one is improved by nearly 30%, which further proves its effectiveness.",,
16,JOUR,Adherence to standard operating procedures for improving data quality: An empirical analysis in the postal service industry,"['Eskandarzadeh, Saman', 'Fahimnia, Behnam', 'Hoberg, Kai']",Transportation Research Part E: Logistics and Transportation Review,176,103178,,2023,2023/08/01/,1366-5545,https://doi.org/10.1016/j.tre.2023.103178,['https://www.sciencedirect.com/science/article/pii/S1366554523001667'],"['Data quality', 'Compliance', 'Standard operating procedures', 'SOP', 'Management reinforcement', 'Empirical']","Complete and accurate data is an important enabler of effective supply chain decision making. Despite the increasing efforts to fully automate data collection processes using advanced sensors and scanners, human operators are still in charge of data entry tasks in most industries. Unfortunately, operators do not often comply with the standard operating procedures (SOPs) and do not always exhibit the consistency and commitment required to collect high-quality data. In fact, data collection is often perceived as a non-value-adding activity that increases workloads and lowers productivity. We aim to empirically study the extent to which compliance with SOPs for data collection is affected by some of the key factors. Using a large dataset obtained from a leading postal service provider in Australia, we find that an operator’s workload, fatigue, and related work experience directly impact the compliance levels. We also find that a company’s compliance reinforcement intervention to improve compliance behavior can moderate these impacts.",,
17,JOUR,Balancing high operator's workload through a new job rotation approach: Application to an automotive assembly line,"['Moussavi, S.E.', 'Zare, M.', 'Mahdjoub, M.', 'Grunder, O.']",International Journal of Industrial Ergonomics,71,136,144,2019,2019/05/01/,0169-8141,https://doi.org/10.1016/j.ergon.2019.03.003,['https://www.sciencedirect.com/science/article/pii/S0169814118301264'],"['Job rotation scheduling', 'Workload balancing', 'Ergonomic risk assessment', 'Mixed integer programming']","Reducing musculoskeletal disorder (MSD) risk factors and work monotony are the main reasons that persuade a manufacturing industry to apply job rotation in the workforce planning. This research aims to smooth the daily workload by designing an optimal sequence of job rotation using a mathematical model. The study consists of two main steps. The first is an ergonomic analysis of the workstations to evaluate the physical workload of different jobs. An in-house risk assessment method was used to identify physical workloads of each job. In the second step, a mathematical model was developed to schedule job rotation and optimize/balance the cumulative workload. Mixed integer programming is proposed to implement a platform for the ergonomic job rotation. The objective of the job rotation programming in this research was to determine the optimal sequence of jobs for each worker such that the global daily workload of the workers would be balanced. The proposed job rotation strategy reduced the dispersion and the deviation of the daily cumulative workload among the workers considering that the rotation only occurred inside the specific groups and not between the groups.",,
18,JOUR,Exact and heuristic methods for a workload allocation problem with chain precedence constraints,"['Pereira, Jordi', 'Ritt, Marcus']",European Journal of Operational Research,309,387,398,2023,2023/08/16/,0377-2217,https://doi.org/10.1016/j.ejor.2022.12.035,['https://www.sciencedirect.com/science/article/pii/S0377221722010037'],"['Manufacturing', 'Assembly line balancing', 'Worker allocation', 'Dynamic programming', 'Branch and bound']","Industrial manufacturing is often organized in assembly lines where a product is assembled on a sequence of stations, each of which executes some of the assembly tasks. A line is balanced if the maximum total execution time of any station is minimal. Commonly, the task execution order is constrained by precedences, and task execution times are independent of the station performing the task. Here, we consider a recent variation, called the “(Calzedonia) Workload Allocation Problem” (WAP), where the precedences form a chain, and the execution time of a task depends on the worker executing it. This problem was recently proposed by Battarra et al. (2020) and it is a special case of the Assembly Line Worker Assignment and Balancing Problem Miralles et al. (2007) where precedence relations are arbitrary. In this paper we consider the computational complexity of the problem and prove its NP-hardness. To solve the problem, we provide different lower bounds and exact and heuristic procedures. The performance of the proposed methods is tested on previously proposed instances and on new, larger instances with the same characteristics. The results show that the proposed methods can solve instances with up to about 4000 tasks and 29 workers, doubling the size of the instances that previously could be solved to optimality.",1,
19,JOUR,Analysis of the Relationships between Noise Exposure and Stress/Arousal Mood at Different Levels of Workload,"['Madvari, Rohollah Fallah', 'Bidel, Hamideh', 'Mehri, Ahmad', 'Babaee, Fatema', 'Laal, Fereydoon']",Sound and Vibration,58,119,131,2024,2024/03/19/,1541-0161,https://doi.org/10.32604/sv.2024.048861,['https://www.sciencedirect.com/science/article/pii/S1541016124000084'],"['Noise stress', 'workload', 'noise sensitivity', 'mood', 'NASA-TLX', 'stress-arousal checklist (SACL)']","Noise is one of the environmental factors with mental and physical effects. The workload is also the multiple mental and physical demands of the task. Therefore, his study investigated the relationship between noise exposure and mood states at different levels of workload. The study recruited 50 workers from the manufacturing sector (blue-collar workers) as the exposed group and 50 workers from the office sector (white-collar workers) as the control group. Their occupational noise exposure was measured by dosimetry. The Stress-Arousal Checklist (SACL) and the NASA Task Load Index (NASA-TLX) were used to measure mood and workload, respectively. The equivalent noise exposure level of the exposed group at high and very high workload levels was 85 and 87 dBA, respectively. The mean mood score of the exposed group was 76 at very high workload. The correlation coefficient between noise exposure level and mood state based on workload levels ranged from 0.3 at medium workload to 0.57 at very high workload. Noise exposure at high workload levels can increase its adverse effects, so controlling and optimizing the multiple demands of the task in the workplace can be used as a privative measure to reduce the adverse effects of noise.",,
20,JOUR,Occupational ergonomics research and applied contextual design implementation for an industrial shop-floor workstation,"['Sanjog, J.', 'Patel, Thaneswer', 'Karmakar, Sougata']",International Journal of Industrial Ergonomics,72,188,198,2019,2019/07/01/,0169-8141,https://doi.org/10.1016/j.ergon.2019.05.009,['https://www.sciencedirect.com/science/article/pii/S0169814118300611'],"['Human modelling', 'Manufacturing', 'Posture', 'Psychosocial work environment', 'Work study', 'Workload']","The aim of this original research article is to identify the occurrence of work-related ergonomics risk factors, in order to implement context specific human centered design interventions in the injection molding shop-floor workstations of plastic furniture manufacturing factories within the framework of industrially developing countries. Questionnaire study, postural assessment tools, computer aided design, digital human modeling and simulation, and basic work study techniques were used. Plastic processing industry is highly fragmented, consisting of small, medium scale enterprises with tremendous growth potential. Occupational design ergonomics research in the injection molding plastic furniture manufacturing shop-floor workstations is very scarce in industrially developing countries. Shop-floor workers are affected by prevalent awkward working postures and consequent body part discomforts. Useful and easily implementable accessories/fixtures with convenient design features were conceptualized. Virtual ergonomics evaluation of the workstation with proposed accessories/fixtures showed significant reduction of awkward working postures. Physical prototypes of the proposed fixtures were constructed and real human trials were performed in the factories. Time study indicated reduction in operator cycle time when compared with time taken before design modifications. Research methodology, results and design solutions described from an ergonomics perspective would definitely serve as a helpful guide for existing as well as upcoming factories in the injection molded plastic furniture manufacturing industry of industrially developing countries and further similar research endeavors.",,
21,JOUR,A population-based algorithm for the bi-objective assembly line worker assignment and balancing problem,"['Zacharia, P. Th.', 'Nearchou, Andreas C.']",Engineering Applications of Artificial Intelligence,49,1,9,2016,2016/03/01/,0952-1976,https://doi.org/10.1016/j.engappai.2015.11.007,['https://www.sciencedirect.com/science/article/pii/S0952197615002626'],"['Assembly line worker assignment and balancing', 'Genetic algorithms', 'Multi-objective optimization', 'Smoothness index', 'Pareto solutions']","A multi-objective evolutionary algorithm (MOEA) is presented for the solution of the bi-criteria assembly line worker assignment and balancing problem (ALWABP). This problem consists of determining the best assignment of the assembly tasks to workers as well as the workers to workstations in accordance with some desired objectives. Task times differ depending on worker skills. Two optimization criteria are considered to be minimized, the cycle time and the smoothness index of the workload of the line. The efficiency of the proposed MOEA is evaluated over a set of benchmarks test problems taken from the open literature. A suitable performance analysis is deployed concerning the quality of the Pareto solutions. The results demonstrate a very satisfactory performance in terms of solution quality.",,
22,JOUR,Suzhal – An Alternative Layout to Improve Productivity and Worker Well-being in Labor Demanded Lean Environment,"['Gnanavel, S.S.', 'Balasubramanian, Venkatesh', 'Narendran, T.T.']",Procedia Manufacturing,3,574,580,2015,2015/01/01/,2351-9789,https://doi.org/10.1016/j.promfg.2015.07.268,['https://www.sciencedirect.com/science/article/pii/S2351978915002693'],"['Cellular manufacturing', 'Cycle time', 'Layout', 'Productivity', 'RULA', 'Simulation']","Ergonomics continues to be relevant in work-places in which a significant amount of manual labor exists, such as in some of the Cellular manufacturing Systems (CMS). In order to distribute the workload evenly over all the workers in the line, some of the industries resorted to the practice of rotating all the workers through all workstations in the cell (Nagare cell) that prevents monotony and boredom. The presence of automated equipment in the cell will hamper this strategy for job rotation. This study aims to demonstrate the application of ergonomically designed looping layout in the assembly cell in the labor demanded lean manufacturing environment. The study was conducted in a process line in an automobile ancillary unit. The current process line which was conventional U-shaped line was simulated and the productivity has been verified and validated with the real life environment. Process map showed that the operators walked long distances, felt stress in certain workstations and that inventory piled up at the bottleneck workstation. We identify sub-cells within the cell. With the same manpower, we develop a new layout (Suzhal) and make workers rotate within each sub-cell. The proposed layout was simulated and results have been compared with the current layout. The analysis shows a reduction in the total operating cycle time, higher alertness among operators, better distribution of workloads in the group and hence higher productivity.",,"6th International Conference on Applied Human Factors and Ergonomics (AHFE 2015) and the Affiliated Conferences, AHFE 2015"
