,Article Title,Authors,Abstract,Volume,Source Title,Publication Year,ISSN,DOI,Source
10,A multi-objective software tool for manual assembly line balancing using a genetic algorithm,Dalle Mura M.; Dini G.,"This paper proposes a new genetic algorithm approach for solving a multi-objective assembly line balancing problem. The objectives concern the minimization of the number of workstations and the workload variance, typically faced by most systems presented in literature, but also the minimization of three further aspects, not simultaneously treated in literature and very important in manual assembly lines: the number of skilled workers among workstations, the number of assembly equipment (e.g.: automatic screwdrivers, pressing machines, etc.) and the number of assembly direction changes along the sequence. To demonstrate the effectiveness of the proposed method in finding optimized assembly sequences, a classical case study taken from the literature is finally discussed. © 2017 CIRP",19,CIRP Journal of Manufacturing Science and Technology,2017,17555817,10.1016/j.cirpj.2017.06.002,SCO
11,Determining Cognitive Workload Using Physiological Measurements: Pupillometry and Heart-Rate Variability,Ma X.; Monfared R.; Grant R.; Goh Y.M.,"The adoption of Industry 4.0 technologies in manufacturing systems has accelerated in recent years, with a shift towards understanding operators’ well-being and resilience within the context of creating a human-centric manufacturing environment. In addition to measuring physical workload, monitoring operators’ cognitive workload is becoming a key element in maintaining a healthy and high-performing working environment in future digitalized manufacturing systems. The current approaches to the measurement of cognitive workload may be inadequate when human operators are faced with a series of new digitalized technologies, where their impact on operators’ mental workload and performance needs to be better understood. Therefore, a new method for measuring and determining the cognitive workload is required. Here, we propose a new method for determining cognitive-workload indices in a human-centric environment. The approach provides a method to define and verify the relationships between the factors of task complexity, cognitive workload, operators’ level of expertise, and indirectly, the operator performance level in a highly digitalized manufacturing environment. Our strategy is tested in a series of experiments where operators perform assembly tasks on a Wankel Engine block. The physiological signals from heart-rate variability and pupillometry bio-markers of 17 operators were captured and analysed using eye-tracking and electrocardiogram sensors. The experimental results demonstrate statistically significant differences in both cardiac and pupillometry-based cognitive load indices across the four task complexity levels (rest, low, medium, and high). Notably, these developed indices also provide better indications of cognitive load responding to changes in complexity compared to other measures. Additionally, while experts appear to exhibit lower cognitive loads across all complexity levels, further analysis is required to confirm statistically significant differences. In conclusion, the results from both measurement sensors are found to be compatible and in support of the proposed new approach. Our strategy should be useful for designing and optimizing workplace environments based on the cognitive load experienced by operators. © 2024 by the authors.",24,Sensors,2024,14248220,10.3390/s24062010,SCO
12,Trust-based compliant robot-human handovers of payloads in collaborative assembly in flexible manufacturing,Rahman S.M.M.; Wang Y.; Walker I.D.; Mears L.; Pak R.; Remy S.,"A human-robot hybrid cell is developed for performing assembly in flexible manufacturing in collaboration between a robot and its human co-worker. Robot trust in human is considered, a computational model for the trust is derived, and a method to measure and display the trust in real-time is developed. The collaborative assembly includes robot-to-human handovers of payloads (assembly tools). A novel trust-based compliant handover motion planning strategy for the robot is derived. The robot varies its handover configuration and motion based on robot trust in human through kinematic redundancy with the aim of reducing potential impulse forces on human body through payload during handover. A comprehensive scheme is developed to evaluate the collaborative assembly including the trust-based handover strategy. The evaluation results show that consideration of robot trust in human during the assembly and adjustment in handover configuration and motion based on robot's trust levels in human significantly improve human-robot interaction and assembly performance through increasing safety, human trust in robot, handover success rate, and the overall assembly efficiency by 20%, 37.58%, 30% and 6.73% respectively and reducing cognitive workload by 25.63%, with a minor reduction in the handover efficiency by 1.87%. © 2016 IEEE.",2016-November,IEEE International Conference on Automation Science and Engineering,2016,21618070,10.1109/COASE.2016.7743428,SCO
13,A mathematical model for cognitive workload evaluation in smart production systems,Cavallo D.; Digiesi S.; Mossa G.; Mummolo G.,"The fourth industrial revolution, as the others, has introduced a new paradigm. This new paradigm refers to the set of digital innovations that are changing the manufacturing systems. The growing adoption of innovative devices in the production process has radically changed operator's work. 'New' operator is required to interact with the new technological devices. This means that the operator is employed in more cognitive than physical task. If on one hand the tasks are changing, on the other ones the existing models, already adopted in workload evaluation, are mainly focused on motor performances rather than cognitive ones. Therefore, in many cases they could not be applied. Further strong limitations are highlighted by scientific literature, on the existing methods adopted for the cognitive workload evaluation, in most of cases the evaluation is strictly related to a specific task, a large number of data samples is required, the data elaboration is quite complex and high computation times are required. Consistently with the issues above mentioned, the purpose of this paper consists in develop a numerical mathematical model allowing to evaluate the cognitive workload in smart manufacturing systems, in order to quantify the cognitive workload to assign to worker, avoiding a high rate brain occupancy, as well as a high psychological pressure lead to performance reduction in terms of reliability and safety. The model developed is applied to a full case-study, the results shown the effectiveness of the methodology introduced to predict the cognitive workload and provide a valuable tool for a preliminary evaluation of the human performance in production systems. © 2020, AIDI - Italian Association of Industrial Operations Professor. All rights reserved.",,Proceedings of the Summer School Francesco Turco,2020,22838996,,SCO
14,Attitudes of factory workers towards industrial and collaborative robots,Elprama S.A.; Jewell C.I.C.; Jacobs A.; El Makrini I.; Vanderborght B.,"Despite the predicted growth of the amount of collaborative robots, little attention has been paid to the attitudes and needs of potential future users of these robots (e.g. factory workers). The main goal of our study was to identify recommendations to improve collaboration between robots and factory workers. We used the collaborative robot Baxter as a probe to elicit repsonses from factory workers in order to explore their perceptions regarding working with robots. We conducted four interviews with two factory workers simultaneously participating in each interview (n = 8). These interviews were analyzed and our findings suggest that workers believe robots can and have taken people's jobs. However, they also believe that robots can decrease their workload. © 2017 Authors.",,ACM/IEEE International Conference on Human-Robot Interaction,2017,21672148,10.1145/3029798.3038309,SCO
15,Overloaded and at Work: Investigating the Effect of Cognitive Workload on Assembly Task Performance,Biondi F.N.; Cacanindin A.; Douglas C.; Cort J.,"Objective: This study investigates the effect of cognitive overload on assembly task performance and muscle activity. Background: Understanding an operator’s cognitive workload is an important component in assessing human–machine interaction. However, little evidence is available on the effect that cognitive overload has on task performance and muscle activity when completing manufacturing tasks. Method: Twenty-two volunteers completed an assembly task while performing a secondary cognitive task with increasing levels of demand (n-back). Performance in the assembly task (completion times, accuracy), muscle activity recorded as integrated electromyography (EMG), and self-reported workload were measured. Results: Results show that the increasing cognitive demand imposed by the n-back task resulted in impaired assembly task performance, overall greater muscle activity, and higher self-reported workload. Relative to the control condition, performing the 2-back task resulted in longer assembly task completion times (+10 s on average) and greater integrated EMG for flexor carpi ulnaris, triceps brachii, biceps brachii, anterior deltoid, and pectoralis major. Conclusion: This study demonstrates that working under high cognitive load not only results in greater muscle activity, but also affects assembly task completion times, which may have a direct effect on manufacturing cycle times. Application: Results are applicable to the assessment of the effects of high cognitive workload in manufacturing. © Copyright 2020, The Author(s).",63,Human Factors,2021,00187208,10.1177/0018720820929928,SCO
16,"The effects of projected versus display instructions on productivity, quality and workload in a simulated assembly task",Bosch T.; Könemann R.; De Cock H.; Van Rhijn G.,"In this paper, we describe an experimental study that investigated the effects of electronic work instructions and AR based instructions (projected work instructions) on productivity, product quality and human operator workload. In a simulated assembly task, projected instructions on the work spot and operator guidance picking the correct component lead to significantly higher productivity and quality rates compared to instructions presented on a screen. Remarkably, at these higher levels of performance, the work load on the operator was not increased, but instead significantly decreased. © 2017 ACM.",Part F128530,ACM International Conference Proceeding Series,2017,,10.1145/3056540.3076189,SCO
17,A population-based algorithm for the bi-objective assembly line worker assignment and balancing problem,Zacharia P.Th.; Nearchou A.C.,"A multi-objective evolutionary algorithm (MOEA) is presented for the solution of the bi-criteria assembly line worker assignment and balancing problem (ALWABP). This problem consists of determining the best assignment of the assembly tasks to workers as well as the workers to workstations in accordance with some desired objectives. Task times differ depending on worker skills. Two optimization criteria are considered to be minimized, the cycle time and the smoothness index of the workload of the line. The efficiency of the proposed MOEA is evaluated over a set of benchmarks test problems taken from the open literature. A suitable performance analysis is deployed concerning the quality of the Pareto solutions. The results demonstrate a very satisfactory performance in terms of solution quality. © 2015 Elsevier Ltd. All rights reserved.",49,Engineering Applications of Artificial Intelligence,2016,09521976,10.1016/j.engappai.2015.11.007,SCO
18,Construction Worker Workload Assessment for Human-Human versus Human-Robot Collaboration in Wood Assembly,Okonkwo C.; Liang X.; Rasheed U.; Awolusi I.; Cai J.; Wibranek B.,"Recent advances in robotics and artificial intelligence have influenced the broader adoption of human-robot collaboration (HRC) in industries such as manufacturing and healthcare, but the same cannot be said about construction due to the dynamic nature of the work environment. To facilitate informed decision-making in HRC adoption, there is a need to evaluate the potential benefits of incorporating robots in construction activities. This study evaluates the impact of HRC on construction workers' workload. Experiments involving human-robot collaborative wood assembly tasks were conducted, and workload levels of humans in different scenarios were evaluated using physiological data collected with a wearable sensing device. Thereafter, a survey was administered to participants to assess their mental workload. Findings show that HRC posed less workload on workers compared to human-human collaboration, which demonstrates the potential benefits of HRC in the aspect of workload or fatigue reduction among construction workers, and thus could help enhance productivity. © ASCE 2023.All rights reserved.",,"Computing in Civil Engineering 2023: Resilience, Safety, and Sustainability - Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2023",2024,,10.1061/9780784485248.039,SCO
19,"Multimodal Assessment of Cognitive Workload Using Neural, Subjective and Behavioural Measures in Smart Factory Settings",Zakeri Z.; Arif A.; Omurtag A.; Breedon P.; Khalid A.,"Collaborative robots (cobots) have largely replaced conventional industrial robots in today's workplaces, particularly in manufacturing setups, due to their improved performance and intelligent design. In the framework of Industry 5.0, humans are working alongside cobots to accomplish the required level of automation. However, human-robot interaction has brought up concerns regarding human factors (HF) and ergonomics. A human worker may experience cognitive stress as a result of cobots' irresponsive nature in unpredictably occurring situations, which adversely affects productivity. Therefore, there is a necessity to measure stress to enhance a human worker's performance in a human-robot collaborative environment. In this study, factory workers' mental workload was assessed using physiological, behavioural, and subjective measures. Electroencephalography (EEG) and functional near-infrared spectroscopy (fNIRS) signals were collected to acquire brain signals and track hemodynamic activity, respectively. The effect of task complexity, cobot movement speed, and cobot payload capacity on the mental stress of a human worker were observed for a task designed in the context of a smart factory. Task complexity and cobot speed proved to be more impactful. As physiological measures are unbiased and more authentic means to estimate stress, eventually they may replace the other conventional measures if they prove to correlate with the results of traditional ones. Here, regression and artificial neural networks (ANN) were utilised to determine the correlation between physiological data and subjective and behavioural measures. Regression performed better for most of the targets and the best correlation (rsq-adj = 0.654146) was achieved for predicting missed beeps, a behavioural measure, using a combination of multiple EEG and fNIRS predictors. The k-nearest neighbours (KNN) algorithm was used to evaluate the accuracy of correlation between traditional measures and physiological variables, with the highest accuracy of 77.8% achieved for missed beeps as the target. Results show that physiological measures can be more insightful and have the tendency to replace other biased parameters.",23,"Sensors (Basel, Switzerland)",2023,14248220,10.3390/s23218926,SCO
20,Mixed-model sequencing versus car sequencing: comparison of feasible solution spaces,Louis A.; Alpan G.; Penz B.; Benichou A.,"In the automotive industry, a great challenge of production scheduling is to sequence cars on assembly lines. Among a wide variety of scheduling approaches, academics and manufacturers pay close attention to two specific models: Mixed-Model Sequencing (MMS) and Car Sequencing (CS). Whereas MMS explicitly considers the assembly line balance, CS operates with sequencing rules to find the best car sequence fulfilling the assembly plant requirements, like minimising work overload for assembly workers. Meanwhile, automakers including Renault Group are increasingly willing to consider other requirements, like end-to-end supply chain matters, in production planning and scheduling. In this context, this study compares MMS- and CS-feasible solution spaces to determine which workload-oriented sequencing model would be the most appropriate to later integrate new optimisation. We introduce two exact methods based on Dynamic Programming to assess the gap between both models. Numerical experiments are carried out on real-life manufacturing features from a Renault Group assembly plant. They show that MMS generates more feasible sequences than CS regardless of the sequencing rule calculation method. Only the sequencing rules used by real-life production schedulers result in a higher number of distinct feasible sequences for CS, highlighting that the plant might select a sequence with work overload situations. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",61,International Journal of Production Research,2023,00207543,10.1080/00207543.2022.2082896,SCO
21,Identify eight aspects of ergonomics to determine the improvement of human-machine interaction work (case studies in manufacturing industry),Susihono W.; Anggi Saputri T.,"Manufacturing Industry is one of the industrial activities in Indonesia, manufacturing industry is an industry with main activities is to change raw materials, components, or other parts into goods which is according to company specifications standards. In the production floor, activity in the manufacturing industry, the workers have different job specifications with each other. Some works consist of human-machine interaction is found by the activity between workers and lathe machine, welding maching, milling machine, frais machine, and others. The manufacturing industry will increase its ability to serve a variety of better quality products caused by the desire or encouragement of the customers. In general, according to the increase of corporate targets, its also need improvement from the aspect of work performance. To obtain a description of the proposed improvement based on human performance, it is necessary to identify the eight aspects of ergonomics include the consumption of nutritionalfor workers (energy), muscle power, body posture, environment, time conditions, social conditions, information conditions, and human machine interaction. This research use cross sectional method approach that is research done at one time, no follw up, to find the correlation between independent variable (risk factor) with dependent variable (effect). The conclusion of this research is needed nutrition intake or nutrition to recover the workers, it is necessary to design facilities such as manufacturing aids to reduce the use of excess muscle or appropriate technology (TTG). After the application of TTG (Appropriate Technology) to reduce the excessive use of muscle to the workers, the company should provide the nutritional intake accordance with workload of employees in the manufacturing industry. © The Authors, published by EDP Sciences, 2018.",218,MATEC Web of Conferences,2018,2261236X,10.1051/matecconf/201821804018,SCO
22,Considering physical workload and workforce diversity in a Collaborative Assembly Line Balancing (C-ALB) optimization model,Keshvarparast A.; Battaia O.; Pirayesh A.; Battini D.,"In comparison to the traditional usage of robots, Cobotization (Human-Robot collaboration) can be considered as an effective way to increase the productivity of assembly lines while ensuring job security and flexibility. However, successful implementation of human-robot collaboration scenarios requires adapted decision support tools. Workforce diversity can be mentioned as one of the factors that should be included to study its impact on both the performance of the production system and on ergonomics. Accordingly, in this research, a new bi-objective optimization model for the collaborative assembly line with Cobots is proposed to simultaneously minimize the cycle time and the physical workload of human operators. The workforce diversity of human operators is modeled through experience level and physical ability. To analyze the benefits of the developed model, a comparison between the different solutions from the Pareto front is conducted. The results show that the utilization of Cobots can reduce both cycle time and physical workload in the assembly line. © 2022 The Authors. This is an open access article under the CC BY-NC-ND license (https://creativecommons.org/licenses/by-nc-nd/4.0/)",55,IFAC-PapersOnLine,2022,24058963,10.1016/j.ifacol.2022.09.383,SCO
23,Bee algorithms for parallel two-sided assembly line balancing problem with walking times,Tapkan P.; Özbakir L.; Baykasoʇlu A.,"Production lines, designed in a serial manner, have attracted the attention of researchers for many years. Line efficiency, throughput time and workload balancing are the main concerns regarding assembly lines, due to the high volume production. Recently, specific assembly line configurations, such as two-sided and parallel lines, have been addressed by researchers within the operational levels of production. Parallel two-sided assembly lines, rather a new research area, allocate more flexible workers and reduce throughput time by incorporating the advantages of two-sided and parallel assembly lines. Since parallel two-sided assembly lines are utilized to produce large-scale products, such as automobiles, trucks, and buses in industry; they also require a significant worker movement between parallel lines because of the unavoidable walking distances between lines. In this respect, different from the existing literature, walking distances have been included in parallel two-sided assembly line balancing problem. The main purpose of this paper is to introduce parallel two-sided assembly line balancing problem with walking times and to propose the implementation of Bees Algorithm and Artificial Bee Colony algorithm due to the NP-hardness of the problem. An extensive computational study is also carried out and the comparative results are presented. © 2015 Elsevier B.V.",39,Applied Soft Computing Journal,2016,15684946,10.1016/j.asoc.2015.11.017,SCO
24,Work Sequence Analysis and Computer Simulations of Value Flow and Workers' Relocations: A Case Study,Stadnicka D.; Antonelli D.; Bruno G.,"Several solutions have been proposed for the workload balancing in manual assembly lines with workers' task assignment. Facing the case study of a sheet metal assembly line of transport pallets, the paper addresses the problem of the dynamic task assignment. The walking path minimization is considered in the problem, together with task sequence constraints. A real-time simulation allows to test the solution variations before their implementation. © 2017 The Authors. Published by Elsevier B.V.",62,Procedia CIRP,2017,22128271,10.1016/j.procir.2016.06.037,SCO
25,Overall efficiency improvement of a production line by using Yamazumi chart: A case study,Talapatra S.; Sharif-Al-Mahmud Z.Z.Z.; Kabir I.,"This paper presents a case study aims to redesign a hand bag assembly line to reach maximum line efficiency with an optimum number of workstation for a constant cycle time. Three heuristic assembly line balancing algorithms known as ""Kilbridge and Wester Column"", ""Rank Positional Weight"" and ""Largest Candidate Rule"" are applied to design this single model assembly line. Yamazumi chart is used to the visual representation of workload on each workstation. Best two solution models are then simulated in Arena to check the feasibility. By comparing analytical and simulation report one best solution model is recommended to implement. The evaluation of the proposed solution model shows that the production line efficiency increased from 49 percent to 77 percent, number of manpower reduced from 23 workers to 16 workers and provides more balanced workload on each worker. Therefore, this paper can contribute to meet the same amount of customer demand with a minimized operator cost by higher utilization of worker. © IEOM Society International.",2018,Proceedings of the International Conference on Industrial Engineering and Operations Management,2018,21698767,,SCO
26,Studying the Effects of Back-Support Exoskeletons on Workers' Cognitive Load during Material Handling Tasks,Liu Y.; Gautam Y.; Ojha A.; Shayesteh S.; Jebelli H.,"Exoskeletons, also known as wearable robots, are being studied as a potential solution to reduce the risk of work-related musculoskeletal disorders (WMSDs) in construction. The exoskeletons can help enhance workers' postures and provide lift support, reducing the muscular demands on workers while executing construction tasks. Despite the potential of exoskeletons in reducing the risk of WMSDs, there is a lack of understanding about the potential effects of exoskeletons on workers' psychological states. This lack of knowledge raises concerns that exoskeletons may lead to psychological risks, such as cognitive overload, among workers. To bridge this gap, this study aims to assess the impact of back-support exoskeletons (BSE) on workers' cognitive load during material lifting tasks. To accomplish this, a physiologically based cognitive load assessment framework was developed. This framework used wearable biosensors to capture the physiological signals of workers and applied Autoencoder and Ensemble Learning techniques to train a machine learning classifier based on the signals to estimate cognitive load levels of workers while wearing the exoskeleton. Results showed that using BSE increased workers' cognitive load by 33% compared to not using it during material handling tasks. The findings can aid in the design and implementation of exoskeletons in the construction industry. © 2024 ASCE.",1,"Construction Research Congress 2024, CRC 2024",2024,,10.1061/9780784485262.067,SCO
