,Title,Abstract,Authors,Keywords,DOI,ISSN,Publication Year
13,A multi-skilled worker assignment problem in seru production systems considering the worker heterogeneity,"The flexibility of production systems is becoming more and more important for manufacturers facing various changes. As an effective way to increase the flexibility in a short time with a small investment, multi-skilled workers have received more attention in recent years. In this paper, a multi-skilled worker assignment problem is solved in the context of seru production systems, in which differences in workers' skill sets and proficiency levels are taken into consideration. Worker grouping, cell loading, and task assignment are solved concurrently in the problem. A mathematical model with objectives of improving the inter-seru and inter-worker workload balance is proposed to solve the problem. In order to verify the proposed model, a numerical example is presented and solved by a sum weighted method. Due to the NP-hard nature of the model, a meta-heuristic algorithm based on NSGA-II is developed. The algorithm is tested by several numerical examples and the impact of differences in workers' competency on workload balance is analyzed based on the computational results.","Lian, J; Liu, CG; Li, WJ; Yin, Y",Worker-task assignment; Workload balance; Interpersonal equity; Genetic algorithm; Assembly cells; DYNAMIC CELL-FORMATION; INTENSIVE MANUFACTURING CELLS; OPERATOR ASSIGNMENT; MATHEMATICAL-MODEL; ALLOCATION PROBLEMS; ASSEMBLY-LINE; WORKFORCE; OPTIMIZATION; FLEXIBILITY; PERFORMANCE,10.1016/j.cie.2018.02.035,0360-8352,2018
14,A Multi-disciplinary Assessments Tool for Human-Machine Interaction,"Human-centered design is based on the satisfaction of the user needs mainly related to performances, interaction, usability, accessibility, and visibility issues. However, the quality of the interaction process is hidden and usually difficult to detect. The paper proposes a multi-disciplinary assessment tool for the evaluation of the human-machine interaction, based on the collection of physiological data and anthropometrical performance data. Such a method can be used both within on-field tests and virtual simulations, supporting the spread of digital approaches in industry. The methodology allows objectifying how users interact with machine or interface items, thanks to the collection of the users' performance during task execution, the digitalization of collected data, and the evaluation of users' physical and mental workload. Such a system has been applied to an industrial case study focusing on agricultural machinery driving and control to support the system re-design in terms of interface features, commands' location and grouping, and positioning of additional devices.","Peruzzini, M; Grandi, F; Pellicciari, M; Berselli, G; Andrisano, AO",Human-centered design; Human-machine interaction; Digital factory; Ergonomics; Human factors,10.1007/978-3-030-31154-4_63,2195-4356,2020
15,Towards an Adaptive Assistance System for Monitoring Tasks: Assessing Mental Workload using Eye-Tracking and Performance Measures,"With the introduction of more and more autonomous machines into the work environment, the role of a worker changes from the sole executor of a task to the observer and supervisor of a system that carries out tasks on her behalf. Often, the transparency and predictability of these systems decrease, making it difficult to comprehend underlying processes for the worker. Moreover, monitoring tasks can impose different levels of workload on the human operator leading to an increased risk of making serious errors. The present research aims at developing an adaptive assistance system for these types of tasks that is able to monitor a worker's current level of mental workload and provides support without reducing the worker's autonomy and sense of responsibility. We report results of an experiment using a monitoring task incorporating repeated event sequences to simulate underlying workings of a complex system. Results show that performance in connection with eye-tracking measures are suitable indicators of the level of mental workload and that making the worker aware of underlying structures may reduce workload. Further steps towards an adaptive assistance system for monitoring tasks are discussed.","Buchholz, V; Kopp, S",monitoring task; adaptive assistance system; eyetracking; mental workload; industry 4.0; cyber-physical systems,10.1109/ichms49158.2020.9209435,,2020
16,"The effects of projected versus display instructions on productivity, quality and workload in a simulated assembly task.","In this paper, we describe an experimental study that investigated the effects of electronic work instructions and AR based instructions (projected work instructions) on productivity, product quality and human operator workload. In a simulated assembly task, projected instructions on the work spot and operator guidance picking the correct component lead to significantly higher productivity and quality rates compared to instructions presented on a screen. Remarkably, at these higher levels of performance, the work load on the operator was not increased, but instead significantly decreased.","Bosch, T; Könemann, R; de Cock, H; van Rhijn, G",Manufacturing; Worker Guidance; Assistive Technology; Human factors,10.1145/3056540.3076189,,2017
17,Balancing high operator's workload through a new job rotation approach: Application to an automotive assembly line,"Reducing musculoskeletal disorder (MSD) risk factors and work monotony are the main reasons that persuade a manufacturing industry to apply job rotation in the workforce planning. This research aims to smooth the daily workload by designing an optimal sequence of job rotation using a mathematical model. The study consists of two main steps. The first is an ergonomic analysis of the workstations to evaluate the physical workload of different jobs. An in-house risk assessment method was used to identify physical workloads of each job. In the second step, a mathematical model was developed to schedule job rotation and optimize/balance the cumulative workload. Mixed integer programming is proposed to implement a platform for the ergonomic job rotation. The objective of the job rotation programming in this research was to determine the optimal sequence of jobs for each worker such that the global daily workload of the workers would be balanced. The proposed job rotation strategy reduced the dispersion and the deviation of the daily cumulative workload among the workers considering that the rotation only occurred inside the specific groups and not between the groups.","Moussavi, SE; Zare, M; Mahdjoub, M; Grunder, O",Job rotation scheduling; Workload balancing; Ergonomic risk assessment; Mixed integer programming; MUSCULOSKELETAL DISORDERS; EPIDEMIOLOGIC SURVEILLANCE; RISK-FACTORS; SCHEDULES; MODEL; TIME; DESIGN,10.1016/j.ergon.2019.03.003,0169-8141,2019
18,Software framework concept with visual programming and digital twin for intuitive process creation with multiple robotic systems,"With the progressive digitalization in industrial manufacturing, the usage of complex robotic systems in both intralogistics and production is expected to increase. This proposes a challenge for planners and shop floor workers, as programming and interacting with these various systems leads to a high cognitive load. Especially the broad range of different manufacturer specific software leads to a number of problems, e.g. the program -synchronization between different systems and the often necessary workshops for workers. These problems can lead to inefficient programming and planning operations, bad worker satisfaction and human errors. In this paper, we present a modular, system agnostic and human centered software framework that unifies the pro-gramming of different systems, to enable centralized and intuitive system programming for non-expert operators. Our software framework utilizes visual programming concepts together with an integrated digital twin of the factory and a novel graph-based programming interface. We explain our concept in detail and describe our validation through integration into a realistic industrial setup with three different systems. In addition, we provide an evaluation of our concept's usability with an experimental user study and discuss the results of the study and the software implementation. Our study results show that even non-technical users are able to use our software after a brief introduction to create complex processes that involve multiple machines working in par-allel. All users reported high usability and expert users reported that the visual process editor has enough features to create processes for industrial applications. Finally, we conclude this paper by providing an outlook on future work and use-cases of our software.","Niermann, D; Doernbach, T; Petzoldt, C; Isken, M; Freitag, M",Smart Manufacturing; Programming; Industry 4; 0; Operator 4; Human Robot Interaction; Process Planning; User Centric Design; Human-machine interaction; Software architecture; Visual programming; Digital twin; FUTURE,10.1016/j.rcim.2023.102536,0736-5845,2023
19,A population-based algorithm for the bi-objective assembly line worker assignment and balancing problem,"A multi-objective evolutionary algorithm (MOEA) is presented for the solution of the bi-criteria assembly line worker assignment and balancing problem (ALWABP). This problem consists of determining the best assignment of the assembly tasks to workers as well as the workers to workstations in accordance with some desired objectives. Task times differ depending on worker skills. Two optimization criteria are considered to be minimized, the cycle time and the smoothness index of the workload of the line. The efficiency of the proposed MOEA is evaluated over a set of benchmarks test problems taken from the open literature. A suitable performance analysis is deployed concerning the quality of the Pareto solutions. The results demonstrate a very satisfactory performance in terms of solution quality. (C) 2015 Elsevier Ltd. All rights reserved.","Zacharia, PT; Nearchou, AC",Assembly line worker assignment and balancing; Genetic algorithms; Multi-objective optimization; Smoothness index; Pareto solutions; MULTIOBJECTIVE EVOLUTIONARY ALGORITHMS; BOUND ALGORITHM; HEURISTICS; CENTERS,10.1016/j.engappai.2015.11.007,0952-1976,2016
20,CLAM - A Method for Cognitive Load Assessment in Manufacturing,"The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents a tool for assessing cognitive load in manufacturing, primarily assembly. The paper presents the method and an accompanying tool as well as some insights derived from this method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice.","Thorvald, P; Lindblom, J; Andreasson, R",cognitive load; manufacturing; assembly; method development; CLAM method; INSTRUCTIONAL-DESIGN,10.3233/978-1-61499-792-4-114,2352-7528,2017
21,SIMULATING THE EFFECT OF WORKERS' MOOD ON THE PRODUCTIVITY OF ASSEMBLY LINES,"Production lines have various components, from workers to loads and machines, each of which can influence the productivity of the entire system either directly or indirectly. One of the most vulnerable parts of an assembly line is the human element. Studies have been conducted on the methods to improve assembly line productivity, both from a worker's ergonomic perspective and from a system simulation perspective, but neither approach has considered the worker's mood. This study uses systems simulation capabilities to address some of the major psychological difficulties that may affect worker efficiency beyond the ergonomic conditions, such as emotional and cognitive factors. This study aims to present feasible solutions for increasing the productivity of an assembly line in a backpack company in Montana, with regard to an employee's mood, and cognitive and physical states.","Pakdamanian, E; Shiyamsunthar, N; Claudio, D",EMOTIONS; EXPERIENCE; WORKPLACE; WORKLOAD; STATE; MODEL,,0891-7736,2016
22,Design of multi-modal feedback channel of human-robot cognitive interface for teleoperation in manufacturing,"Teleoperation, which is a specific mode of human-robot collaboration enabling a human operator to provide instructions and monitor the actions of the robot remotely, has proved beneficial for application to hazardous and unstructured manufacturing environments. Despite the design of a command channel from human operators to robots, most existing studies on teleoperation fail to focus on the design of the feedback channel from the robot to the human operator, which plays a crucial role in reducing the cognitive load, particularly in precise and concentrated manufacturing tasks. This paper focuses on designing a feedback channel for the cognitive interface between a human operator and a robot considering human cognition. Current studies on human-robot cognitive interfaces in robot teleoperation are extensively surveyed. Further, the modalities of human cognition that foster understanding and transparency during teleoperation are identified. In addition, the human-robot cognitive interface, which utilizes the proposed multi-modal feedback channel, is developed on a teleoperated robotic grasping system as a case study. Finally, a series of experiments based on different modal feedback channels are conducted to demonstrate the effectiveness of enhancing the performance of the teleoperated grasping of fragile products and reducing the cognitive load via the objective aspects of experimental results and the subjective aspects of operator feedback.","Zheng, C; Wang, KN; Gao, SQ; Yu, Y; Wang, ZX; Tang, YL",Robot teleoperation; Human-robot collaboration; Multi-modal feedback channel; Human-robot cognitive interface; Cognitive load,10.1007/s10845-024-02451-x,0956-5515,2024
23,A Heuristic-Mixed Genetic Algorithm for Type II Assembly Line Balancing with Multiple Workers in Workstations,"A type II line balancing problem with multiple workers in workstations (mALBP-II) is considered given a total number of workers, group workers, and tasks into workstations so as to minimize cycle time. Different from the manufacturing environment where the traditional assembly line balancing problem (ALBP) rises, manual or semimanual manufacturing enjoys much higher flexibility allowing multiple workers to perform the same set of tasks on workpieces in the same workstation in parallel. The freedom of specifying the number of workers in workstations makes the classic NP-hard ALBP even harder to solve. A heuristic-mixed genetic algorithm (hGA) is therefore proposed to solve the problem. The algorithm minimizes cycle time as its first objective and balances workload among workstations as its second objective. A maximum-utilization heuristic and a bisection search are integrated into the decoding process of hGA so that the optimization of task assignment and worker allocation is accomplished simultaneously. Numerical results and a real-life application demonstrate the efficiency and effectiveness of hGA.","Qian, XW",,10.1155/2022/9954518,1024-123X,2022
24,A Framework to Navigate the Privacy Trade-offs for Human-Centred Manufacturing,"New technological advances can offer personalised and timely services for industry workers. Exoskeletons, HoloLens, Process Mining and Social Knowledge Networks are some of these services offered to workers by the EU HuMan project. These services could alleviate a worker's physical stress, their cognitive load or provide help based on the knowledge and experiences of their peers. The successful application of several such services depends on the availability of data about a worker's state, including their performance. This paper focusses on the design of cognitive systems that provide personalised services while respecting a worker's privacy and the needs of an organisation. We present a framework for supporting privacy by design and the risks, threats and needs of users, organisations and developers.","Petersen, SA; Mannhardt, F; Oliveira, M; Torvatn, H",Privacy; Trust; Manufacturing; Real-time support; Human centred; TAXONOMY; TRUST,10.1007/978-3-319-99127-6_8,1868-4238,2018
25,Flexible Worker Allocation in Aircraft Final Assembly Line Using Multiobjective Evolutionary Algorithms,"In a paced aircraft final assembly line, some disturbances can be collected timely on the basis of the cyber-physical production system. In order to reduce the execution deviation, some workers need to switch among stations after a fixed period. Thus, a worker allocation problem with the multistage workstation is introduced first. Then, an integer programming formulation is presented to formulate the problem with the objective of shortest workstation cycle and the workload balance of both stations and workers. Moreover, a modified nondominated sorting genetic algorithm (NSGA-IV) is proposed to solve it, which tradeoff the convergence and the population diversity in the decision space. Finally, the NSGA-IV algorithm compares with five multiobjective evolutionary algorithms in a real-world case. Compared with manual allocation, the takt time of an aircraft final assembly line is reduced by 20.86% by using the NSGA-IV algorithm.","Fang, PC; Yang, JJ; Liao, QM; Zhong, RY; Jiang, YC",Task analysis; Aircraft; Resource management; Workstations; Heuristic algorithms; Sorting; Approximation algorithms; Aircraft final assembly line; cyber-physical production system (CPPS); multiobjective evolutionary algorithm (MOEA); multistage workstation; worker allocation; PHYSICAL PRODUCTION SYSTEMS; MODEL,10.1109/TII.2021.3051896,1551-3203,2021
26,Distracted worker: Using pupil size and blink rate to detect cognitive load during manufacturing tasks,"This study sets out to extend the use of blink rate and pupil size to the assessment of cognitive load of completing common automotive manufacturing tasks. Nonoptimal cognitive load is detrimental to safety. Existing occupa-tional ergonomics approaches come short of measuring dynamic changes in cognitive load during complex assembling tasks. Cognitive demand was manipulated by having participants complete two versions of the n-back task (easy, hard). Two durations of the physical task were also considered (short, long). Pupil size and blink rate increased under greater cognitive task demand. High cognitive load also resulted in longer task completion times, and higher ratings of mental and temporal demand, and effort. This exploratory study offers relevant insights on the use of ocular metrics for cognitive load assessment in occupational ergonomics. While the existing eye -tracking technology may yet limit their adoption in the field, they offer advantages over the more popular expert-based and self-reported techniques in measuring changes in cognitive load during dynamic tasks.","Biondi, FN; Saberi, B; Graf, F; Cort, J; Pillai, P; Balasingam, B",Cognitive load; Blink rate; Pupil size; Manufacturing; HUMAN-MACHINE INTERFACE,10.1016/j.apergo.2022.103867,0003-6870,2023
