,Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Keywords
16,C,"Bosch, T; Könemann, R; de Cock, H; van Rhijn, G",,,Assoc Comp Machinery,"Bosch, Tim; Konemann, Reinier; de Cock, Hans; van Rhijn, Gu",,,"The effects of projected versus display instructions on productivity, quality and workload in a simulated assembly task.",10TH ACM INTERNATIONAL CONFERENCE ON PERVASIVE TECHNOLOGIES RELATED TO ASSISTIVE ENVIRONMENTS (PETRA 2017),,,English,Proceedings Paper,10th ACM International Conference on PErvasive Technologies Related to Assistive Environments (PETRA),"JUN 21-23, 2017",GREECE,,,Manufacturing; Worker Guidance; Assistive Technology; Human factors,,"In this paper, we describe an experimental study that investigated the effects of electronic work instructions and AR based instructions (projected work instructions) on productivity, product quality and human operator workload. In a simulated assembly task, projected instructions on the work spot and operator guidance picking the correct component lead to significantly higher productivity and quality rates compared to instructions presented on a screen. Remarkably, at these higher levels of performance, the work load on the operator was not increased, but instead significantly decreased.","[Bosch, Tim; Konemann, Reinier; de Cock, Hans; van Rhijn, Gu] TNO Sustainable Prod & Employabil, Schipholweg 77, NL-2316 ZL Leiden, Netherlands",,"Bosch, T (corresponding author), TNO Sustainable Prod & Employabil, Schipholweg 77, NL-2316 ZL Leiden, Netherlands.",Tim.Bosch@tno.nl; Reinier.Konemann@tno.nl; Hans.decock@tno.nl; Gu.vanRhijn@tno.nl,,,Dutch shared cost project TKI Flexible Manufacturing: Towards a self-learning and reconfigurable assembly cell,Dutch shared cost project TKI Flexible Manufacturing: Towards a self-learning and reconfigurable assembly cell,This research was supported by the Dutch shared cost project TKI Flexible Manufacturing: Towards a self-learning and reconfigurable assembly cell. We would like to thank all manufacturing companies and the participants in this study for their support.,,8,28,28,0,2,ASSOC COMPUTING MACHINERY,NEW YORK,"1515 BROADWAY, NEW YORK, NY 10036-9998 USA",,,978-1-4503-5227-7,,,,2017,,,,,,,412.0,415.0,,10.1145/3056540.3076189,0.0,,,4,"Computer Science, Cybernetics; Computer Science, Theory & Methods",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science,BR3BR,,,,,2024-11-14,WOS:000644308800083,0,Manufacturing; Worker Guidance; Assistive Technology; Human factors
17,J,"Moussavi, SE; Zare, M; Mahdjoub, M; Grunder, O",,,,"Moussavi, S. E.; Zare, M.; Mahdjoub, M.; Grunder, O.",,,Balancing high operator's workload through a new job rotation approach: Application to an automotive assembly line,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,,,English,Article,,,,,,Job rotation scheduling; Workload balancing; Ergonomic risk assessment; Mixed integer programming,MUSCULOSKELETAL DISORDERS; EPIDEMIOLOGIC SURVEILLANCE; RISK-FACTORS; SCHEDULES; MODEL; TIME; DESIGN,"Reducing musculoskeletal disorder (MSD) risk factors and work monotony are the main reasons that persuade a manufacturing industry to apply job rotation in the workforce planning. This research aims to smooth the daily workload by designing an optimal sequence of job rotation using a mathematical model. The study consists of two main steps. The first is an ergonomic analysis of the workstations to evaluate the physical workload of different jobs. An in-house risk assessment method was used to identify physical workloads of each job. In the second step, a mathematical model was developed to schedule job rotation and optimize/balance the cumulative workload. Mixed integer programming is proposed to implement a platform for the ergonomic job rotation. The objective of the job rotation programming in this research was to determine the optimal sequence of jobs for each worker such that the global daily workload of the workers would be balanced. The proposed job rotation strategy reduced the dispersion and the deviation of the daily cumulative workload among the workers considering that the rotation only occurred inside the specific groups and not between the groups.","[Moussavi, S. E.; Grunder, O.] Univ Bourgogne Franche Comte, Nanomed Lab, UTBM, F-90010 Belfort, France; [Zare, M.; Mahdjoub, M.] Univ Bourgogne Franche Comte, ELLIADD Lab, UTBM, F-25200 Montbeliard, France",Universite de Franche-Comte; Universite de Technologie de Belfort-Montbeliard (UTBM); Universite de Franche-Comte; Universite de Technologie de Belfort-Montbeliard (UTBM),"Moussavi, SE (corresponding author), Univ Bourgogne Franche Comte, Nanomed Lab, UTBM, F-90010 Belfort, France.",seyed-esmaeil.moussavi@utbm.fr; m.zare@utbm.fr; morad.mandjoub@utbm.fr,"Moussavi, Esmaeil/Q-9090-2019; zare, mohsen/S-5542-2017","zare, mohsen/0000-0001-5245-124X",,,,,41,25,27,2,39,ELSEVIER SCIENCE BV,AMSTERDAM,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",0169-8141,1872-8219,,INT J IND ERGONOM,Int. J. Ind. Ergon.,MAY,2019,71.0,,,,,,136.0,144.0,,10.1016/j.ergon.2019.03.003,0.0,,,9,"Engineering, Industrial; Ergonomics",Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Engineering,HW9GS,,"Green Published, Bronze",,,2024-11-14,WOS:000466999800018,0,Job rotation scheduling; Workload balancing; Ergonomic risk assessment; Mixed integer programming; MUSCULOSKELETAL DISORDERS; EPIDEMIOLOGIC SURVEILLANCE; RISK-FACTORS; SCHEDULES; MODEL; TIME; DESIGN
18,J,"Niermann, D; Doernbach, T; Petzoldt, C; Isken, M; Freitag, M",,,,"Niermann, Dario; Doernbach, Tobias; Petzoldt, Christoph; Isken, Melvin; Freitag, Michael",,,Software framework concept with visual programming and digital twin for intuitive process creation with multiple robotic systems,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,,,English,Article,,,,,,Smart Manufacturing; Programming; Industry 4; 0; Operator 4; Human Robot Interaction; Process Planning; User Centric Design; Human-machine interaction; Software architecture; Visual programming; Digital twin,FUTURE,"With the progressive digitalization in industrial manufacturing, the usage of complex robotic systems in both intralogistics and production is expected to increase. This proposes a challenge for planners and shop floor workers, as programming and interacting with these various systems leads to a high cognitive load. Especially the broad range of different manufacturer specific software leads to a number of problems, e.g. the program -synchronization between different systems and the often necessary workshops for workers. These problems can lead to inefficient programming and planning operations, bad worker satisfaction and human errors. In this paper, we present a modular, system agnostic and human centered software framework that unifies the pro-gramming of different systems, to enable centralized and intuitive system programming for non-expert operators. Our software framework utilizes visual programming concepts together with an integrated digital twin of the factory and a novel graph-based programming interface. We explain our concept in detail and describe our validation through integration into a realistic industrial setup with three different systems. In addition, we provide an evaluation of our concept's usability with an experimental user study and discuss the results of the study and the software implementation. Our study results show that even non-technical users are able to use our software after a brief introduction to create complex processes that involve multiple machines working in par-allel. All users reported high usability and expert users reported that the visual process editor has enough features to create processes for industrial applications. Finally, we conclude this paper by providing an outlook on future work and use-cases of our software.","[Niermann, Dario; Petzoldt, Christoph; Freitag, Michael] Univ Bremen, BIBA Bremer Inst Prod & Logist GmbH, Hochschulring 20, D-28359 Bremen, Germany; [Doernbach, Tobias; Isken, Melvin] Cellumation GmbH, Kleiner Ort 7, D-28357 Bremen, Germany; [Freitag, Michael] Univ Bremen, Fac Prod Engn, Badgasteiner Str, D-28359 Bremen, Germany",BIBA - Bremer Institut fur Produktion & Logistik; University of Bremen; University of Bremen,"Niermann, D (corresponding author), Univ Bremen, BIBA Bremer Inst Prod & Logist GmbH, Hochschulring 20, D-28359 Bremen, Germany.",nie@biba.uni-bremen.de,,"Niermann, Dario/0000-0002-2098-0945; Doernbach, Tobias/0000-0001-6488-8211; Petzoldt, Christoph/0000-0003-2873-4404",European Regional Development Fund (EFRE); Bremer Aufbau-Bank (BAB) [FuE0637B],European Regional Development Fund (EFRE)(European Union (EU)); Bremer Aufbau-Bank (BAB),"This work is funded by the European Regional Development Fund (EFRE) and the Bremer Aufbau-Bank (BAB) as part of the project KoMILo - Context-dependent, Al-based interface for multimodal human-machine interaction with technical logistics systems (funding code: FuE0637B). We would like to thank Lars Panter, Burak Vur and Aayush Acharya for their valuable contributions to the user interface and framework implementation.",,54,9,9,5,25,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0736-5845,1879-2537,,ROBOT CIM-INT MANUF,Robot. Comput.-Integr. Manuf.,AUG,2023,82.0,,,,,,,,102536,10.1016/j.rcim.2023.102536,0.0,,JAN 2023,15,"Computer Science, Interdisciplinary Applications; Engineering, Manufacturing; Robotics",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Engineering; Robotics,C7JZ4,,,,,2024-11-14,WOS:000963650500001,0,Smart Manufacturing; Programming; Industry 4; 0; Operator 4; Human Robot Interaction; Process Planning; User Centric Design; Human-machine interaction; Software architecture; Visual programming; Digital twin; FUTURE
19,J,"Zacharia, PT; Nearchou, AC",,,,"Zacharia, P. Th.; Nearchou, Andreas C.",,,A population-based algorithm for the bi-objective assembly line worker assignment and balancing problem,ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,,,English,Article,,,,,,Assembly line worker assignment and balancing; Genetic algorithms; Multi-objective optimization; Smoothness index; Pareto solutions,MULTIOBJECTIVE EVOLUTIONARY ALGORITHMS; BOUND ALGORITHM; HEURISTICS; CENTERS,"A multi-objective evolutionary algorithm (MOEA) is presented for the solution of the bi-criteria assembly line worker assignment and balancing problem (ALWABP). This problem consists of determining the best assignment of the assembly tasks to workers as well as the workers to workstations in accordance with some desired objectives. Task times differ depending on worker skills. Two optimization criteria are considered to be minimized, the cycle time and the smoothness index of the workload of the line. The efficiency of the proposed MOEA is evaluated over a set of benchmarks test problems taken from the open literature. A suitable performance analysis is deployed concerning the quality of the Pareto solutions. The results demonstrate a very satisfactory performance in terms of solution quality. (C) 2015 Elsevier Ltd. All rights reserved.","[Zacharia, P. Th.; Nearchou, Andreas C.] Univ Patras, Dept Business Adm, Rion 26500, Greece",University of Patras,"Nearchou, AC (corresponding author), Univ Patras, Dept Business Adm, Rion 26500, Greece.",zacharia@mech.upatras.gr; nearchou@upatras.gr,"Nearchou, Andreas/B-9059-2014; Zacharia, Paraskevi/JCE-5255-2023","ZACHARIA, PARASKEVI/0000-0003-3237-0826",,,,,37,59,61,0,56,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0952-1976,1873-6769,,ENG APPL ARTIF INTEL,Eng. Appl. Artif. Intell.,MAR,2016,49.0,,,,,,1.0,9.0,,10.1016/j.engappai.2015.11.007,0.0,,,9,"Automation & Control Systems; Computer Science, Artificial Intelligence; Engineering, Multidisciplinary; Engineering, Electrical & Electronic",Science Citation Index Expanded (SCI-EXPANDED),Automation & Control Systems; Computer Science; Engineering,DG9AS,,,,,2024-11-14,WOS:000372375800002,0,Assembly line worker assignment and balancing; Genetic algorithms; Multi-objective optimization; Smoothness index; Pareto solutions; MULTIOBJECTIVE EVOLUTIONARY ALGORITHMS; BOUND ALGORITHM; HEURISTICS; CENTERS
20,C,"Thorvald, P; Lindblom, J; Andreasson, R",,"Gao, J; ElSouri, M; Keates, S",,"Thorvald, Peter; Lindblom, Jessica; Andreasson, Rebecca",,,CLAM - A Method for Cognitive Load Assessment in Manufacturing,ADVANCES IN MANUFACTURING TECHNOLOGY XXXI,Advances in Transdisciplinary Engineering,,English,Proceedings Paper,15th International Conference on Manufacturing Research / 32nd National Conference on Manufacturing Research,"SEP 05-07, 2017","Univ Greenwich, London, ENGLAND",,Univ Greenwich,cognitive load; manufacturing; assembly; method development; CLAM method,INSTRUCTIONAL-DESIGN,"The increasing complexity and demands of assembly operations in manufacturing has been shown to lead to increased cognitive load in assembly workers. Previous work has outlined the complexity of an assembly worker's situation both in terms of difficulty and speed of work and there have been a few attempts at creating frameworks and methods for understanding the key aspects of what creates increased cognitive load. This paper presents a tool for assessing cognitive load in manufacturing, primarily assembly. The paper presents the method and an accompanying tool as well as some insights derived from this method development. The intended contribution of the work is to make a difference in reducing the cognitive load of assembly workers on the shop floor, thus focusing the development on applicability and usability of the tool in practice.","[Thorvald, Peter] Univ Skovde, Sch Engn Sci, Box 408, SE-54128 Skovde, Sweden; [Lindblom, Jessica; Andreasson, Rebecca] Univ Skovde, Sch Informat, Skovde, Sweden",University of Skovde; University of Skovde,"Thorvald, P (corresponding author), Univ Skovde, Sch Engn Sci, Box 408, SE-54128 Skovde, Sweden.",peter.thorvald@his.se,"Cort, Rebecca/AAE-8618-2020; Lindblom, Jessica/GWD-0497-2022; Thorvald, Peter/C-3143-2012","Thorvald, Peter/0000-0002-8369-5471",,,,,16,6,7,0,9,IOS PRESS,AMSTERDAM,"NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS",2352-7528,,978-1-61499-792-4; 978-1-61499-791-7,ADV TRANSDISCIPL ENG,,,2017,6.0,,,,,,114.0,119.0,,10.3233/978-1-61499-792-4-114,0.0,,,6,"Engineering, Industrial; Engineering, Manufacturing",Conference Proceedings Citation Index - Science (CPCI-S),Engineering,BK6NP,,,,,2024-11-14,WOS:000440620700019,0,cognitive load; manufacturing; assembly; method development; CLAM method; INSTRUCTIONAL-DESIGN
21,C,"Pakdamanian, E; Shiyamsunthar, N; Claudio, D",,,IEEE,"Pakdamanian, Erfan; Shiyamsunthar, Niroshni; Claudio, David",,,SIMULATING THE EFFECT OF WORKERS' MOOD ON THE PRODUCTIVITY OF ASSEMBLY LINES,2016 WINTER SIMULATION CONFERENCE (WSC),Winter Simulation Conference Proceedings,,English,Proceedings Paper,Winter Simulation Conference (WSC),"DEC 11-14, 2016","Arlington, VA",,,,EMOTIONS; EXPERIENCE; WORKPLACE; WORKLOAD; STATE; MODEL,"Production lines have various components, from workers to loads and machines, each of which can influence the productivity of the entire system either directly or indirectly. One of the most vulnerable parts of an assembly line is the human element. Studies have been conducted on the methods to improve assembly line productivity, both from a worker's ergonomic perspective and from a system simulation perspective, but neither approach has considered the worker's mood. This study uses systems simulation capabilities to address some of the major psychological difficulties that may affect worker efficiency beyond the ergonomic conditions, such as emotional and cognitive factors. This study aims to present feasible solutions for increasing the productivity of an assembly line in a backpack company in Montana, with regard to an employee's mood, and cognitive and physical states.","[Pakdamanian, Erfan; Shiyamsunthar, Niroshni; Claudio, David] Montana State Univ, Dept Mech & Ind Engn, Bozeman, MT 59717 USA",Montana State University System; Montana State University Bozeman,"Pakdamanian, E (corresponding author), Montana State Univ, Dept Mech & Ind Engn, Bozeman, MT 59717 USA.",Erfan.pakdamanian@msu.montana.edu; Niroacademic@outlook.com; David.claudio@ie.montana.edu,"Pakdamanian, Erfan/L-3556-2019","Claudio, David/0000-0001-8068-5932",,,,,41,2,2,0,4,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",0891-7736,,978-1-5090-4486-3,WINT SIMUL C PROC,,,2016,,,,,,,3440.0,3451.0,,,,,,12,"Computer Science, Theory & Methods",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science,BH2RF,,,,,2024-11-14,WOS:000399152503073,0,EMOTIONS; EXPERIENCE; WORKPLACE; WORKLOAD; STATE; MODEL
22,J,"Zheng, C; Wang, KN; Gao, SQ; Yu, Y; Wang, ZX; Tang, YL",,,,"Zheng, Chen; Wang, Kangning; Gao, Shiqi; Yu, Yang; Wang, Zhanxi; Tang, Yunlong",,,Design of multi-modal feedback channel of human-robot cognitive interface for teleoperation in manufacturing,JOURNAL OF INTELLIGENT MANUFACTURING,,,English,Article; Early Access,,,,,,Robot teleoperation; Human-robot collaboration; Multi-modal feedback channel; Human-robot cognitive interface; Cognitive load,,"Teleoperation, which is a specific mode of human-robot collaboration enabling a human operator to provide instructions and monitor the actions of the robot remotely, has proved beneficial for application to hazardous and unstructured manufacturing environments. Despite the design of a command channel from human operators to robots, most existing studies on teleoperation fail to focus on the design of the feedback channel from the robot to the human operator, which plays a crucial role in reducing the cognitive load, particularly in precise and concentrated manufacturing tasks. This paper focuses on designing a feedback channel for the cognitive interface between a human operator and a robot considering human cognition. Current studies on human-robot cognitive interfaces in robot teleoperation are extensively surveyed. Further, the modalities of human cognition that foster understanding and transparency during teleoperation are identified. In addition, the human-robot cognitive interface, which utilizes the proposed multi-modal feedback channel, is developed on a teleoperated robotic grasping system as a case study. Finally, a series of experiments based on different modal feedback channels are conducted to demonstrate the effectiveness of enhancing the performance of the teleoperated grasping of fragile products and reducing the cognitive load via the objective aspects of experimental results and the subjective aspects of operator feedback.","[Zheng, Chen; Wang, Kangning; Gao, Shiqi; Yu, Yang; Wang, Zhanxi] Northwestern Polytech Univ, Sch Mech Engn, 127 West Youyi Rd, Xian 710072, Shaanxi, Peoples R China; [Zheng, Chen] CSSC Huangpu Wenchong Shipbuilding Co Ltd, Guangdong Prov Key Lab Adv Welding Technol Ships, Guangzhou, Peoples R China; [Tang, Yunlong] Monash Univ, Mech & Aerosp Engn Dept, Melbourne 3168, Australia; [Tang, Yunlong] Monash Univ, Mat Sci & Engn Dept, Melbourne, 3168, Australia",Northwestern Polytechnical University; Monash University; Monash University,"Tang, YL (corresponding author), Monash Univ, Mech & Aerosp Engn Dept, Melbourne 3168, Australia.;Tang, YL (corresponding author), Monash Univ, Mat Sci & Engn Dept, Melbourne, 3168, Australia.",yunlong.tang1@monash.edu,,,Natural Science Basic Research Program of Shaanxi; China Postdoctoral Science Foundation [2022M712933]; National Natural Science Foundation of China [51805437]; [2023-JC-YB-299],Natural Science Basic Research Program of Shaanxi; China Postdoctoral Science Foundation(China Postdoctoral Science Foundation); National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC));,"This work was supported by the Natural Science Basic Research Program of Shaanxi (Grant No. 2023-JC-YB-299), China Postdoctoral Science Foundation (Grant No. 2022M712933) and National Natural Science Foundation of China (Grant No. 51805437).",,54,0,0,13,13,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0956-5515,1572-8145,,J INTELL MANUF,J. Intell. Manuf.,2024 JUL 9,2024,,,,,,,,,,10.1007/s10845-024-02451-x,0.0,,JUL 2024,21,"Computer Science, Artificial Intelligence; Engineering, Manufacturing",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Engineering,YK2O7,,hybrid,,,2024-11-14,WOS:001268319600001,0,Robot teleoperation; Human-robot collaboration; Multi-modal feedback channel; Human-robot cognitive interface; Cognitive load
23,J,"Qian, XW",,,,"Qian, Xiongwen",,,A Heuristic-Mixed Genetic Algorithm for Type II Assembly Line Balancing with Multiple Workers in Workstations,MATHEMATICAL PROBLEMS IN ENGINEERING,,,English,Article,,,,,,,,"A type II line balancing problem with multiple workers in workstations (mALBP-II) is considered given a total number of workers, group workers, and tasks into workstations so as to minimize cycle time. Different from the manufacturing environment where the traditional assembly line balancing problem (ALBP) rises, manual or semimanual manufacturing enjoys much higher flexibility allowing multiple workers to perform the same set of tasks on workpieces in the same workstation in parallel. The freedom of specifying the number of workers in workstations makes the classic NP-hard ALBP even harder to solve. A heuristic-mixed genetic algorithm (hGA) is therefore proposed to solve the problem. The algorithm minimizes cycle time as its first objective and balances workload among workstations as its second objective. A maximum-utilization heuristic and a bisection search are integrated into the decoding process of hGA so that the optimization of task assignment and worker allocation is accomplished simultaneously. Numerical results and a real-life application demonstrate the efficiency and effectiveness of hGA.","[Qian, Xiongwen] Shenzhen Technol Univ, Sch Urban Transportat & Logist, Shenzhen, Guangdong, Peoples R China",Shenzhen Technology University,"Qian, XW (corresponding author), Shenzhen Technol Univ, Sch Urban Transportat & Logist, Shenzhen, Guangdong, Peoples R China.",qianxiongwen@sztu.edu.cn,,,National Natural Science Foundation of China [72101162],National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC)),This work is supported by the National Natural Science Foundation of China (Grant no. 72101162).,,20,2,3,3,10,HINDAWI LTD,LONDON,"ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, W1T 5HF, ENGLAND",1024-123X,1563-5147,,MATH PROBL ENG,Math. Probl. Eng.,MAR 27,2022,2022.0,,,,,,,,9954518,10.1155/2022/9954518,0.0,,,8,"Engineering, Multidisciplinary; Mathematics, Interdisciplinary Applications",Science Citation Index Expanded (SCI-EXPANDED),Engineering; Mathematics,1X3SH,,gold,,,2024-11-14,WOS:000807377100012,0,
24,C,"Petersen, SA; Mannhardt, F; Oliveira, M; Torvatn, H",,"CamarinhaMatos, LM; Afsarmanesh, H; Rezgui, Y",,"Petersen, Sobah Abbas; Mannhardt, Felix; Oliveira, Manuel; Torvatn, Hans",,,A Framework to Navigate the Privacy Trade-offs for Human-Centred Manufacturing,COLLABORATIVE NETWORKS OF COGNITIVE SYSTEMS,IFIP Advances in Information and Communication Technology,,English,Proceedings Paper,19th IFIP Working Conference on Virtual Enterprises (PRO-VE 2018),"SEP 17-19, 2018","Cardiff, WALES",,,Privacy; Trust; Manufacturing; Real-time support; Human centred,TAXONOMY; TRUST,"New technological advances can offer personalised and timely services for industry workers. Exoskeletons, HoloLens, Process Mining and Social Knowledge Networks are some of these services offered to workers by the EU HuMan project. These services could alleviate a worker's physical stress, their cognitive load or provide help based on the knowledge and experiences of their peers. The successful application of several such services depends on the availability of data about a worker's state, including their performance. This paper focusses on the design of cognitive systems that provide personalised services while respecting a worker's privacy and the needs of an organisation. We present a framework for supporting privacy by design and the risks, threats and needs of users, organisations and developers.","[Petersen, Sobah Abbas; Mannhardt, Felix; Oliveira, Manuel; Torvatn, Hans] SINTEF Digital, Trondheim, Norway",SINTEF,"Mannhardt, F (corresponding author), SINTEF Digital, Trondheim, Norway.",sobah.petersen@sintef.no; felix.mannhardt@sintef.no; manuel.oliveira@sintef.no; Hans.torvatn@sintef.no,,"Mannhardt, Felix/0000-0003-1733-777X",EU's H2020 research and innovation programme [723737]; H2020 Societal Challenges Programme [723737] Funding Source: H2020 Societal Challenges Programme,EU's H2020 research and innovation programme; H2020 Societal Challenges Programme(Horizon 2020European Union (EU)H2020 Societal Challenges Programme),"This research is funded by the EU's H2020 research and innovation programme, grant agreement no. 723737 (HUMAN). We thank all participants of the trust and privacy workshops conducted within the context of the HuMan project.",,20,8,8,1,8,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,"GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND",1868-4238,1868-422X,978-3-319-99126-9,IFIP ADV INF COMM TE,,,2018,534.0,,,,,,85.0,97.0,,10.1007/978-3-319-99127-6_8,0.0,,,13,"Computer Science, Information Systems; Computer Science, Interdisciplinary Applications",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science,BL2SJ,,,,,2024-11-14,WOS:000449239300008,0,Privacy; Trust; Manufacturing; Real-time support; Human centred; TAXONOMY; TRUST
25,J,"Fang, PC; Yang, JJ; Liao, QM; Zhong, RY; Jiang, YC",,,,"Fang, Pengcheng; Yang, Jianjun; Liao, Qingmiao; Zhong, Ray Y.; Jiang, Yuchen",,,Flexible Worker Allocation in Aircraft Final Assembly Line Using Multiobjective Evolutionary Algorithms,IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,,,English,Article,,,,,,Task analysis; Aircraft; Resource management; Workstations; Heuristic algorithms; Sorting; Approximation algorithms; Aircraft final assembly line; cyber-physical production system (CPPS); multiobjective evolutionary algorithm (MOEA); multistage workstation; worker allocation,PHYSICAL PRODUCTION SYSTEMS; MODEL,"In a paced aircraft final assembly line, some disturbances can be collected timely on the basis of the cyber-physical production system. In order to reduce the execution deviation, some workers need to switch among stations after a fixed period. Thus, a worker allocation problem with the multistage workstation is introduced first. Then, an integer programming formulation is presented to formulate the problem with the objective of shortest workstation cycle and the workload balance of both stations and workers. Moreover, a modified nondominated sorting genetic algorithm (NSGA-IV) is proposed to solve it, which tradeoff the convergence and the population diversity in the decision space. Finally, the NSGA-IV algorithm compares with five multiobjective evolutionary algorithms in a real-world case. Compared with manual allocation, the takt time of an aircraft final assembly line is reduced by 20.86% by using the NSGA-IV algorithm.","[Fang, Pengcheng; Yang, Jianjun] Beihang Univ, Sch Mech Engn & Automat, Beijing 100191, Peoples R China; [Liao, Qingmiao] AVIC Digital Corp Ltd, Beijing 100028, Peoples R China; [Zhong, Ray Y.] Univ Hong Kong, Dept Ind & Mfg Syst Engn, Hong Kong, Peoples R China; [Jiang, Yuchen] Univ Chinese Acad Sci, Sch Cyber Secur, Beijing 100093, Peoples R China; [Jiang, Yuchen] Univ Chinese Acad Sci, Inst Informat Engn, State Key Lab Informat Secur, Beijing 100093, Peoples R China","Beihang University; University of Hong Kong; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS; Chinese Academy of Sciences; University of Chinese Academy of Sciences, CAS","Fang, PC (corresponding author), Beihang Univ, Sch Mech Engn & Automat, Beijing 100191, Peoples R China.",by1507118@buaa.edu.cn; jjyang@buaa.edu.cn; liaoqingmiao@gmail.com; zhongzry@hku.hk; jiangyuchen@iie.ac.cn,"Zhong, Ray/K-6918-2012; Yang, Jianjun/I-2092-2012","Jiang, Yuchen/0000-0001-7632-1300; fang, pengcheng/0000-0003-1596-0306","National High Technology Research and Development Programme (863) of China [2012AA040907, TII-20-4794]",National High Technology Research and Development Programme (863) of China(National High Technology Research and Development Program of China),This work was supported by the National High Technology Research and Development Programme (863) of China under Grant 2012AA040907. Paper no. TII-20-4794.,,27,18,22,11,81,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,"445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA",1551-3203,1941-0050,,IEEE T IND INFORM,IEEE Trans. Ind. Inform.,NOV,2021,17.0,11,,,,,7468.0,7478.0,,10.1109/TII.2021.3051896,0.0,,,11,"Automation & Control Systems; Computer Science, Interdisciplinary Applications; Engineering, Industrial",Science Citation Index Expanded (SCI-EXPANDED),Automation & Control Systems; Computer Science; Engineering,TS3DI,,,,,2024-11-14,WOS:000679533900027,0,Task analysis; Aircraft; Resource management; Workstations; Heuristic algorithms; Sorting; Approximation algorithms; Aircraft final assembly line; cyber-physical production system (CPPS); multiobjective evolutionary algorithm (MOEA); multistage workstation; worker allocation; PHYSICAL PRODUCTION SYSTEMS; MODEL
