,Publication Type,Article Title,Authors,Source Title,Volume,Start Page,End Page,Publication Year,Publication Date,Conference Title,ISSN,DOI,DOI Link,Author Keywords,Abstract,Issue
10,JOUR,Modified Pluralistic Walkthrough for Method Evaluation in Manufacturing,"['Thorvald, Peter', 'Lindblom, Jessica', 'Schmitz, Sebastian']",Procedia Manufacturing,3,5139,5146,2015,2015/01/01/,"6th International Conference on Applied Human Factors and Ergonomics (AHFE 2015) and the Affiliated Conferences, AHFE 2015",2351-9789,https://doi.org/10.1016/j.promfg.2015.07.544,['https://www.sciencedirect.com/science/article/pii/S2351978915005454'],"['CLAM', 'modified pluralistic method', 'cognitive workload', 'cognitive load method evaluation', 'manufacturing', 'assembly.']","This paper presents a mixed evaluation design including quantitative and qualitative data in order to validate the scope, validity, and reliability of a recently developed CLAM method and tool. A central part of the evaluation was the use of a modified pluralistic walkthrough that was created to better suit the industrial domain. The evaluation of CLAM was performed in a demonstration factory focusing on manufacturing of street scooters and electric pedal cars. The modified walkthrough was conducted on the shop floor, during on-going assembly, which stresses the representativeness of a real-world setting of manufacturing. The modified pluralistic walkthrough functioned accurately as an evaluation method of CLAM and the exhaustive comments and data from the user representatives were very beneficial. The quantitative results show convicting evidence of CLAM's utility for assessing cognitive load while the qualitative results indicate that some modifications have to be made in order to enhance the actual tool in order to avoid misinterpretations resulting in misleading outcomes.",
11,JOUR,Parameters of effects in decision making of automotive assembly line using the Analytical Hierarchy Process method,"['Nelfiyanti,', 'Mohamed, Nik', 'Rashid, MFFA', 'Ramadhan, Anwar Ilmar']",CIRP Journal of Manufacturing Science and Technology,37,370,377,2022,2022/05/01/,,1755-5817,https://doi.org/10.1016/j.cirpj.2022.02.018,['https://www.sciencedirect.com/science/article/pii/S1755581722000438'],"['Analytical Hierarchical Process (AHP)', 'Automotive', 'Decision Making', 'Musculoskeletal Disorder (MSD)']","The automotive industry contributes high income to most of the countries. The assembly line is an essential part of the automotive industry because it combines all the components into a complete body unit. Assembly lines often experience delays in meeting production targets, requiring overtime to complete. Musculoskeletal Disorder (MSD) complaints among assembly workers predominantly lie in trimming, chassis, and finishing processes. Improvements are needed to reduce complaints according to the priority process. This study aims to prioritize the process on the assembly line with the parameters of work position, workload, work layout and equipment. This study implements the Analytical Hierarchy Process (AHP) method to achieve the objectives of the decision-making process. Preliminary weighting priorities for chassis, finishing and trimming are 0.6153, 0.2313 and 0.1533; respectively highest weight is in the chassis process and will be a priority for this study in optimizing solutions.",
12,JOUR,Development and evaluation of design guidelines for cognitive ergonomics in human-robot collaborative assembly systems,"['Gualtieri, Luca', 'Fraboni, Federico', 'De Marchi, Matteo', 'Rauch, Erwin']",Applied Ergonomics,104,103807,,2022,2022/10/01/,,0003-6870,https://doi.org/10.1016/j.apergo.2022.103807,['https://www.sciencedirect.com/science/article/pii/S0003687022001302'],"['Collaborative robotics', 'Collaborative assembly systems', 'Cognitive ergonomics', 'Human factors', 'Industry 4.0']","Industry 4.0 is the concept used to summarize the ongoing fourth industrial revolution, which is profoundly changing the manufacturing systems and business models all over the world. Collaborative robotics is one of the most promising technologies of Industry 4.0. Human-robot interaction and human-robot collaboration will be crucial for enhancing the operator's work conditions and production performance. In this regard, this enabling technology opens new possibilities but also new challenges. There is no doubt that safety is of primary importance when humans and robots interact in industrial settings. Nevertheless, human factors and cognitive ergonomics (i.e. cognitive workload, usability, trust, acceptance, stress, frustration, perceived enjoyment) are crucial, even if they are often underestimated or ignored. Therefore, this work refers to cognitive ergonomics in the design of human-robot collaborative assembly systems. A set of design guidelines has been developed according to the analysis of the scientific literature. Their effectiveness has been evaluated through multiple experiments based on a laboratory case study where different participants interacted with a low-payload collaborative robotic system for the joint assembly of a manufacturing product. The main assumption to be tested is that it is possible to improve the operator's experience and efficiency by manipulating the system features and interaction patterns according to the proposed design guidelines. Results confirmed that participants improved their cognitive response to human-robot interaction as well as the assembly performance with the enhancement of workstation features and interaction conditions by implementing an increasing number of guidelines.",
13,JOUR,Human-Centered Task Allocation: A Simulation-Based Case Study,"['Dehnavi, Zahra Safari', 'Schlund, Sebastian', 'Abonyi, János', 'Ruppert, Tamás']",IFAC-PapersOnLine,58,67,72,2024,2024/01/01/,18th IFAC Symposium on Information Control Problems in Manufacturing INCOM 2024,2405-8963,https://doi.org/10.1016/j.ifacol.2024.09.093,['https://www.sciencedirect.com/science/article/pii/S2405896324014940'],"['Task allocation', 'human-centered', 'cognitive load', 'physical demand', 'ergonomics', 'DES', 'simulation', 'optimisation']","This study investigates human-centered task allocation, focusing on factors such as cognitive load, physical demand, and ergonomics. A discrete event simulator was developed to validate the task allocation results of the Q-learning optimization. The simulation evaluates the process and resulting task allocation plan based on predefined human-centered objectives. Through a case study on remanufacturing, we demonstrate how to optimize the coordination of a robotic arm and two human operators to reduce overall workforce requirements. The simulation allows for the analysis of operators’ cognitive and physical workloads over time, enabling exploration of not only typical time balances but also cognitive and physical burdens.",19
14,JOUR,Balancing high operator's workload through a new job rotation approach: Application to an automotive assembly line,"['Moussavi, S.E.', 'Zare, M.', 'Mahdjoub, M.', 'Grunder, O.']",International Journal of Industrial Ergonomics,71,136,144,2019,2019/05/01/,,0169-8141,https://doi.org/10.1016/j.ergon.2019.03.003,['https://www.sciencedirect.com/science/article/pii/S0169814118301264'],"['Job rotation scheduling', 'Workload balancing', 'Ergonomic risk assessment', 'Mixed integer programming']","Reducing musculoskeletal disorder (MSD) risk factors and work monotony are the main reasons that persuade a manufacturing industry to apply job rotation in the workforce planning. This research aims to smooth the daily workload by designing an optimal sequence of job rotation using a mathematical model. The study consists of two main steps. The first is an ergonomic analysis of the workstations to evaluate the physical workload of different jobs. An in-house risk assessment method was used to identify physical workloads of each job. In the second step, a mathematical model was developed to schedule job rotation and optimize/balance the cumulative workload. Mixed integer programming is proposed to implement a platform for the ergonomic job rotation. The objective of the job rotation programming in this research was to determine the optimal sequence of jobs for each worker such that the global daily workload of the workers would be balanced. The proposed job rotation strategy reduced the dispersion and the deviation of the daily cumulative workload among the workers considering that the rotation only occurred inside the specific groups and not between the groups.",
15,JOUR,Exact and heuristic methods for a workload allocation problem with chain precedence constraints,"['Pereira, Jordi', 'Ritt, Marcus']",European Journal of Operational Research,309,387,398,2023,2023/08/16/,,0377-2217,https://doi.org/10.1016/j.ejor.2022.12.035,['https://www.sciencedirect.com/science/article/pii/S0377221722010037'],"['Manufacturing', 'Assembly line balancing', 'Worker allocation', 'Dynamic programming', 'Branch and bound']","Industrial manufacturing is often organized in assembly lines where a product is assembled on a sequence of stations, each of which executes some of the assembly tasks. A line is balanced if the maximum total execution time of any station is minimal. Commonly, the task execution order is constrained by precedences, and task execution times are independent of the station performing the task. Here, we consider a recent variation, called the “(Calzedonia) Workload Allocation Problem” (WAP), where the precedences form a chain, and the execution time of a task depends on the worker executing it. This problem was recently proposed by Battarra et al. (2020) and it is a special case of the Assembly Line Worker Assignment and Balancing Problem Miralles et al. (2007) where precedence relations are arbitrary. In this paper we consider the computational complexity of the problem and prove its NP-hardness. To solve the problem, we provide different lower bounds and exact and heuristic procedures. The performance of the proposed methods is tested on previously proposed instances and on new, larger instances with the same characteristics. The results show that the proposed methods can solve instances with up to about 4000 tasks and 29 workers, doubling the size of the instances that previously could be solved to optimality.",1
16,JOUR,A Problem Specific Heuristic for Smoothing the Workload in Simple Assembly Lines,"['Hazır, Öncü', 'Agi, Maher', 'Guérin, Jérémy']",IFAC-PapersOnLine,52,2562,2565,2019,2019/01/01/,"9th IFAC Conference on Manufacturing Modelling, Management and Control MIM 2019",2405-8963,https://doi.org/10.1016/j.ifacol.2019.11.592,['https://www.sciencedirect.com/science/article/pii/S2405896319315794'],"['Assembly line balancing', 'Combinatorial optimization', 'Heuristics', 'Priority rules']","Workload smoothing techniques have been used to establish a balance among stations in assembly lines by assigning the tasks evenly to stations. Smoothing facilitates planning the workforce and optimizing the resource allocation problems. Considering these advantages, we address smoothing simple assembly line in this research and develop a problem specific heuristic algorithm to solve the large instances effectively. We test the effectiveness of the algorithm with experimental study.",13
17,JOUR,An effective discrete artificial bee colony algorithm with idle time reduction techniques for two-sided assembly line balancing problem of type-II,"['Tang, Qiuhua', 'Li, Zixiang', 'Zhang, Liping']",Computers & Industrial Engineering,97,146,156,2016,2016/07/01/,,0360-8352,https://doi.org/10.1016/j.cie.2016.05.004,['https://www.sciencedirect.com/science/article/pii/S0360835216301449'],"['Assembly line balancing', 'Two-sided assembly line', 'Artificial bee algorithm', 'Idle time reduction']","Two-sided assembly line is broadly utilized to manufacture high-volume large-size products. Reconfiguration of this line is a major practice in industry, which is known as two-sided assembly line balancing problem of type-II. To solve this NP-hard problem, this paper proposes an improved discrete artificial bee colony (DABC) algorithm via blending idle time reduction techniques. The cycle time compression mechanism speeds up the search process by reducing total idle times to a larger extent on earlier iterations. Task assignment rule is specifically designed to eliminate sequence-dependent idle times. The overload and underload are taken into account as a secondary objective to reduce the remaining idle times. To achieve a fine balance between the diversification and intensification, the employed bees in the DABC algorithm generate new food sources by combining the features of two solutions, and the onlookers expand the search space with the variable neighborhood search. Nine recent meta-heuristics including a simulated annealing algorithm and an ant colony optimization algorithm are also extended for the TALBP-II to test the performance of the proposed DABC algorithm. Experimental results demonstrate that the proposed method outperforms the nine compared algorithms and find 22 brand-new results for large-size problems.",
18,JOUR,Using virtual reality-based neurocognitive testing and eye tracking to study naturalistic cognitive-motor performance,"['Wilf, Meytal', 'Korakin, Alona', 'Bahat, Yotam', 'Koren, Or', 'Galor, Noam', 'Dagan, Or', 'Wright, W. Geoffrey', 'Friedman, Jason', 'Plotnik, Meir']",Neuropsychologia,194,108744,,2024,2024/02/15/,,0028-3932,https://doi.org/10.1016/j.neuropsychologia.2023.108744,['https://www.sciencedirect.com/science/article/pii/S0028393223002786'],"['Color trails test', 'Virtual reality', 'Pupil', 'Hand kinematics', 'Aging', 'Fall risk']","Natural human behavior arises from continuous interactions between the cognitive and motor domains. However, assessments of cognitive abilities are typically conducted using pen and paper tests, i.e., in isolation from “real life” cognitive-motor behavior and in artificial contexts. In the current study, we aimed to assess cognitive-motor task performance in a more naturalistic setting while recording multiple motor and eye tracking signals. Specifically, we aimed to (i) delineate the contribution of cognitive and motor components to overall task performance and (ii) probe for a link between cognitive-motor performance and pupil size. To that end, we used a virtual reality (VR) adaptation of a well-established neurocognitive test for executive functions, the ‘Color Trails Test’ (CTT). The VR-CTT involves performing 3D reaching movements to follow a trail of numbered targets. To tease apart the cognitive and motor components of task performance, we included two additional conditions: a condition where participants only used their eyes to perform the CTT task (using an eye tracking device), incurring reduced motor demands, and a condition where participants manually tracked visually-cued targets without numbers on them, incurring reduced cognitive demands. Our results from a group of 30 older adults (>65) showed that reducing cognitive demands shortened completion times more extensively than reducing motor demands. Conditions with higher cognitive demands had longer target search time, as well as decreased movement execution velocity and head-hand coordination. We found larger pupil sizes in the more cognitively demanding conditions, and an inverse correlation between pupil size and completion times across individuals in all task conditions. Lastly, we found a possible link between VR-CTT performance measures and clinical signatures of participants (fallers versus non-fallers). In summary, performance and pupil parameters were mainly dependent on task cognitive load, while maintaining systematic interindividual differences. We suggest that this paradigm opens the possibility for more detailed profiling of individual cognitive-motor performance capabilities in older adults and other at-risk populations.",
19,JOUR,A robust operators’ cognitive workload recognition method based on denoising masked autoencoder,"['Yu, Xiaoqing', 'Chen, Chun-Hsien']",Knowledge-Based Systems,301,112370,,2024,2024/10/09/,,0950-7051,https://doi.org/10.1016/j.knosys.2024.112370,['https://www.sciencedirect.com/science/article/pii/S0950705124010049'],"['Cognitive workload', 'EEG', 'Masked autoencoder', 'Robustness', 'Self-supervised learning']","Identifying the cognitive workload of operators is crucial in complex human-automation collaboration systems. An excessive workload can lead to fatigue or accidents, while an insufficient workload may diminish situational awareness and efficiency. However, existing supervised learning-based methods for workload recognition are ineffective when dealing with imperfect input data, such as missing or noisy data, which is not practical in real applications. This study introduces a robust Electroencephalogram (EEG)-enabled cognitive workload recognition model using self-supervised learning. The proposed method, DMAEEG, combines the training strategies of denoising autoencoders and masked autoencoders, demonstrating strong robustness against noisy and incomplete data. More specifically, we adopt the temporal convolutional network and multi-head self-attention mechanisms as the backbone, effectively capturing both the temporal and spatial features from EEG. Extensive experiments are conducted to verify the effectiveness and robustness of the proposed method on an open dataset and a self-collected dataset. The results indicate that DMAEEG performs superior to other state-of-the-art across various evaluation metrics. Moreover, DMAEEG maintains high accuracy in workload inference even when EEG signals are corrupted with a high masking ratio or strong noises. This signifies its superiority in capturing robust intrinsic patterns from imperfect EEG data. The proposed method significantly contributes to decoding EEG signals for workload recognition in real-world applications, thereby enhancing the safety and reliability of human-automation interactions.",
20,JOUR,An Analytical Framework for Handling Production Time Variety at Workstations of Mixed-model Assembly Lines,"['Keckl, Stefan', 'Kern, Wolfgang', 'Abou-Haydar, Antoin', 'Westkämper, Engelbert']",Procedia CIRP,41,201,206,2016,2016/01/01/,Research and Innovation in Manufacturing: Key Enabling Technologies for the Factories of the Future - Proceedings of the 48th CIRP Conference on Manufacturing Systems,2212-8271,https://doi.org/10.1016/j.procir.2015.12.080,['https://www.sciencedirect.com/science/article/pii/S2212827115011592'],"['Assembly', 'Poduction', 'Productivity', 'Stability']","In recent years market demands have shifted towards customized products. As a result many manufacturing companies face an increasing variety of their product range. As it is not profitable to install new assembly lines for each product, assembly lines have to be able to handle different products in batch size one. In literature these lines are called mixed-model lines. They follow the logical principal of flow production but are capable of producing different products while needing minimal modification of assembly processes at the workstations. While mixed-model lines help manufacturing companies handling product differences profitably, they result in a number of challenges for the production process. One major challenge is related to the varying assembly times at a single workstation due to different products. Actions have to be taken to cope with assembly time that is over cycle time, in order to avoid stops in a flow production. For economical reasons manufacturing companies have to be able to work at a high workload utilization on average. Therefore it is necessary to have a detailed look at the workstations’ situation regarding production time variety. To address this, an analytical framework for assembly lines, based on a mixed-model line principle, is given to identify workstations that face high complexity regarding production time variety. This analytical framework contains several aspects focusing on production time variety as drifting probability, utilization and statistical dispersion. By using this framework, companies can apply their actions and line balancing more precisely to the situation at a workstation. Thus, manufacturing companies are able to handle complexity effectively and to reach a high workload utilization in their mixed-model assembly line.",
