PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30597706","Telling tales: unlocking the potential of AAC technologies","Waller A.","Int J Lang Commun Disord. 2019 Mar;54(2):159-169. doi: 10.1111/1460-6984.12449. Epub 2018 Dec 30.","Waller A","Int J Lang Commun Disord","2019","2019/01/01","PMC6491981","","10.1111/1460-6984.12449"
"34483868","Toward EEG-Based BCI Applications for Industry 4.0: Challenges and Possible Applications","Douibi K, Le Bars S, Lemontey A, Nag L, Balp R, Breda G.","Front Hum Neurosci. 2021 Aug 13;15:705064. doi: 10.3389/fnhum.2021.705064. eCollection 2021.","Douibi K","Front Hum Neurosci","2021","2021/09/06","PMC8414547","","10.3389/fnhum.2021.705064"
"38090157","Job satisfaction and perceived workload in the context of personality typology among subway train drivers","Gottwald D, Lejsková P.","Front Psychol. 2023 Nov 28;14:1283122. doi: 10.3389/fpsyg.2023.1283122. eCollection 2023.","Gottwald D","Front Psychol","2023","2023/12/13","PMC10715416","","10.3389/fpsyg.2023.1283122"
"33086221","The Safety of Drivers: Workload, Group Interaction Quality, and Psychological Strain","Kao FH, Kuo CC.","J Occup Environ Med. 2020 Dec;62(12):1069-1075. doi: 10.1097/JOM.0000000000002060.","Kao FH","J Occup Environ Med","2020","2020/10/21","","","10.1097/JOM.0000000000002060"
"35757532","Building Human Visual Attention Map for Construction Equipment Teleoperation","Fan J, Li X, Su X.","Front Neurosci. 2022 Jun 10;16:895126. doi: 10.3389/fnins.2022.895126. eCollection 2022.","Fan J","Front Neurosci","2022","2022/06/27","PMC9226901","","10.3389/fnins.2022.895126"
"36850812","A Systematic Review of In-Vehicle Physiological Indices and Sensor Technology for Driver Mental Workload Monitoring","Sriranga AK, Lu Q, Birrell S.","Sensors (Basel). 2023 Feb 16;23(4):2214. doi: 10.3390/s23042214.","Sriranga AK","Sensors (Basel)","2023","2023/02/28","PMC9963326","","10.3390/s23042214"
"37195147","Dose-response of virtual reality training of paediatric emergencies in a randomised simulation-based setting","Lietz A, Kraller J, Hoffelner A, Ritschl V, Berger A, Wagner M.","Acta Paediatr. 2023 Sep;112(9):1995-2005. doi: 10.1111/apa.16847. Epub 2023 May 24.","Lietz A","Acta Paediatr","2023","2023/05/17","","","10.1111/apa.16847"
"36017962","The influence of team workload on team performance in the light of task complexity: a study of nuclear fire brigades","Takacs VK, Juhasz M.","Int J Occup Saf Ergon. 2023 Sep;29(3):1231-1240. doi: 10.1080/10803548.2022.2118442. Epub 2022 Sep 30.","Takacs VK","Int J Occup Saf Ergon","2023","2022/08/26","","","10.1080/10803548.2022.2118442"
"38811299","Relationship between mental effort and workload during routine anaesthesia","Webster CS, Huang L, Coomber T, Grieve ROS, Kruger CJ, Henning MA.","Br J Anaesth. 2024 Aug;133(2):444-446. doi: 10.1016/j.bja.2024.04.048. Epub 2024 May 28.","Webster CS","Br J Anaesth","2024","2024/05/29","","","10.1016/j.bja.2024.04.048"
"32116630","Prediction of Pilot's Reaction Time Based on EEG Signals","Binias B, Myszor D, Palus H, Cyran KA.","Front Neuroinform. 2020 Feb 14;14:6. doi: 10.3389/fninf.2020.00006. eCollection 2020.","Binias B","Front Neuroinform","2020","2020/03/03","PMC7033428","","10.3389/fninf.2020.00006"
"31438424","Relating Factors for Acceptance of Health Care Technology: Focus on Mental Workload","Kremer L, Sen S, Breil B.","Stud Health Technol Inform. 2019 Aug 21;264:1953-1954. doi: 10.3233/SHTI190730.","Kremer L","Stud Health Technol Inform","2019","2019/08/24","","","10.3233/SHTI190730"
"34256314","Evaluating cyclist biometrics to develop urban transportation safety metrics","Ryerson MS, Long CS, Fichman M, Davidson JH, Scudder KN, Kim M, Katti R, Poon G, Harris MD.","Accid Anal Prev. 2021 Sep;159:106287. doi: 10.1016/j.aap.2021.106287. Epub 2021 Jul 10.","Ryerson MS","Accid Anal Prev","2021","2021/07/13","","","10.1016/j.aap.2021.106287"
"28840158","Utilizing functional near-infrared spectroscopy for prediction of cognitive workload in noisy work environments","Gabbard R, Fendley M, Dar IA, Warren R, Kashou NH.","Neurophotonics. 2017 Oct;4(4):041406. doi: 10.1117/1.NPh.4.4.041406. Epub 2017 Aug 18.","Gabbard R","Neurophotonics","2017","2017/08/26","PMC5562416","","10.1117/1.NPh.4.4.041406"
"37208145","Integrating cognitive load theory with other theories, within and beyond educational psychology","Hanham J, Castro-Alonso JC, Chen O.","Br J Educ Psychol. 2023 Aug;93 Suppl 2:239-250. doi: 10.1111/bjep.12612. Epub 2023 May 19.","Hanham J","Br J Educ Psychol","2023","2023/05/19","","","10.1111/bjep.12612"
"26534850","Cognitive Distraction in the Wild: Next Steps-Addressing a Not-So-Humdrum Conundrum","Fisher DL.","Hum Factors. 2015 Dec;57(8):1331-3. doi: 10.1177/0018720815576435.","Fisher DL","Hum Factors","2015","2015/11/05","","","10.1177/0018720815576435"
"29772768","Within and between Individual Variability of Exposure to Work-Related Musculoskeletal Disorder Risk Factors","Zare M, Sagot JC, Roquelaure Y.","Int J Environ Res Public Health. 2018 May 17;15(5):1003. doi: 10.3390/ijerph15051003.","Zare M","Int J Environ Res Public Health","2018","2018/05/19","PMC5982042","","10.3390/ijerph15051003"
"36567190","Towards pilot's situation awareness enhancement: A framework of adaptive interaction system and its realization","Yu W, Jin D, Zhao F, Zhang X.","ISA Trans. 2023 Jan;132:109-119. doi: 10.1016/j.isatra.2022.12.005. Epub 2022 Dec 16.","Yu W","ISA Trans","2023","2022/12/25","","","10.1016/j.isatra.2022.12.005"
"25333155","Hierarchical HMM based learning of navigation primitives for cooperative robotic endovascular catheterization","Rafii-Tari H, Liu J, Payne CJ, Bicknell C, Yang GZ.","Med Image Comput Comput Assist Interv. 2014;17(Pt 1):496-503. doi: 10.1007/978-3-319-10404-1_62.","Rafii-Tari H","Med Image Comput Comput Assist Interv","2014","2014/10/22","","","10.1007/978-3-319-10404-1_62"
"32650417","A Continuous Fiber-Reinforced Additive Manufacturing Processing Based on PET Fiber and PLA","Yao Y, Li M, Lackner M, Herfried L.","Materials (Basel). 2020 Jul 8;13(14):3044. doi: 10.3390/ma13143044.","Yao Y","Materials (Basel)","2020","2020/07/12","PMC7412385","","10.3390/ma13143044"
"28659780","Estimation of Human Workload from the Auditory Steady-State Response Recorded via a Wearable Electroencephalography System during Walking","Yokota Y, Tanaka S, Miyamoto A, Naruse Y.","Front Hum Neurosci. 2017 Jun 13;11:314. doi: 10.3389/fnhum.2017.00314. eCollection 2017.","Yokota Y","Front Hum Neurosci","2017","2017/06/30","PMC5468449","","10.3389/fnhum.2017.00314"
"34434758","Cognitive task analysis and workload classification","Knisely BM, Joyner JS, Vaughn-Cooke M.","MethodsX. 2021 Jan 19;8:101235. doi: 10.1016/j.mex.2021.101235. eCollection 2021.","Knisely BM","MethodsX","2021","2021/08/26","PMC8374157","","10.1016/j.mex.2021.101235"
"38641482","The role of implementing instructional design principles on learner experience with training in current good manufacturing practices (cGMP)","Wilson RD, Sansgiry SS, Sawant R, Johnson M, Sansgiry S, Essien EJ, Sansgiry SS.","Curr Pharm Teach Learn. 2024 Aug;16(8):102091. doi: 10.1016/j.cptl.2024.04.007. Epub 2024 Apr 19.","Wilson RD","Curr Pharm Teach Learn","2024","2024/04/19","","","10.1016/j.cptl.2024.04.007"
"34546152","What about the human in human robot collaboration?","Baltrusch SJ, Krause F, de Vries AW, van Dijk W, de Looze MP.","Ergonomics. 2022 May;65(5):719-740. doi: 10.1080/00140139.2021.1984585. Epub 2021 Oct 13.","Baltrusch SJ","Ergonomics","2022","2021/09/21","","","10.1080/00140139.2021.1984585"
"26895125","Quality of life of working women: results of a Tunisian study using the 36 item short from health survery questionnaire (sF-3-6)","Bettaieb J, Aissi-Marzouk W, Ben Salah R, Ben Salah F, Mrabet A.","Tunis Med. 2015 Oct;93(10):623-7.","Bettaieb J","Tunis Med","2015","2016/02/20","","",""
"35719509","Human Mental Workload: A Survey and a Novel Inclusive Definition","Longo L, Wickens CD, Hancock G, Hancock PA.","Front Psychol. 2022 Jun 2;13:883321. doi: 10.3389/fpsyg.2022.883321. eCollection 2022.","Longo L","Front Psychol","2022","2022/06/20","PMC9201728","","10.3389/fpsyg.2022.883321"
"26534849","Cognitive Workload ≠ Crash Risk: Rejoinder to Study by Strayer et al. (2015)","Shinar D.","Hum Factors. 2015 Dec;57(8):1328-30. doi: 10.1177/0018720815574943.","Shinar D","Hum Factors","2015","2015/11/05","","","10.1177/0018720815574943"
"36146251","Assessing Cognitive Workload Using Cardiovascular Measures and Voice","Magnusdottir EH, Johannsdottir KR, Majumdar A, Gudnason J.","Sensors (Basel). 2022 Sep 13;22(18):6894. doi: 10.3390/s22186894.","Magnusdottir EH","Sensors (Basel)","2022","2022/09/23","PMC9502693","","10.3390/s22186894"
"35187093","Human Factors Considerations and Metrics in Shared Space Human-Robot Collaboration: A Systematic Review","Hopko S, Wang J, Mehta R.","Front Robot AI. 2022 Feb 3;9:799522. doi: 10.3389/frobt.2022.799522. eCollection 2022.","Hopko S","Front Robot AI","2022","2022/02/21","PMC8850717","","10.3389/frobt.2022.799522"
"37731339","Computer models in healthcare shed light on the roots of missed care in system design: Nurse workload","Neumann WP, Qureshi SM, Bookey-Bassett S.","J Adv Nurs. 2024 Feb;80(2):838-843. doi: 10.1111/jan.15870. Epub 2023 Sep 20.","Neumann WP","J Adv Nurs","2024","2023/09/21","","","10.1111/jan.15870"
"37439275","Human Performance in Competitive and Collaborative Human-Machine Teams","Bennett MS, Hedley L, Love J, Houpt JW, Brown SD, Eidels A.","Top Cogn Sci. 2023 Jul 13. doi: 10.1111/tops.12683. Online ahead of print.","Bennett MS","Top Cogn Sci","2023","2023/07/13","","","10.1111/tops.12683"
"34986098","Cross-Task Cognitive Workload Recognition Based on EEG and Domain Adaptation","Zhou Y, Xu Z, Niu Y, Wang P, Wen X, Wu X, Zhang D.","IEEE Trans Neural Syst Rehabil Eng. 2022;30:50-60. doi: 10.1109/TNSRE.2022.3140456. Epub 2022 Jan 28.","Zhou Y","IEEE Trans Neural Syst Rehabil Eng","2022","2022/01/05","","","10.1109/TNSRE.2022.3140456"
"35580084","Cognitive workload evaluation of landmarks and routes using virtual reality","Abdurrahman UA, Zheng L, Yeh SC.","PLoS One. 2022 May 17;17(5):e0268399. doi: 10.1371/journal.pone.0268399. eCollection 2022.","Abdurrahman UA","PLoS One","2022","2022/05/17","PMC9113578","","10.1371/journal.pone.0268399"
"38867943","Editorial: Affective computing and mental workload assessment to enhance human-machine interaction","Iarlori S, Monteriú A, Perpetuini D, Filippini C, Cardone D.","Front Neuroergon. 2024 May 29;5:1412744. doi: 10.3389/fnrgo.2024.1412744. eCollection 2024.","Iarlori S","Front Neuroergon","2024","2024/06/13","PMC11167130","","10.3389/fnrgo.2024.1412744"
"36743294","Ergonomic human-robot collaboration in industry: A review","Lorenzini M, Lagomarsino M, Fortini L, Gholami S, Ajoudani A.","Front Robot AI. 2023 Jan 3;9:813907. doi: 10.3389/frobt.2022.813907. eCollection 2022.","Lorenzini M","Front Robot AI","2023","2023/02/06","PMC9893795","","10.3389/frobt.2022.813907"
"35128686","EEG power spectral measures of cognitive workload: A meta-analysis","Chikhi S, Matton N, Blanchet S.","Psychophysiology. 2022 Jun;59(6):e14009. doi: 10.1111/psyp.14009. Epub 2022 Feb 6.","Chikhi S","Psychophysiology","2022","2022/02/07","","","10.1111/psyp.14009"
"37561462","Salient Measures of Hospitalist Workload","Burden M, McBeth L, Keniston A.","JAMA Netw Open. 2023 Aug 1;6(8):e2328165. doi: 10.1001/jamanetworkopen.2023.28165.","Burden M","JAMA Netw Open","2023","2023/08/10","PMC10415953","","10.1001/jamanetworkopen.2023.28165"
"34063553","Neuroergonomics: A Perspective from Neuropsychology, with a Proposal about Workload","Hardy DJ.","Brain Sci. 2021 May 15;11(5):647. doi: 10.3390/brainsci11050647.","Hardy DJ","Brain Sci","2021","2021/06/02","PMC8156258","","10.3390/brainsci11050647"
"34033062","Cognitive load dissociates explicit and implicit measures of body ownership and agency","Qu J, Ma K, Hommel B.","Psychon Bull Rev. 2021 Oct;28(5):1567-1578. doi: 10.3758/s13423-021-01931-y. Epub 2021 May 25.","Qu J","Psychon Bull Rev","2021","2021/05/25","","","10.3758/s13423-021-01931-y"
"32317914","A Neuroergonomics Approach to Mental Workload, Engagement and Human Performance","Dehais F, Lafont A, Roy R, Fairclough S.","Front Neurosci. 2020 Apr 7;14:268. doi: 10.3389/fnins.2020.00268. eCollection 2020.","Dehais F","Front Neurosci","2020","2020/04/23","PMC7154497","","10.3389/fnins.2020.00268"
"35808167","Wearable Cardiorespiratory Sensors for Aerospace Applications","Pongsakornsathien N, Gardi A, Lim Y, Sabatini R, Kistan T.","Sensors (Basel). 2022 Jun 21;22(13):4673. doi: 10.3390/s22134673.","Pongsakornsathien N","Sensors (Basel)","2022","2022/07/09","PMC9268781","","10.3390/s22134673"
"30098643","Production quality and human factors engineering: A systematic review and theoretical framework","Kolus A, Wells R, Neumann P.","Appl Ergon. 2018 Nov;73:55-89. doi: 10.1016/j.apergo.2018.05.010. Epub 2018 Jun 19.","Kolus A","Appl Ergon","2018","2018/08/13","","","10.1016/j.apergo.2018.05.010"
"36669990","Cognitive Load Management: An Invaluable Tool for Safe and Effective Surgical Training","Howie EE, Dharanikota H, Gunn E, Ambler O, Dias R, Wigmore SJ, Skipworth RJE, Yule S.","J Surg Educ. 2023 Mar;80(3):311-322. doi: 10.1016/j.jsurg.2022.12.010. Epub 2023 Jan 19.","Howie EE","J Surg Educ","2023","2023/01/20","","","10.1016/j.jsurg.2022.12.010"
"31114491","Modulating Applied Task Performance via Transcranial Electrical Stimulation","Brunyé TT, Hussey EK, Fontes EB, Ward N.","Front Hum Neurosci. 2019 Apr 30;13:140. doi: 10.3389/fnhum.2019.00140. eCollection 2019.","Brunyé TT","Front Hum Neurosci","2019","2019/05/23","PMC6503100","","10.3389/fnhum.2019.00140"
"33751451","Effects of cognitive load and type of object on the visual looming bias","McGuire A, Ciersdorff A, Gillath O, Vitevitch M.","Atten Percept Psychophys. 2021 May;83(4):1508-1517. doi: 10.3758/s13414-021-02271-8. Epub 2021 Mar 9.","McGuire A","Atten Percept Psychophys","2021","2021/03/22","","","10.3758/s13414-021-02271-8"
"30521400","Workload and Performance: Associations, Insensitivities, and Dissociations","Hancock PA, Matthews G.","Hum Factors. 2019 May;61(3):374-392. doi: 10.1177/0018720818809590. Epub 2018 Dec 6.","Hancock PA","Hum Factors","2019","2018/12/07","","","10.1177/0018720818809590"
"37772235","Cognitive Ergonomics: A Review of Interventions for Outpatient Practice","Li-Wang J, Townsley A, Katta R.","Cureus. 2023 Aug 28;15(8):e44258. doi: 10.7759/cureus.44258. eCollection 2023 Aug.","Li-Wang J","Cureus","2023","2023/09/29","PMC10526922","","10.7759/cureus.44258"
"30996713","From Cognitive Load Theory to Collaborative Cognitive Load Theory","Kirschner PA, Sweller J, Kirschner F, Zambrano R J.","Int J Comput Support Collab Learn. 2018;13(2):213-233. doi: 10.1007/s11412-018-9277-y. Epub 2018 Apr 25.","Kirschner PA","Int J Comput Support Collab Learn","2018","2019/04/19","PMC6435105","","10.1007/s11412-018-9277-y"
"35346609","Microsurgical skills training course and impact on trainee confidence and workload","Mohan AT, Abdelrahman AM, Anding WJ, Lowndes BR, Blocker RC, Hallbeck MS, Bakri K, Moran SL, Mardini S.","J Plast Reconstr Aesthet Surg. 2022 Jul;75(7):2135-2142. doi: 10.1016/j.bjps.2022.02.004. Epub 2022 Feb 19.","Mohan AT","J Plast Reconstr Aesthet Surg","2022","2022/03/29","","","10.1016/j.bjps.2022.02.004"
"33501291","Passive Brain-Computer Interfaces for Enhanced Human-Robot Interaction","Alimardani M, Hiraki K.","Front Robot AI. 2020 Oct 2;7:125. doi: 10.3389/frobt.2020.00125. eCollection 2020.","Alimardani M","Front Robot AI","2020","2021/01/27","PMC7805996","","10.3389/frobt.2020.00125"
"39234220","Cognitive Load Estimation in VR Flight Simulator","Hebbar PA, Vinod S, Shah AK, Pashilkar AA, Biswas P.","J Eye Mov Res. 2023 Jul 5;15(3):10.16910/jemr.15.3.11. doi: 10.16910/jemr.15.3.11. eCollection 2022.","Hebbar PA","J Eye Mov Res","2023","2024/09/05","PMC11373147","","10.16910/jemr.15.3.11"
"36461043","Authoritarian leadership and nurse presenteeism: the role of workload and leader identification","Shan G, Wang W, Wang S, Zhang Y, Guo S, Li Y.","BMC Nurs. 2022 Dec 2;21(1):337. doi: 10.1186/s12912-022-01119-2.","Shan G","BMC Nurs","2022","2022/12/02","PMC9717413","","10.1186/s12912-022-01119-2"
"36291349","Modeling Cognitive Load as a Self-Supervised Brain Rate with Electroencephalography and Deep Learning","Longo L.","Brain Sci. 2022 Oct 21;12(10):1416. doi: 10.3390/brainsci12101416.","Longo L","Brain Sci","2022","2022/10/27","PMC9599448","","10.3390/brainsci12101416"
"34706621","Evaluation of Fatigue and Workload among Workers Conducting Complex Manual Assembly in Manufacturing","Torres Y, Nadeau S, Landau K.","IISE Trans Occup Ergon Hum Factors. 2021 Jan-Mar;9(1):49-63. Epub 2021 Nov 13.","Torres Y","IISE Trans Occup Ergon Hum Factors","2021","2021/10/28","","",""
"38235464","Predictions of task using neural modeling","Fox EL, Ugolini M, Houpt JW.","Front Neuroergon. 2022 Nov 23;3:1007673. doi: 10.3389/fnrgo.2022.1007673. eCollection 2022.","Fox EL","Front Neuroergon","2022","2024/01/18","PMC10790939","","10.3389/fnrgo.2022.1007673"
"35110622","Increased associative interference under high cognitive load","Baror S, Bar M.","Sci Rep. 2022 Feb 2;12(1):1766. doi: 10.1038/s41598-022-05722-w.","Baror S","Sci Rep","2022","2022/02/03","PMC8811063","","10.1038/s41598-022-05722-w"
"35654270","A text-mining tool generated title-abstract screening workload savings: performance evaluation versus single-human screening","Carey N, Harte M, Mc Cullagh L.","J Clin Epidemiol. 2022 Sep;149:53-59. doi: 10.1016/j.jclinepi.2022.05.017. Epub 2022 May 30.","Carey N","J Clin Epidemiol","2022","2022/06/02","","","10.1016/j.jclinepi.2022.05.017"
"36974471","Cognitive Load and Peace Attitude Influence Cooperative Choices in the Iterated Prisoner's Dilemma Game","Fabio RA, Marcuzzo A, Calabrese C.","Psychol Rep. 2023 Mar 28:332941231166604. doi: 10.1177/00332941231166604. Online ahead of print.","Fabio RA","Psychol Rep","2023","2023/03/28","","","10.1177/00332941231166604"
"25442818","State of science: mental workload in ergonomics","Young MS, Brookhuis KA, Wickens CD, Hancock PA.","Ergonomics. 2015;58(1):1-17. doi: 10.1080/00140139.2014.956151. Epub 2014 Dec 2.","Young MS","Ergonomics","2015","2014/12/03","","","10.1080/00140139.2014.956151"
"34450999","Survey and Synthesis of State of the Art in Driver Monitoring","Halin A, Verly JG, Van Droogenbroeck M.","Sensors (Basel). 2021 Aug 18;21(16):5558. doi: 10.3390/s21165558.","Halin A","Sensors (Basel)","2021","2021/08/28","PMC8402294","","10.3390/s21165558"
"27170632","Glucose Control in the ICU: A Continuing Story","Preiser JC, Chase JG, Hovorka R, Joseph JI, Krinsley JS, De Block C, Desaive T, Foubert L, Kalfon P, Pielmeier U, Van Herpe T, Wernerman J.","J Diabetes Sci Technol. 2016 Nov 1;10(6):1372-1381. doi: 10.1177/1932296816648713. Print 2016 Nov.","Preiser JC","J Diabetes Sci Technol","2016","2016/05/13","PMC5094326","","10.1177/1932296816648713"
"27633199","A meta-analysis of human-system interfaces in unmanned aerial vehicle (UAV) swarm management","Hocraffer A, Nam CS.","Appl Ergon. 2017 Jan;58:66-80. doi: 10.1016/j.apergo.2016.05.011. Epub 2016 Jun 3.","Hocraffer A","Appl Ergon","2017","2016/09/17","","","10.1016/j.apergo.2016.05.011"
"35763990","Development and evaluation of design guidelines for cognitive ergonomics in human-robot collaborative assembly systems","Gualtieri L, Fraboni F, De Marchi M, Rauch E.","Appl Ergon. 2022 Oct;104:103807. doi: 10.1016/j.apergo.2022.103807. Epub 2022 Jun 25.","Gualtieri L","Appl Ergon","2022","2022/06/28","","","10.1016/j.apergo.2022.103807"
"30091396","Automaticity and cognitive control: Effects of cognitive load on cue-controlled reward choice","Seabrooke T, Wills AJ, Hogarth L, Mitchell CJ.","Q J Exp Psychol (Hove). 2019 Jun;72(6):1507-1521. doi: 10.1177/1747021818797052. Epub 2018 Sep 10.","Seabrooke T","Q J Exp Psychol (Hove)","2019","2018/08/10","","","10.1177/1747021818797052"
"35561532","Augmented reality on industrial assembly line: Impact on effectiveness and mental workload","Drouot M, Le Bigot N, Bricard E, Bougrenet JL, Nourrit V.","Appl Ergon. 2022 Sep;103:103793. doi: 10.1016/j.apergo.2022.103793. Epub 2022 May 10.","Drouot M","Appl Ergon","2022","2022/05/13","","","10.1016/j.apergo.2022.103793"
"35326325","Assessing Distinct Cognitive Workload Levels Associated with Unambiguous and Ambiguous Pronoun Resolutions in Human-Machine Interactions","Zhao M, Ji Z, Zhang J, Zhu Y, Ye C, Wang G, Yin Z.","Brain Sci. 2022 Mar 11;12(3):369. doi: 10.3390/brainsci12030369.","Zhao M","Brain Sci","2022","2022/03/25","PMC8946822","","10.3390/brainsci12030369"
"32530759","Overloaded and at Work: Investigating the Effect of Cognitive Workload on Assembly Task Performance","Biondi FN, Cacanindin A, Douglas C, Cort J.","Hum Factors. 2021 Aug;63(5):813-820. doi: 10.1177/0018720820929928. Epub 2020 Jun 12.","Biondi FN","Hum Factors","2021","2020/06/13","PMC8273843","","10.1177/0018720820929928"
"33870326","Cognitive Load in Electromagnetic Navigational and Robotic Bronchoscopy for Pulmonary Nodules","Kapp CM, Akulian JA, Yu DH, Chen A, Cárdenas-García J, Molena D, Vachani A, Wahidi MM, Maldonado F, Fielding D, Yarmus LB, Lee H.","ATS Sch. 2020 Dec 23;2(1):97-107. doi: 10.34197/ats-scholar.2020-0033OC.","Kapp CM","ATS Sch","2020","2021/04/19","PMC8043265","","10.34197/ats-scholar.2020-0033OC"
"34886007","Cognitive Ergonomics of Assembly Work from a Job Demands-Resources Perspective: Three Qualitative Case Studies","Wollter Bergman M, Berlin C, Babapour Chafi M, Falck AC, Örtengren R.","Int J Environ Res Public Health. 2021 Nov 23;18(23):12282. doi: 10.3390/ijerph182312282.","Wollter Bergman M","Int J Environ Res Public Health","2021","2021/12/10","PMC8656480","","10.3390/ijerph182312282"
"35198754","Cognitive demands and mental workload: A filed study of the mining control room operators","Mohammadian M, Parsaei H, Mokarami H, Kazemi R.","Heliyon. 2022 Feb 5;8(2):e08860. doi: 10.1016/j.heliyon.2022.e08860. eCollection 2022 Feb.","Mohammadian M","Heliyon","2022","2022/02/24","PMC8844657","","10.1016/j.heliyon.2022.e08860"
"34159528","Using Past and Present Indicators of Human Workload to Explain Variance in Human Performance","Howard ZL, Innes R, Eidels A, Loft S.","Psychon Bull Rev. 2021 Dec;28(6):1923-1932. doi: 10.3758/s13423-021-01961-6. Epub 2021 Jun 22.","Howard ZL","Psychon Bull Rev","2021","2021/06/23","","","10.3758/s13423-021-01961-6"
"37948270","Adaptive Human-Robotic Interaction for  Robotic-assisted Surgical Settings","Yang J, Layadi IC, Wachs JP, Yu D.","Mil Med. 2023 Nov 8;188(Suppl 6):480-487. doi: 10.1093/milmed/usad210.","Yang J","Mil Med","2023","2023/11/10","PMC11022339","","10.1093/milmed/usad210"
"35696823","Does cognitive loading interfere with walking control?","Koren Y, Rozenfeld E, Elefant I, Khir N, Glassberg E, Batcir S.","Gait Posture. 2022 Jul;96:185-189. doi: 10.1016/j.gaitpost.2022.05.032. Epub 2022 May 29.","Koren Y","Gait Posture","2022","2022/06/13","","","10.1016/j.gaitpost.2022.05.032"
"28689193","Anticipation, teamwork and cognitive load: chasing efficiency during robot-assisted surgery","Sexton K, Johnson A, Gotsch A, Hussein AA, Cavuoto L, Guru KA.","BMJ Qual Saf. 2018 Feb;27(2):148-154. doi: 10.1136/bmjqs-2017-006701. Epub 2017 Jul 8.","Sexton K","BMJ Qual Saf","2018","2017/07/10","PMC5952358","NIHMS962937","10.1136/bmjqs-2017-006701"
"34582301","Preface to the Special Section on Measuring Cognitive Workload in Human Factors","Biondi FN, Strayer DL, Horrey WJ, Cooper JM, Cort JA.","Hum Factors. 2021 Sep;63(6):1121-1124. doi: 10.1177/00187208211039453.","Biondi FN","Hum Factors","2021","2021/09/28","","","10.1177/00187208211039453"
"38544272","Determining Cognitive Workload Using Physiological Measurements: Pupillometry and Heart-Rate Variability","Ma X, Monfared R, Grant R, Goh YM.","Sensors (Basel). 2024 Mar 21;24(6):2010. doi: 10.3390/s24062010.","Ma X","Sensors (Basel)","2024","2024/03/28","PMC10974471","","10.3390/s24062010"
